word,frequencies
00268,{'1046577299120955393': 1}
00268781,{'1046577468197535744': 1}
011,{'1046577545032937472': 1}
0209,{'1046577795730690050': 1}
03ppcb,{'1046578427439009792': 1}
05740261,{'1046577590083948544': 1}
05csdmz,{'1046576830130606086': 1}
09nll3zq7,{'1046577012759056385': 1}
0bdksbpi,{'1046577198994317312': 1}
0dluwqeal2,{'1046576788879675393': 1}
0moqez,{'1046576706184781830': 1}
0rexp0litic0,{'1046578124757106693': 1}
0ygz75asq,{'1046577313171853315': 1}
100,{'1046577754794323970': 1}
12shyoi5gr,{'1046577925343117312': 1}
1412vidal,{'1046577772288774145': 1}
1483,{'1046577313171853315': 1}
159,{'1046576750342352896': 1}
173ul,{'1046578351262093312': 1}
1807,{'1046577845370322944': 1}
1956,{'1046577620601786368': 1}
199,{'1046578648332079110': 1}
1992,{'1046576713390596096': 1}
1g4hdl,{'1046577529245626368': 1}
1gcsvw9ofy,{'1046577513173012480': 1}
1gkbydict,{'1046577638830149634': 1}
1nk1xylvlc,{'1046577478830034944': 1}
1poekob,{'1046578491456704512': 1}
1q53tgax,{'1046578342667988992': 1}
1roay8b,{'1046578664161378311': 1}
1sndor6x,{'1046577519925825541': 1}
1soydeizquierd,{'1046578107145236481': 1}
1ta1wm,{'1046577547931193344': 1}
1yx,{'1046578688429568000': 1}
1yz,{'1046577455664791552': 1}
2006,{'1046577667313725440': 1}
2016,{'1046577360055742465': 1}
2017,{'1046576848229068800': 1}
2018,{'1046576713390596096': 1}
2019jueg,{'1046577137413754880': 1}
2125353,{'1046578126560657408': 1}
21notici,{'1046577205369860096': 1}
250,{'1046576900540452865': 1}
2500,{'1046576893527494656': 1}
2623,{'1046577620601786368': 1}
26r7dkvr6,{'1046577996092624896': 1}
2918,{'1046577126084956160': 1}
2clca7m2l,{'1046578220143906816': 1}
2d8,{'1046578126560657408': 1}
2g5xvf,{'1046578453292752896': 1}
2kdesrisft,{'1046577266975756288': 1}
2kvdslocfk,{'1046577941134680065': 1}
2ngb6zwi6,{'1046576877807292446': 1}
2p2ral5,{'1046577529245626368': 1}
2qztfk3,{'1046578398032785408': 1}
2r0n8h,{'1046577824746926080': 1}
2sol,{'1046576982732034049': 1}
2teoi,{'1046577963142131712': 1}
2wonndrjb,{'1046577739069882368': 1}
2yczcx9q,{'1046577740693016577': 1}
360,{'1046576893527494656': 1}
3gec,{'1046577539530076161': 1}
3im4pnnyf,{'1046577455664791552': 1}
3k0nstq9e,{'1046578339874525185': 1}
3k2l,{'1046576893527494656': 1}
3nf8ut,{'1046577069784797184': 1}
3w7bomxf,{'1046577031029444609': 1}
3wyzlhjo9b,{'1046577946960506882': 1}
3z1m,{'1046577740693016577': 1}
4028gec5lz,{'1046576776766459904': 1}
471clabgx,{'1046578077533458433': 1}
4blzjvghjc,{'1046576830428401665': 1}
4cwbgptw,{'1046577611361660930': 1}
4jbh6ll4ou,{'1046577795730690050': 1}
4kvgif,{'1046576970786643968': 1}
4lonfrr,{'1046578051251949569': 1}
4oq8p,{'1046576975987585024': 1}
4rqvghe,{'1046577582165172225': 1}
4uxtdhkgs,{'1046578079186014209': 1}
4xkvx9h61,{'1046576731660972032': 1}
5297410,{'1046577488581849088': 1}
5ev7rzkem9,{'1046576801470910469': 1}
5guvx6w3,{'1046577880216612864': 1}
5ikrcotnpm,{'1046576845897027589': 1}
5nuadtadw,{'1046576868982493184': 1}
5qymph,{'1046577011131527170': 1}
5toq,{'1046577915209691136': 1}
5xuphlx6v,{'1046576890448883713': 1}
62iowd,{'1046576872694386688': 1}
68othpd7fc,{'1046576845897027589': 1}
6auoewky3x,{'1046577926492295168': 1}
6b9aryp,{'1046578688429568000': 1}
6bhuxjzp,{'1046577590083948544': 1}
6bjbf95,{'1046577589937209344': 1}
6cvfkbe,{'1046576790888747008': 1}
6enjxjdh3d,{'1046576709527633920': 1}
6ew25pxkj,{'1046576997835640832': 1}
6moog0css,{'1046577293508964352': 1}
6oe,{'1046578455381495808': 1}
6pxpb46,{'1046576745766416384': 1}
6ryzropbl,{'1046576850317836290': 1}
6vknu924d,{'1046578126560657408': 1}
6vphe,{'1046577779062452224': 1}
6vxy2fub9c,{'1046576754947698688': 1}
6vyl39optz,{'1046577902786105345': 1}
6wulbrsylf,{'1046578530631536646': 1}
7308174,{'1046578416890335232': 1}
75bvuuz,{'1046577375553748993': 1}
75x,{'1046576790888747008': 1}
76q7ci8hg,{'1046577159232524289': 1}
77aoh9,{'1046576866688192512': 1}
7ayaqut2b,{'1046576911475003392': 1}
7bn5pyqz2,{'1046578010277711873': 1}
7gfcsywcff,{'1046578391254806529': 1}
7ma,{'1046577265457459200': 1}
80s,{'1046577183488126981': 1}
86fduqq,{'1046578420346482688': 1}
87y3jkujuf,{'1046577478528061440': 1}
8b7qysr,{'1046577266975756288': 1}
8bhevsx,{'1046577506512498688': 1}
8bua4j,{'1046577310336462848': 1}
8epsbtzdn,{'1046577654198140928': 1}
8h3yoc,{'1046578463229038593': 1}
8ke8f9tzp8,{'1046578077533458433': 1}
8lyfj,{'1046576890650259456': 1}
8nwi,{'1046578036374740992': 1}
90fbrlw2h,{'1046576769145466880': 1}
967,{'1046576697787715584': 1}
9gi8x2g,{'1046577222851735553': 1}
9ifwclu,{'1046578378139193344': 1}
9iofpdj5,{'1046576890448883713': 1}
9jaxg,{'1046576914096431105': 1}
9mhgvwpwhb,{'1046577191469895680': 1}
9pt5k,{'1046576925215469568': 1}
9qemtqeeq,{'1046576990650871808': 1}
abeingole,{'1046577453760749573': 1}
abiert,{'1046576785977221120': 1}
abog,{'1046576894882312193': 1}
abort,{'1046577059710062592': 1}
abraz,{'1046577038390439944': 1}
abreguevelin,{'1046577146175655938': 1}
abud,{'1046577360357773312': 1}
abuel,{'1046577068421648384': 1}
aburr,{'1046577394495062017': 1}
abus,{'1046577223396982784': 1}
acab,{'1046576953715826688': 1}
acalor,{'1046576890650259456': 1}
acas,{'1046577012759056385': 1}
acccion,{'1046578603905961984': 1}
acces,{'1046578485916053504': 1}
accinpopul,{'1046576901303742464': 1}
accioncolora,{'1046576915455324160': 1}
accionpopul,{'1046577001224638465': 1}
acept,{'1046576969637392384': 1}
acerc,{'1046576753873997826': 1}
aclar,{'1046578517201309696': 1}
acomod,{'1046576893527494656': 1}
acomp,{'1046576866688192512': 1}
acondicion,{'1046577124256206848': 1}
acord,{'1046576874456010753': 1}
acos,{'1046577338765529088': 1}
acostumbr,{'1046578195699503104': 1}
acostumbrsrs,{'1046578195699503104': 1}
activ,{'1046578255271251968': 2}
actual,{'1046576845897027589': 1}
acud,{'1046577669930987520': 1}
acuerd,{'1046576741022670849': 1}
acus,{'1046576890650259456': 1}
ade,{'1046577772288774145': 1}
adems,{'1046576998292901888': 1}
adentr,{'1046578485916053504': 1}
adicion,{'1046577124256206848': 1}
adis,{'1046576850317836290': 1}
administr,{'1046577689484619776': 1}
aduj,{'1046577124256206848': 1}
adult,{'1046578574667522048': 1}
advers,{'1046577382822416391': 1}
advirti,{'1046578150593966086': 1}
aereodromocolliqu,{'1046577979650961408': 1}
afect,{'1046578581428523008': 1}
afirm,{'1046577487117996034': 1}
afront,{'1046577382822416391': 1}
afuer,{'1046576887022190592': 1}
agarciacristob,{'1046576709766709248': 1}
agenciaandin,{'1046576810459369478': 1}
agigant,{'1046577941419888640': 1}
agoniz,{'1046576794269339648': 1}
agresivon,{'1046577453760749573': 1}
agu,{'1046577301285163008': 1}
ahor,{'1046576691395653633': 1}
ahorr,{'1046578357759070208': 1}
aidaneumanhow,{'1046576706184781830': 1}
air,{'1046577124256206848': 1}
ajen,{'1046576696848257024': 1}
alan,{'1046577391810875392': 1}
alangarci,{'1046578425211867136': 1}
alangarciaperu,{'1046578425211867136': 1}
albert,{'1046576691395653633': 1}
albertit,{'1046577034825256960': 1}
albertobeingole,{'1046577975972515840': 1}
albertobelaund,{'1046577375553748993': 1}
albertolch,{'1046578314855485442': 1}
alcald,{'1046576776766459904': 1}
alcaldi,{'1046577689484619776': 1}
alditus,{'1046578114036469760': 1}
alegr,{'1046576896337743873': 1}
alejand,{'1046578416890335232': 1}
alejapuent,{'1046577949229617152': 1}
alexandergraphy,{'1046578570666147841': 1}
alexquillc,{'1046577615816060929': 1}
alfabetizacin,{'1046577690470375424': 1}
algn,{'1046578251701858304': 1}
algun,{'1046576789777190915': 1}
ali,{'1046576918341058560': 1}
alianz,{'1046577187841806338': 1}
alleinwolf,{'1046577606894735360': 1}
almostgin,{'1046577370755465218': 1}
alonsotarazonaf,{'1046576898330042370': 1}
alt,{'1046576750342352896': 1}
altadivin,{'1046576815454789632': 1}
alto,{'1046578484267626496': 1}
altur,{'1046576995667202048': 1}
alumbr,{'1046577545032937472': 1}
alvarosarc,{'1046576854709268481': 1}
ambient,{'1046577103532167174': 1}
amerinoreyn,{'1046576966009335808': 1}
amigabail,{'1046576914096431105': 1}
amiguit,{'1046578493298003968': 1}
