word,frequencies
0001,{'1046607359160799232': 1}
007,{'1046608169462640640': 1}
00fda,{'1046607204864970752': 1}
011,{'1046607762904440832': 1}
0404,{'1046607160732471296': 1}
0710,{'1046607613532737536': 1}
07oct,{'1046609447748071424': 1}
0ampenp2ek,{'1046608980716519425': 1}
0giywp1,{'1046607392815943680': 1}
0jcxb,{'1046607359056007169': 1}
0jq8c7f,{'1046608738021462016': 1}
0mtomuddrm,{'1046608847283134466': 1}
0qnoj6eu,{'1046608406495342592': 1}
0qpxjdz47,{'1046609495571525632': 1}
0rexp0litic0,{'1046607950675103744': 1}
0rpzm,{'1046607390836224000': 1}
0rzevp,{'1046608664122019840': 1}
0sxff0xjxv,{'1046608862529421312': 1}
0th,{'1046607755560308736': 1}
0uekqi67,{'1046608849946529792': 1}
0voerfgtgk,{'1046607486495674374': 1}
0zr9wrb1y,{'1046606792040620032': 1}
100,{'1046608585948614659': 1}
1230,{'1046607412294299649': 1}
13051,{'1046606789234634752': 1}
137001,{'1046607267511111680': 1}
13fixxs,{'1046609117299781638': 1}
140,{'1046607526291288064': 1}
143,{'1046607619551629312': 1}
1483,{'1046608230900793344': 1}
1508,{'1046608298659794945': 1}
165,{'1046606826635227136': 1}
19tot4,{'1046608767620665345': 1}
1er,{'1046608217592287234': 2}
1lxl0z9rq,{'1046608994771632133': 1}
1mb,{'1046608663589392385': 1}
1mmrm,{'1046608010871746560': 1}
1psvp9,{'1046607085335728130': 1}
1qsb4ezy0w,{'1046608760280678402': 1}
1roay8b,{'1046606805101686784': 1}
1w5la0v,{'1046607253149806592': 1}
1x3bv7htfm,{'1046608436295872512': 1}
2002,{'1046608490872098816': 1}
2011201,{'1046608685462671363': 1}
201185,{'1046606933329883136': 1}
2012,{'1046608548573122561': 1}
2017,{'1046608313658560516': 1}
2018,{'1046606742329720832': 1}
2019,{'1046607484004306945': 1}
2020,{'1046608179772248064': 1}
2022,{'1046606782049718274': 1}
20c,{'1046608370361421824': 1}
2193,{'1046608671772475393': 1}
21notici,{'1046606963960934402': 1}
