word,frequencies
0007,{'1041465763499069440': 1}
00268781,{'1041476366032613376': 1}
011,{'1041496048940851200': 1}
024,{'1041484825834733568': 1}
050,{'1041471355559075841': 1}
05nruqfd6u,{'1041472145279393797': 1}
0890,{'1041473786745421824': 1}
09yrtmhu2t,{'1041501000501260291': 1}
0hz5,{'1041508080780017664': 1}
0mkbdgc,{'1041481480222978048': 1}
0pqd,{'1041475534004338688': 1}
0rexp0litic0,{'1041470044822102016': 1}
0ryaht2km,{'1041500070263304192': 1}
0yml4l,{'1041476013962801154': 1}
0z99m9emeh,{'1041499144895033345': 1}
100,{'1041465647824334848': 1}
10x,{'1041477642321637376': 1}
11173,{'1041497117074829312': 1}
116stcu,{'1041477765000781824': 1}
1240,{'1041506455206207490': 1}
1612,{'1041489040439209985': 1}
18su,{'1041501107758006272': 1}
18vlv2,{'1041465262548176902': 1}
1965,{'1041484557198024704': 1}
1976,{'1041501401426407424': 1}
1977,{'1041465510406369280': 1}
19799690,{'1041471793402241026': 1}
1982,{'1041504490267074560': 1}
19x,{'1041501390135287809': 1}
1edaw,{'1041507687652106240': 1}
1er,{'1041499059205402626': 1}
1erdebatedigitalelectoral,{'1041475067018981376': 1}
1first,{'1041488162923728897': 1}
1iapd7y0,{'1041490777749299200': 1}
1u7,{'1041490166047760384': 1}
1vun4cswfi,{'1041509591144652800': 1}
1wg4igqfilomen,{'1041475667408416768': 1}
1xkrvbnq,{'1041472690287255555': 1}
1zfauh8dbv,{'1041469923514572800': 1}
201,{'1041498936945639424': 1}
2015,{'1041502769520275457': 1}
2017,{'1041472690287255555': 1}
2018,{'1041472892628885511': 1}
2021,{'1041475427477467137': 1}
20u53hqac,{'1041480711008600064': 1}
2100072,{'1041471235039920133': 1}
2106,{'1041471879901409280': 1}
21notici,{'1041468942206808074': 1}
2209,{'1041509382125756416': 1}
225,{'1041484571664150528': 1}
24h,{'1041467108515823616': 1}
25salv,{'1041509360583602177': 1}
28robles7,{'1041466874658213888': 1}
299,{'1041496694150520832': 1}
2ad676e111384e5,{'1041468798975586304': 1}
2c6crcw,{'1041484571664150528': 1}
2cspkviuum,{'1041489970194771968': 1}
2dyd3ga,{'1041504559464677376': 1}
2lmo8,{'1041467108515823616': 1}
2nthc3etiy,{'1041473057821548545': 1}
2pfasm9v,{'1041503693965873152': 1}
2pitws2hl,{'1041491369167151105': 1}
2sqw3mvaf,{'1041499458222088193': 1}
2ye0zs,{'1041490703229112320': 1}
322,{'1041499169163288576': 1}
34i6gpkfv,{'1041481694937853952': 1}
34r2ct6t,{'1041465812106862593': 1}
36zgyegj6x,{'1041501672198033409': 1}
3bvlpm2,{'1041484538814377985': 1}
3dyg0pr2t,{'1041479249855700994': 1}
3efo0c,{'1041494681769705472': 1}
3gekx74wn,{'1041501387488722944': 1}
3kaj171hm3,{'1041483301343703040': 1}
3kja8rywi,{'1041490404376498178': 1}
3n2wa2,{'1041483031482130432': 1}
3nx7te,{'1041502026428018689': 1}
3umon,{'1041465086362222592': 1}
3w7fhwfig,{'1041494681769705472': 1}
3zsqa,{'1041500127502970880': 1}
406,{'1041473706793611264': 1}
411h,{'1041498093643071488': 1}
4416645,{'1041465763499069440': 1}
46m5rg,{'1041508488353132544': 1}
46mswbq5,{'1041474090064859136': 1}
4hwily,{'1041502290530713600': 1}
4jrcavp,{'1041467383850971137': 1}
4mjiazkrh,{'1041485449737498624': 1}
4odru7,{'1041481480222978048': 1}
4u0yqzr,{'1041495264312418304': 1}
4vfufmejy,{'1041467108515823616': 1}
4xek4z9vr,{'1041488568626176006': 1}
5768755,{'1041504476161601537': 1}
5ck7f6er,{'1041478006563381248': 1}
5egyoekz,{'1041478600443224065': 1}
5eksdrt,{'1041468058269888513': 1}
5gqknwp,{'1041500981698195456': 1}
5j0xcxgvj,{'1041496411622264832': 1}
5lz,{'1041483929147138048': 1}
5nd4mq,{'1041479249855700994': 1}
5ng,{'1041496047648948227': 1}
5nidbakqq,{'1041509669938913280': 1}
5va1cjrt,{'1041489696008949760': 1}
6000,{'1041491837813485570': 1}
6a8oxo9bf,{'1041504777652383744': 1}
6c0y3zebh1,{'1041468058269888513': 1}
6pm,{'1041466484709576704': 1}
6svzvum3,{'1041480055266979840': 1}
717p,{'1041471631707656192': 1}
759,{'1041507056111505413': 1}
7668639,{'1041494952147124224': 1}
7bahf1cmwx,{'1041488962026721280': 1}
7dndpzy4zx,{'1041480271915364352': 1}
7gy16w0txl,{'1041476457581740033': 1}
7iinqqasi,{'1041483324781486082': 1}
7mpa4u7nb,{'1041471235039920133': 1}
7pckrkwouv,{'1041481811464003584': 1}
7ra,{'1041477199927357445': 1}
7sc5ijauo,{'1041494681769705472': 1}
7wvgkqncu,{'1041482412432207872': 1}
86i1clmf,{'1041473234196148225': 1}
86xzuzf6k,{'1041493360953974784': 1}
88b5x,{'1041473782379102208': 1}
8am,{'1041495264312418304': 1}
8bcupp,{'1041480386465939463': 1}
8e1n,{'1041499129648701440': 1}
8glent,{'1041484211042037761': 1}
8htpr,{'1041496609115316224': 1}
8qxpmb,{'1041490483653091333': 1}
8xg7dtbx,{'1041505373088301056': 1}
9021,{'1041470953967026176': 1}
9222,{'1041471012049747969': 1}
993,{'1041483765342658560': 1}
9e3i,{'1041508924141264896': 1}
9i4ypok8,{'1041507725019164672': 1}
9iiz5zn,{'1041484776920834049': 1}
9jju,{'1041507806980071425': 1}
9k9l,{'1041467522934087680': 1}
9oq2t5b,{'1041498235905495040': 1}
9or2gfhn6g,{'1041483444453298176': 1}
9tiavz,{'1041484599396847618': 1}
9ukft,{'1041492013550645248': 1}
9vjhgtgv1,{'1041485040675418112': 1}
aaronblackseri,{'1041507392729636864': 1}
abaj,{'1041495487155789829': 1}
abancay,{'1041500847115591680': 1}
abandon,{'1041490679187361792': 1}
abandonanmuch,{'1041471877980606465': 1}
abelgilvoni,{'1041481074227007488': 1}
abeltronyk,{'1041509811655983105': 1}
aberr,{'1041482382614978561': 1}
abiert,{'1041483821840035841': 1}
abnerri,{'1041466370037350400': 1}
abog,{'1041486569515954176': 1}
abord,{'1041506455294291968': 1}
abort,{'1041496555277168640': 1}
abr,{'1041499613210050560': 1}
abri,{'1041500876723105793': 1}
absolut,{'1041499432901140487': 1}
abus,{'1041468335936954369': 1}
aca,{'1041485394506866689': 1}
acab,{'1041480191820869632': 1}
acawr,{'1041485394506866689': 1}
acces,{'1041478258527752193': 1}
accin,{'1041484776920834049': 1}
accinpopul,{'1041466874658213888': 1}
accion,{'1041467498342899712': 1}
accionpopul,{'1041474583692500993': 1}
acept,{'1041471877980606465': 1}
acho,{'1041505547118411776': 1}
aclar,{'1041473437091409920': 1}
acompa,{'1041494681769705472': 1}
aconsej,{'1041480191573458944': 1}
acord,{'1041483667862745088': 1}
acos,{'1041486879546400768': 1}
actitud,{'1041490323623632896': 1}
activ,{'1041469386249388039': 1}
acto,{'1041483324781486082': 1}
actor,{'1041485309681250305': 1}
actu,{'1041485309681250305': 1}
actual,{'1041466484709576704': 1}
acuerd,{'1041472690287255555': 1}
acuri,{'1041492427448705026': 1}
acus,{'1041493360953974784': 1}
adel,{'1041478775647744001': 1}
adem,{'1041466147084947456': 1}
adems,{'1041468335936954369': 1}
adis,{'1041499785851817985': 1}
adivin,{'1041480364143857665': 1}
adjunt,{'1041468735473836034': 1}
admit,{'1041469386249388039': 1}
adopcin,{'1041490966434271232': 1}
adopt,{'1041490679187361792': 1}
