word,frequencies
00111,{'1031798320514166784': 1}
00268781,{'1031768640880828416': 1}
01369992,{'1042980567762001921': 1}
03729775,{'1031877217142358018': 1}
03m12mtca8,{'1042998224083070977': 1}
0890,{'1031770594105335809': 1}
08nol,{'1031876484498108423': 1}
0902,{'1031863886599938050': 1}
0aydf,{'1031869835230228481': 1}
0be,{'1031875249237884929': 1}
0buin,{'1031803500638994432': 1}
0dnqn,{'1031843606695501824': 1}
0jiwdcadm,{'1031834541747580929': 1}
0jk3idyt2,{'1031771154040717313': 1}
0m7pvip,{'1031863886599938050': 1}
0mp03,{'1031844392489766912': 1}
0my96wn,{'1042990955702366213': 1}
0ovtmkgg,{'1031847055180947456': 1}
0pbw,{'1031769337676398593': 1}
0ssv,{'1043001118559678465': 1}
0uscmmotxm,{'1031873840295673857': 1}
0wniy7t,{'1031840685887037440': 1}
0yjb3eb,{'1031858547070574592': 1}
100,{'1031857016665460736': 1}
1000usd,{'1042992083370311680': 1}
1010,{'1031769488973283328': 1}
107,{'1031856641673711616': 1}
107fm,{'1031855535874863104': 1}
1092maurici,{'1031777467311251457': 1}
10pm,{'1031774204381863936': 1}
112vmj6erd,{'1042992883521843201': 1}
120,{'1042994822238224384': 1}
1300,{'1042994053065846790': 1}
130877,{'1042991375984148480': 1}
1612,{'1042991431638384640': 1}
164,{'1031882471556755458': 1}
16n,{'1031782783881015297': 1}
17en,{'1031768532814647296': 1}
184,{'1031887885933404162': 1}
18zsdy,{'1042980731843006464': 1}
1956,{'1031768640880828416': 1}
196,{'1031879619635494912': 1}
1960,{'1031769680820756480': 1}
1977c,{'1042985198176985088': 1}
1978,{'1031879432284397573': 1}
1akv8centy,{'1031891960582340609': 1}
1bpgk5yc7,{'1031768536308506629': 1}
1er,{'1031806903121260546': 1}
1gmsx704kh,{'1031798811281301504': 1}
1jfuws03s,{'1042996933353070593': 1}
1jvyo0mtb,{'1042999412782379013': 1}
1peqy,{'1031774814116237312': 1}
1sbrwu8yl,{'1031793840582283264': 1}
1skruv,{'1031785833144102912': 1}
1tzwt,{'1031834808434020352': 1}
200,{'1031768532814647296': 1}
2013,{'1031781794343833600': 1}
20152,{'1031772526526033920': 1}
2017,{'1042992083370311680': 1}
2018,{'1042984143296983040': 1}
2019,{'1042985338820415489': 1}
2019jueg,{'1031892009420763138': 1}
2022,{'1042985338820415489': 1}
210,{'1031776404101373952': 1}
2106954,{'1031862999450112000': 1}
21disen,{'1031788668837654528': 1}
21notici,{'1042988244911046656': 1}
24aa8,{'1031859712151773184': 1}
24horasec,{'1031856808527200256': 1}
24horastv,{'1031856808527200256': 1}
2augq5xmvm,{'1031796039555141632': 1}
2do,{'1031869430136033280': 1}
2har,{'1031798681027129344': 1}
2ktf6r,{'1043000255539699714': 1}
2lz,{'1042996769544581120': 1}
2moyjmki9,{'1031770664888238080': 1}
2n6ksv9,{'1031845157992378368': 1}
2nx7zyq91j,{'1043001215825526784': 1}
2tzpwydp,{'1031863530281230336': 1}
2vk1wztm,{'1031844936474353664': 1}
3100,{'1031770594105335809': 1}
330,{'1031872783553384449': 1}
331,{'1031882829616046081': 1}
364w7cepp,{'1042986664505663495': 1}
365,{'1042993730808995842': 1}
