word,frequencies
011,{'1046571319263989762': 1}
01369992,{'1046571790359826432': 1}
04aida04,{'1046571332815802369': 1}
0890,{'1046571159750422529': 1}
08jzqqv6tb,{'1046571765785415680': 1}
0aqkqtq,{'1046570876056064001': 1}
0gwhpb6l,{'1046571380031082496': 1}
0huot,{'1046570546643832832': 1}
0l2yop,{'1046571165190434816': 1}
0o8owdz,{'1046570399901855744': 1}
0rexp0litic0,{'1046570436761473024': 1}
0u5iig9vg3,{'1046570439844204544': 1}
0xmbl12,{'1046570406080065537': 1}
100,{'1046570766794395649': 1}
1100,{'1046571391527669765': 1}
11oficial,{'1046571248673845249': 1}
120,{'1046570842543587328': 1}
1483,{'1046571414105526272': 1}
192atw75i,{'1046570572564627457': 1}
19811981,{'1046570572564627457': 1}
1995,{'1046571405440155648': 1}
1bsg50fv,{'1046571380031082496': 1}
1f3vyvl4,{'1046570853775953920': 1}
1ht,{'1046571649766588417': 1}
1mytubr,{'1046570437772288006': 1}
1q53tgax,{'1046570401281839104': 1}
1roay8b,{'1046570361104601088': 1}
1wsjm,{'1046570887506522113': 1}
1ybi,{'1046570394738556928': 1}
1yx,{'1046570740127072261': 1}
2016,{'1046570612695715840': 1}
2018,{'1046570371279917057': 1}
2022,{'1046571612563296256': 1}
2125353,{'1046570511810142211': 1}
2623,{'1046571570725093376': 1}
2710,{'1046571223864561665': 1}
28robles7,{'1046570858557460480': 1}
2906,{'1046571594221580289': 1}
2clca7m2l,{'1046571294198763521': 1}
2d8,{'1046570511810142211': 1}
2fo6ycvoh,{'1046571630783344640': 1}
2g3ckq8yr,{'1046570566797406210': 1}
2jlh3wfo,{'1046571181325914115': 1}
2lrr1iakr,{'1046570505111830528': 1}
2m7lte,{'1046570825984421889': 1}
2otbk4,{'1046571579830865920': 1}
2teoi,{'1046570384089337856': 1}
2yczcx9q,{'1046570624322326528': 1}
2ykl,{'1046570529728221185': 1}
300,{'1046570394738556928': 1}
3001,{'1046571565364781056': 1}
302avcnx,{'1046570493007056897': 1}
3691359,{'1046570413495648257': 1}
37i,{'1046570496458993664': 1}
3980446,{'1046570360282460161': 1}
39mzd,{'1046570546643832832': 1}
3aav2,{'1046571577419210753': 1}
3b4ln6cvla,{'1046571509505028096': 1}
3cqy1dz,{'1046570754756800513': 1}
3dkn8wslrm,{'1046570888634781698': 1}
3fqj4xv,{'1046570507292880897': 1}
3h3,{'1046570413495648257': 1}
3nh0xhjz,{'1046571406421635072': 1}
3nlkcasqj,{'1046570792291512320': 1}
3tamt,{'1046570550271905792': 1}
3uj3l1vd,{'1046571509505028096': 1}
3wl0ogsd2j,{'1046570865662537728': 1}
3wqgyjk452,{'1046570511810142211': 1}
3ye,{'1046571586634076160': 1}
406,{'1046571345100886017': 1}
40mm,{'1046570836826763264': 1}
4afwspflm,{'1046570368910192640': 1}
4d2bd0jfqt,{'1046571273776697344': 1}
4eweux,{'1046570564989726728': 1}
4hr,{'1046570663773958144': 1}
4joe0o,{'1046570732266967040': 1}
4oq8p,{'1046570560124260352': 1}
4pdsjtg,{'1046570855264919553': 1}
4xye6miphf,{'1046570459385516035': 1}
53a,{'1046571195901124609': 1}
54jcl86zpc,{'1046570888634781698': 1}
5764793,{'1046570505111830528': 1}
578,{'1046570915012771840': 1}
59opthog8q,{'1046571749855383552': 1}
5ekl4,{'1046571478337146885': 1}
5euqj6rwu,{'1046571468002349056': 1}
5hy6,{'1046570915012771840': 1}
5ikrcotnpm,{'1046570493007056897': 1}
5nuadtadw,{'1046570378355789824': 1}
5orxh4kiwk,{'1046571611422433282': 1}
5plzweimy5,{'1046571291858350080': 1}
5s0wiucidb,{'1046570535096856576': 1}
5sakpl,{'1046571649766588417': 1}
5w1eenyb,{'1046570724624920576': 1}
5ygi4awl,{'1046571705605525504': 1}
69jyzpl,{'1046571413128269825': 1}
6dxtdxeet,{'1046571345100886017': 1}
6fokgibvu3,{'1046570564989726728': 1}
6iwfnlb5dm,{'1046570429245206529': 1}
6moog0css,{'1046571101843787776': 1}
6nk4ycuo4z,{'1046570511747207168': 1}
6ogqvwqbui,{'1046571230931939329': 1}
6srzjhcifk,{'1046570971694600195': 1}
6t4,{'1046571475212410881': 1}
6ww6kl3og4,{'1046571756973162499': 1}
75nslgjc2z,{'1046570498614808578': 1}
7686,{'1046571258979201024': 1}
77aoh9,{'1046570894800408577': 1}
77ve,{'1046571477242441728': 1}
78gsglwl6q,{'1046570657264340994': 1}
7bhqvt,{'1046571714572943361': 1}
7bsw,{'1046570544529846274': 1}
7ctfjd5pg,{'1046570624322326528': 1}
7dusfn4m7f,{'1046571684361310208': 1}
7fx4d,{'1046571171020517376': 1}
7il0gstcj,{'1046571186916929536': 1}
80s,{'1046570691578007552': 1}
85b4asgh,{'1046571076724174849': 1}
8ay,{'1046570606085500928': 1}
8hvea5umd,{'1046570431128440832': 1}
8ke8f9tzp8,{'1046570566461935617': 1}
8l17hbx8w,{'1046571627994075136': 1}
8lnjau,{'1046570612494389249': 1}
8m1yxrch,{'1046570878698442752': 1}
8m7s7yprr,{'1046571450461802496': 1}
8nu496zyk,{'1046571345100886017': 1}
8nworzc2,{'1046571705299333120': 1}
8s0fkzj4,{'1046570438766317569': 1}
