word,frequencies
00268781,{'1041678831382396928': 1}
00rzh4tsjp,{'1041608683300573184': 1}
04codf,{'1041704542075805696': 1}
057al,{'1041693642107367424': 1}
0710,{'1041675869545275392': 1}
0890,{'1041638364758372353': 1}
0axpq,{'1041692005838016512': 1}
0cyfkf,{'1041667814250172416': 1}
0eez,{'1041681650038521858': 1}
0hzekp2pxk,{'1041675572466921472': 1}
0i5erg6,{'1041662661300236290': 1}
0jhccu6ti,{'1041693881551802368': 1}
0rexp0litic0,{'1041597619452239872': 1}
0w5gkahytq,{'1041645036977442816': 1}
0xw1aedjuv,{'1041705816682835969': 1}
0xzlalqnn,{'1041690730899615745': 1}
0yyocc,{'1041698159322443776': 1}
0yzwi0j,{'1041709259229036544': 1}
100,{'1041633706400800768': 1}
1000,{'1041597145910894592': 1}
1030am,{'1041708477515816960': 1}
12738537,{'1041661180065005570': 1}
12qvk,{'1041676896948301824': 1}
131zmby,{'1041651872355037186': 1}
134,{'1041686061104226304': 1}
14dd7,{'1041661193415536640': 1}
150,{'1041658406535397376': 1}
17sep,{'1041653798752739328': 1}
1901,{'1041660935956586496': 1}
1977,{'1041625692629282817': 1}
198,{'1041692597717225472': 1}
1bvn8da,{'1041706301485666304': 1}
1cerr,{'1041686082872590336': 1}
1congres,{'1041658983268925440': 1}
1edy7,{'1041631044879953921': 1}
1ic4rtw,{'1041685418599694337': 1}
1ihr8mb1,{'1041666605858648064': 1}
1kyisysldf,{'1041658780977704960': 1}
1nfoman,{'1041667292852113410': 1}
1ovhfl2rdg,{'1041709348555313152': 1}
1ras,{'1041682078939664384': 1}
1x6ay0,{'1041601912523640832': 1}
1xceush,{'1041675572466921472': 1}
1yykkbmv2,{'1041706129863192577': 1}
1zfauh8dbv,{'1041612729226805249': 1}
1zzg,{'1041707118854909953': 1}
2012,{'1041698036328611845': 1}
2018,{'1041599482134126593': 1}
2019,{'1041630379030077440': 1}
2067,{'1041646542225072128': 1}
2125353,{'1041702668970942464': 1}
2195263,{'1041708084144553986': 1}
21notici,{'1041656595653029889': 1}
2323,{'1041680006047584263': 1}
2390,{'1041686678774198272': 1}
24h,{'1041678888563290112': 1}
2580,{'1041679198975352832': 1}
280,{'1041658916898304000': 1}
28robles7,{'1041662228615901184': 1}
