word,frequencies
011,{'1046877373587759104': 1}
01369992,{'1046872981425856512': 1}
01ie1ga0x,{'1046882495894052865': 1}
0890,{'1046878853854105601': 1}
0af,{'1046882241777938432': 1}
0cjks4lp,{'1046884303861428225': 1}
0covm,{'1046885194291191808': 1}
0eflwmanrg,{'1046884830003253249': 1}
0jaceslj,{'1046884327336939523': 1}
0mjzhvpoz,{'1046880945633210368': 1}
0nuy,{'1046873434268061697': 1}
0r4mab,{'1046883926613143553': 1}
0th,{'1046872734507159553': 1}
0ts,{'1046883135206690818': 1}
0xaln5sc2,{'1046884197263187969': 1}
0xpwouc,{'1046878271357501441': 1}
113,{'1046874967076417537': 1}
11am,{'1046885896459620353': 1}
11p,{'1046880374599688198': 1}
1204,{'1046877427111268352': 1}
1230,{'1046879154879311873': 1}
13bolo5,{'1046877251923529728': 1}
13owavo11,{'1046878702011846656': 1}
1408,{'1046877634548895746': 1}
143,{'1046874967076417537': 1}
1508,{'1046880588492410880': 1}
16091959,{'1046872791373570048': 1}
165,{'1046874967076417537': 1}
170599,{'1046873098325241857': 1}
17647167,{'1046877329757106176': 1}
19151077,{'1046881833210777600': 1}
191xuinr0k,{'1046873573305044993': 1}
1930,{'1046880119967703041': 1}
1956,{'1046872305861890048': 1}
1976,{'1046884223922135042': 1}
1986,{'1046876012498292736': 1}
1988,{'1046873084765065216': 1}
1989,{'1046878407689195526': 1}
1999,{'1046883289808740352': 1}
19990,{'1046872438884175872': 1}
1bdlnlv83y,{'1046878868244717569': 1}
1fej,{'1046873437006905344': 1}
1i0u,{'1046877427073503234': 1}
1i5tg49pn,{'1046876847177392128': 1}
1iwls13ihq,{'1046875875545890816': 1}
1mjazo9tq1,{'1046882687640920064': 1}
1o8cudbek,{'1046877339483852805': 1}
1pf8m,{'1046876316157530113': 1}
1ra,{'1046879535797612547': 1}
1rh,{'1046872819248828416': 1}
1roay8b,{'1046883626972012544': 1}
1soydeizquierd,{'1046873933318971392': 1}
1titculxk,{'1046876361456017409': 1}
1un3fvc,{'1046879027569598471': 1}
1vgawaf9d,{'1046880304168886274': 1}
1w5la0v,{'1046878064687353857': 1}
1xqda9qek,{'1046884842280050690': 1}
2000,{'1046879027569598471': 1}
2002,{'1046876323128467456': 1}
2012,{'1046880133850779648': 1}
2016,{'1046877711082360834': 1}
2017,{'1046879150861103104': 1}
2018,{'1046872849963737095': 1}
2018n,{'1046884830003253249': 1}
2193,{'1046875297918963712': 1}
21n,{'1046877872357552130': 1}
21notici,{'1046872896067575808': 1}
21tvenviv,{'1046877321284788224': 1}
2323,{'1046877997758910465': 1}
234,{'1046874610405388294': 1}
2406jyadpz,{'1046872949310021632': 1}
240912,{'1046875250246467584': 1}
27k5td,{'1046880926016462849': 1}
2g3ckq8yr,{'1046873240226996226': 1}
2guavl3,{'1046875820982198276': 1}
2ixo8p,{'1046884388766666753': 1}
2jeeht6hzr,{'1046878922032463874': 1}
2khdu8ogv4,{'1046872695030341632': 1}
2kyxtmqim0,{'1046885008726736896': 1}
2lqtz9l,{'1046873233595817984': 1}
2ogu91o,{'1046874020065566720': 1}
2rikosmb0h,{'1046874193982382082': 1}
2uo6,{'1046872695030341632': 1}
2xuly,{'1046875376142684160': 1}
2y7clkn3,{'1046873672089243649': 1}
32rtra95z,{'1046885767149232129': 1}
3556luis,{'1046879448031776768': 1}
35bu9gwl3y,{'1046884340548931585': 1}
360,{'1046879124504104961': 1}
3bdg7,{'1046878877946208257': 1}
3bo5bhwwft,{'1046884511324262400': 1}
3ebscn1n,{'1046877182360981504': 1}
3fgch3zni,{'1046884879819071489': 1}
3mbo73,{'1046882490366005250': 1}
3qooqb,{'1046884250837028865': 1}
3uo6a1czi,{'1046885068260749317': 1}
3whf8zeiv,{'1046876177368080384': 1}
3xjz6il,{'1046881324064231425': 1}
