word,frequencies
00268781,{'1046831370440507393': 1}
007,{'1046822384630734848': 1}
011,{'1046831229990043649': 1}
01369992,{'1046829960923688960': 1}
0404,{'1046832021463552000': 1}
07081924,{'1046829523596189697': 1}
09960,{'1046828883620892672': 1}
0aqkqtq,{'1046822570664894464': 1}
0dluwqeal2,{'1046822947728642052': 1}
0enme2xnrk,{'1046824898851684353': 1}
0o4ce2o0,{'1046823358208397313': 1}
0ptbyai3t,{'1046831079758483456': 1}
0q2hi,{'1046824642021715973': 1}
0t4eae2uum,{'1046826427373563904': 1}
0ta6cymh55,{'1046825745312600065': 1}
0th,{'1046822452133810177': 1}
0yrqa,{'1046824724800651265': 1}
1000,{'1046826026041593857': 1}
13947878,{'1046827301596479488': 1}
1483,{'1046822301021458433': 1}
14ryb34ai,{'1046822845928620033': 1}
1759,{'1046822094993068032': 1}
184,{'1046823860128165888': 1}
1947,{'1046825530731958274': 1}
1970,{'1046829814450212865': 1}
1976,{'1046832135624163329': 1}
1979,{'1046831187015163907': 1}
19811981,{'1046824762545250305': 1}
1988,{'1046822471364694022': 1}
19ertv1p,{'1046825129106395137': 1}
1amgqc1,{'1046823741483831298': 1}
1atwbx4s,{'1046824507636371462': 1}
1bibart4b,{'1046830288792432646': 1}
1bx58e,{'1046821982040412165': 1}
1er,{'1046830510209748992': 1}
1ezpyqsnfp,{'1046832974723989504': 1}
1fy,{'1046832789734215680': 1}
1i6aiz14m,{'1046825001448607745': 1}
1j267ds,{'1046832979656544259': 1}
1q53tgax,{'1046828882060562433': 1}
1sfcs,{'1046826122946723840': 1}
1stfuoltmc,{'1046830966969434113': 1}
1vqmgw8,{'1046823211202097152': 1}
1w5la0v,{'1046826656235769857': 1}
2000,{'1046829960923688960': 1}
2006,{'1046825039587360769': 1}
2010,{'1046827709891010560': 1}
2011,{'1046825530731958274': 1}
2012,{'1046823149243895810': 1}
2016,{'1046830914796445697': 1}
2017,{'1046830199587971072': 1}
2018,{'1046822206653763584': 1}
2021,{'1046824942560526339': 1}
208,{'1046827852279287809': 1}
20find,{'1046832957049241603': 1}
2193,{'1046825693693300736': 1}
21notici,{'1046823698777460736': 1}
21tvenviv,{'1046823358208397313': 1}
22y0fwx189,{'1046825101428047872': 1}
2323,{'1046822346835865600': 1}
234,{'1046831597247516672': 1}
2406,{'1046828243393896449': 1}
240912,{'1046823957041750021': 1}
2443319,{'1046827609244471296': 1}
2504,{'1046830792872251392': 1}
2506,{'1046823464265560064': 1}
28robles7,{'1046829340762214401': 1}
2d8,{'1046824681549037568': 1}
2do,{'1046831393148473346': 1}
2g3ckq8yr,{'1046829032371830790': 1}
2gn8,{'1046826555685658628': 1}
2jlh3wfo,{'1046824746401366017': 1}
2nrcq,{'1046827352238563328': 1}
2ogu91o,{'1046823646155739137': 1}
2rtvj,{'1046827939449454594': 1}
2rvusoxww,{'1046830944236318725': 1}
2sym60hd,{'1046831783524864006': 1}
2y7clkn3,{'1046826961564291074': 1}
3000,{'1046829960923688960': 1}
30oo,{'1046832245581975553': 1}
3556luis,{'1046829830216400901': 1}
360,{'1046823189962260481': 1}
3691359,{'1046833112615985153': 1}
3cari,{'1046823853861871616': 1}
3fppabu79c,{'1046828175706259459': 1}
3lcuw0nqcr,{'1046832851096866819': 1}
3phvw4sdv,{'1046829413923532800': 1}
3rd,{'1046825944995024898': 1}
3tugsiwyi,{'1046824507636371462': 1}
3xw,{'1046832513203802112': 1}
3zdb2df4,{'1046822100923817986': 1}
400,{'1046823337861828608': 1}
410,{'1046828007191658497': 1}
4anquukxyd,{'1046824524883402752': 1}
4dnc8abf,{'1046832266985529345': 1}
4e0xt2w,{'1046832675233959936': 1}
4golp,{'1046824898851684353': 1}
4hgva,{'1046830234954354690': 1}
4mojk,{'1046828427716780033': 1}
4ophrdtq5g,{'1046826752121671680': 1}
4qoor9lprj,{'1046823593844375552': 1}
4qwaemcl,{'1046825001448607745': 1}
4to,{'1046832740828663808': 1}
4xkrbjb,{'1046822295967338498': 1}
4zw,{'1046823295306338308': 1}
530,{'1046829484282920961': 1}
554ls0rg5o,{'1046828741329080320': 1}
5620454,{'1046832783316987906': 1}
5bwz,{'1046827743491641344': 1}
5guvx6w3,{'1046832997222240256': 1}
5liryg4,{'1046830380559618050': 1}
5m8,{'1046832982911279104': 1}
5pcj2,{'1046827787280113664': 1}
5tpomkkw7,{'1046827711673425920': 1}
5zms9cpzag,{'1046830200292614144': 1}
62i,{'1046824742563528704': 1}
676,{'1046832129072619527': 1}
6di,{'1046831691418009602': 1}
6fzd6,{'1046831282947264520': 1}
6nwy,{'1046823745359372291': 1}
6t4g6vdvm,{'1046828377095585792': 1}
6tnf,{'1046831017632436224': 1}
6u99kb3,{'1046828084215844865': 1}
70xbej,{'1046828437292421120': 1}
7308174,{'1046832484019781633': 1}
7617251,{'1046833172770635776': 1}
7hm,{'1046828851127623681': 1}
7ickrs,{'1046832069949702144': 1}
7ii,{'1046832249612722177': 1}
7j8s1wqnh,{'1046822905345200128': 1}
7jhynlil,{'1046827525895335936': 1}
7kazyiqr,{'1046828840348209152': 1}
7ng5uxpux,{'1046823358208397313': 1}
7nx7tbjrrj,{'1046832675233959936': 1}
7nyward6wf,{'1046831637605044224': 1}
7pvnxtn,{'1046822714286264323': 1}
7qnym8tcn,{'1046823593844375552': 1}
7tydq,{'1046833098623791105': 1}
7z8khpd,{'1046824681549037568': 1}
7zbt7,{'1046832306843992065': 1}
8383916,{'1046826586681556993': 1}
87fkxux3z,{'1046827528193806337': 1}
8bx7oqgecx,{'1046825371570720768': 1}
8m1yxrch,{'1046827539623288837': 1}
8wz,{'1046825101428047872': 1}
8xhjrqaq1,{'1046832135624163329': 1}
8yxpsgx,{'1046829075988402176': 1}
964,{'1046823023301595136': 1}
967,{'1046821974062899200': 1}
96hutpyh3l,{'1046822655339446273': 1}
999,{'1046825745312600065': 1}
