word,frequencies
00042,{'1034262949261729793': 1}
013,{'1034261188266405888': 1}
02092018,{'1034252585195241473': 1}
05400878,{'1034280915181154304': 1}
09311656,{'1034272099257524224': 1}
0c4damb,{'1034255421131902976': 1}
0em,{'1034256923409952768': 1}
0gaz5mr4w8,{'1034285343627980801': 1}
0gs,{'1034244546769702914': 1}
0jm2dsxnu,{'1034259537321185284': 1}
0lfeo1flcl,{'1034254248551297025': 1}
0lhbqlp,{'1034275836935974912': 1}
0nsodn,{'1035426665579651072': 1}
0po3uqmtkm,{'1034278218818301953': 1}
0qfaspaj2,{'1035413353555009536': 1}
0wqhbgc1,{'1034269879204032513': 1}
0xgmhu9m,{'1035427547859890176': 1}
0y2moav3gi,{'1034270606550880256': 1}
100,{'1034258398408261632': 1}
1000,{'1034252670683496448': 1}
101,{'1035395746525323264': 1}
109,{'1034265746614964224': 1}
112,{'1034265746614964224': 1}
116,{'1035404452986056704': 1}
119,{'1034265746614964224': 1}
1200,{'1034258398408261632': 1}
1307,{'1034295300150714369': 1}
138,{'1034265746614964224': 1}
140,{'1034265746614964224': 1}
147,{'1034265746614964224': 1}
1483,{'1035391950176886785': 1}
16727013,{'1034276496104480768': 1}
184,{'1035480218155274241': 1}
1924,{'1034269090280628225': 1}
1950,{'1034287789418917888': 1}
1956,{'1034248412642897921': 1}
1982,{'1035409264981041153': 1}
1986,{'1035399772713234433': 1}
1989,{'1034262691320348672': 1}
1fum,{'1034302669681119233': 1}
1g4r9nkb1,{'1034301531603066880': 1}
1iuh3a5oc,{'1034265041141460992': 1}
1l31e8cu,{'1035408748766998528': 1}
1lnkec,{'1034301901838458881': 1}
1uqrljymxz,{'1035442643549990912': 1}
1vnxtui,{'1035395282962472960': 1}
1vsbe,{'1035422115325984774': 1}
1w9fsh,{'1034294446916022273': 1}
1wra,{'1034245978386309120': 1}
1x4,{'1034262811818516480': 1}
1ytx5fj,{'1034262455961247744': 1}
1zzmjq8xc,{'1034284228731592705': 1}
2006,{'1034259244336513024': 1}
2011,{'1034248740499009538': 1}
2012,{'1035480218155274241': 1}
2016,{'1034266862190772224': 1}
2018,{'1034245140385357824': 1}
2040,{'1034258922297860096': 1}
2106201,{'1034252585195241473': 1}
21notici,{'1034287627313340416': 1}
2329,{'1035452208958119936': 1}
25k,{'1034266206709145600': 1}
2cs1,{'1035427772271869952': 1}
2ffp0,{'1035413353555009536': 1}
2hjs,{'1035393560256761857': 1}
2knrpkfl,{'1035418728874352640': 1}
2lony,{'1034256516264673287': 1}
2rkbm0slrm,{'1034284227464843265': 1}
2tx8q6,{'1034297327295582208': 1}
2uwxcxurkq,{'1035423000361951232': 1}
2w05vsyb,{'1034300263471964161': 1}
330,{'1034245140385357824': 1}
3381494,{'1034258350928736259': 1}
3756520,{'1034280991215505408': 1}
3980446,{'1035480218155274241': 1}
3guc059gz4,{'1034290606506496000': 1}
3hapg,{'1034286611851300865': 1}
3hen5u,{'1034302766678781952': 1}
3jxhx1epph,{'1034263690495905792': 1}
3l7dttlflh,{'1034288446016237568': 1}
3mtwqs4ky,{'1034259595294859264': 1}
3nahqq2ms,{'1035432599391485952': 1}
3odo1kd,{'1034303272763486211': 1}
3yhzrltvw,{'1034289578780372992': 1}
41642,{'1035413094539952128': 1}
43j7,{'1035421696281460736': 1}
4bid4gosys,{'1034266827998851072': 1}
4bz7c7,{'1034260971680882688': 1}
4dw9at7k2t,{'1034286127757312000': 1}
4k5xsw,{'1034262622064009218': 1}
4k6jqcghyy,{'1035486597217746944': 1}
4la,{'1035479057780154368': 1}
4lzl,{'1034262691320348672': 1}
4nghgciy,{'1035422115325984774': 1}
4tgv9lubkz,{'1034265444755165184': 1}
4uahjkww,{'1034280346739605504': 1}
4uidmokwur,{'1034252670683496448': 1}
4vvtsxngez,{'1035401159438229504': 1}
4wvh,{'1034300458330939393': 1}
4zwiw,{'1034271484397670401': 1}
500,{'1035396316887543808': 1}
516,{'1034301477660106752': 1}
54jxan5qrw,{'1034251232683196416': 1}
5qjtealz,{'1035397523899408384': 1}
5rryddw,{'1034284661046947840': 1}
5ubnpxxk,{'1034266827998851072': 1}
5utps,{'1035409264981041153': 1}
606,{'1035436896778899456': 1}
6dxn3c,{'1034272302307966976': 1}
6f68t,{'1035485515502575616': 1}
6goldtdg,{'1034300582125883392': 1}
6mhfe2e,{'1034265632357928961': 1}
6otiwxs1f6,{'1034288217686724614': 1}
6p0wcf4,{'1034253250030174209': 1}
6rll,{'1035400694998675456': 1}
6umtjnywt,{'1035392665603530758': 1}
6wvlcmxhi,{'1034246354296561665': 1}
6x2tmc2b4,{'1034269043920973825': 1}
6z4wd,{'1034298400697671680': 1}
710,{'1034253032018649089': 1}
747,{'1034260070031343616': 1}
7764785,{'1034257324540608513': 1}
7878789,{'1035406125691219968': 1}
794,{'1034248711038222337': 1}
7tj8nw50y,{'1034277206816632834': 1}
7vtsq,{'1034248089299767297': 1}
7wr0r,{'1035393438412427264': 1}
7yqjekhgof,{'1034252954457579521': 1}
84rybf0fd,{'1034265746614964224': 1}
87rsmtrqqz,{'1035403928039505921': 1}
88h5voep,{'1035418728874352640': 1}
8b6c8j3vl,{'1035409229308481537': 1}
8fip7,{'1034286110933954560': 1}
8fm5jkznn,{'1034299794041266178': 1}
8fpibp3,{'1035416233175408640': 1}
8gc5,{'1034261171820474368': 1}
8hip,{'1034264234815827969': 1}
8otzi,{'1034263906410225664': 1}
8qyevm6ckx,{'1034290316742979584': 1}
8rvnimh,{'1035397523899408384': 1}
900,{'1034253032018649089': 1}
92aki,{'1034275462195949568': 1}
949,{'1035435041348890624': 1}
967,{'1034254506685620224': 1}
96tkqh7ef,{'1034265774490181632': 1}
9lmbjny,{'1034248187001950208': 1}
9m3jfvus41,{'1034302361597108224': 1}
9mn,{'1034261033844723712': 1}
9qwngbbkmz,{'1034274792432644099': 1}
9tkl8,{'1034286127757312000': 1}
9tskup7,{'1034269638593601536': 1}
9v14wmqvx0,{'1035487938933665795': 1}
9w4guuli,{'1034289578780372992': 1}
9wagh,{'1034259244336513024': 1}
9xho,{'1034255193247031296': 1}
9zpruypy,{'1035404929450618880': 1}
aad,{'1034302669681119233': 1}
aaguinag,{'1035397523899408384': 1}
aareval,{'1034270781159731205': 1}
abaj,{'1034263050382204928': 1}
abander,{'1035452208958119936': 1}
abismal,{'1034263747794231296': 1}
abraz,{'1034275976266571776': 1}
abre,{'1035395746525323264': 1}
abril,{'1034244706035806211': 1}
abrum,{'1034292661874843648': 1}
acab,{'1034249380021366791': 1}
acces,{'1034259698260828160': 1}
accin,{'1034257880315256832': 1}
accion,{'1034261188266405888': 1}
acciondeampar,{'1035393956836716544': 1}
aclar,{'1035475422056787968': 1}
activ,{'1035396913133248512': 1}
acto,{'1034262622064009218': 1}
actos,{'1035427772271869952': 1}
actual,{'1034248740499009538': 1}
actualiz,{'1034263747794231296': 1}
acuerd,{'1034262949261729793': 1}
acusacin,{'1034250986561462274': 1}
added,{'1034292424435097600': 1}
adel,{'1034248089299767297': 1}
adem,{'1035472256359714816': 1}
adems,{'1034253032018649089': 1}
administracin,{'1035432599391485952': 1}
admir,{'1035406506307530753': 1}
admiracin,{'1035407057443336192': 1}
ador,{'1034267238310862848': 1}
adult,{'1034302992755908611': 1}
afirm,{'1034274313879339008': 1}
agarr,{'1034248711038222337': 1}
agenciaandin,{'1034252670683496448': 1}
agost,{'1034259367695196160': 2}
agradec,{'1034248844425486341': 1}
agradezc,{'1034300582125883392': 1}
agrav,{'1035406942511001600': 1}
agresin,{'1034274792432644099': 1}
agu,{'1035429845763805185': 1}
ahes,{'1034244794263003136': 1}
ahor,{'1034248740499009538': 2}
ahorit,{'1035397335147323392': 1}
akeik,{'1035490974041092098': 1}
ala,{'1035394361188671489': 1}
alan,{'1034255118928109568': 1}
