word,frequencies
00268781,{'1046416418747674624': 1}
007,{'1046411800013606912': 1}
01369992,{'1046413113938137095': 1}
01j36n7wqa,{'1046422393554702338': 1}
02boah8rc,{'1046402369301426177': 1}
050i82hsuk,{'1046415630696665088': 1}
051,{'1046404716022956032': 1}
07ru0v,{'1046403719049486337': 1}
08623911,{'1046409980314824704': 1}
0a2c,{'1046416525366894592': 1}
0c41702g,{'1046422582369689601': 1}
0ib,{'1046409645840093184': 1}
0jvncmumq,{'1046405559979773953': 1}
0l5b44czj,{'1046408833764069376': 1}
0voerfgtgk,{'1046411108272283648': 1}
0xxf,{'1046407431910248448': 1}
100,{'1046409073745448968': 1}
1000,{'1046416327274110977': 1}
103,{'1046419214771396610': 1}
111,{'1046422401309970433': 1}
115,{'1046403204714569729': 1}
123,{'1046411221363249152': 1}
12345,{'1046422335979442177': 1}
123yessy45,{'1046403074301005824': 1}
125,{'1046422401309970433': 1}
137,{'1046419214771396610': 1}
1401,{'1046407665008738304': 1}
142,{'1046402741067804673': 1}
142 2909,{'1046418901456875520': 1}
143,{'1046417619107164160': 1}
147,{'1046419214771396610': 1}
1507,{'1046416283590438913': 1}
1511,{'1046403604712747008': 1}
1532,{'1046422013726937089': 1}
17000,{'1046416301634322438': 1}
1709,{'1046418901456875520': 1}
174,{'1046409467280150528': 1}
1779,{'1046421572838461440': 1}
182,{'1046402308559507457': 1}
186,{'1046422401309970433': 1}
189,{'1046422401309970433': 1}
18mil,{'1046421622230536192': 1}
18sxdrx1,{'1046413147287048194': 1}
190,{'1046420179507433472': 1}
19041,{'1046419025063014401': 1}
1950,{'1046419511996567554': 1}
1956,{'1046416418747674624': 1}
1978,{'1046417730491101184': 1}
197p66n,{'1046418714613223425': 1}
19861,{'1046421600210489344': 1}
19tot4,{'1046423295787249671': 1}
1dr,{'1046405002456178688': 1}
1er,{'1046416483998466048': 1}
1fulmi,{'1046409188480602113': 1}
1pbgqw26rx,{'1046408666784649222': 1}
1qfy4ltpcf,{'1046409612809949184': 1}
1qpfh5wkug,{'1046404792376086530': 1}
1wzov,{'1046415865057554432': 1}
1ysn,{'1046417210342821888': 1}
2002,{'1046405539658379264': 1}
2007,{'1046417617815293952': 1}
201,{'1046414949059301376': 1}
2012,{'1046402748143611904': 1}
2016,{'1046402243472363520': 1}
2017,{'1046402369301426177': 1}
2018,{'1046402574214139906': 1}
2021,{'1046405196581081089': 1}
2022,{'1046411087644696577': 1}
2123,{'1046422219323248641': 1}
21cod,{'1046422301145788416': 1}
21notici,{'1046407168109563907': 1}
2443319,{'1046408316623179776': 1}
24horastv,{'1046417258426355712': 1}
250,{'1046420179507433472': 1}
25vmqq,{'1046421378801586176': 1}
26fnfk7pop,{'1046412659548188675': 1}
2788,{'1046422219323248641': 1}
28robles7,{'1046402879215587334': 1}
2918,{'1046422188667142146': 1}
29pwzc7,{'1046407168109563907': 1}
2arq56,{'1046422316064952320': 1}
2axjyowku,{'1046421753197719552': 1}
2aye6t,{'1046408628826189824': 1}
2cat,{'1046412452081152000': 1}
2do,{'1046421798739484673': 1}
2hdvpai,{'1046404667691937792': 1}
2io7djn,{'1046405804520361984': 1}
2irbmlm,{'1046405035498897409': 1}
2v5ai7ivj,{'1046407580157956096': 1}
2z24bmr0j,{'1046403532667191296': 1}
3000,{'1046406928216264704': 1}
3139857,{'1046403053681807360': 1}
333,{'1046409980314824704': 1}
3431825,{'1046409803059277824': 1}
37zalea7m,{'1046416449303121920': 1}
3980446,{'1046412152880467969': 1}
3d4doeyarm,{'1046422371337457665': 1}
3er,{'1046413480457375749': 1}
3hvsi9tb,{'1046413013937516544': 1}
3insyixy6j,{'1046403627370336256': 1}
3j48tomamq,{'1046408390799437825': 1}
3kse,{'1046422611889147905': 1}
3nbawj5,{'1046412786887258112': 1}
3pd3syr5bx,{'1046411986244784129': 1}
3rrspq,{'1046423037632028672': 1}
3vo0zknqc,{'1046412152880467969': 1}
3wl0ogsd2j,{'1046404056690946048': 1}
3xay,{'1046410741664960514': 1}
3zrwiodpky,{'1046407457763786754': 1}
400,{'1046417617815293952': 1}
4503349,{'1046421732914016256': 1}
45bhhctwzq,{'1046421232764284929': 1}
45zs7idt,{'1046405013915029504': 1}
4958196,{'1046422941116903429': 1}
49foim,{'1046411859950211072': 1}
4ae,{'1046415365788569600': 1}
4cs,{'1046416130091503617': 1}
4jrfahq6ud,{'1046420470776700928': 1}
4l7onilwu,{'1046418473721765889': 1}
4la,{'1046407025738035203': 1}
4oxeo0tp2f,{'1046406028512948226': 1}
4qz,{'1046416185619861504': 1}
4rbfwuqhbn,{'1046422290081165312': 1}
4ssnbbmn,{'1046420758665326593': 1}
4zbhbefmvu,{'1046407523639709696': 1}
4zgtdz,{'1046404403702517760': 1}
5525345,{'1046422582369689601': 1}
5904682,{'1046404383271997441': 1}
5d3ydhp5,{'1046417111600500737': 1}
5ewi9vfi,{'1046405458066632704': 1}
5jsox,{'1046404773459767296': 1}
5jvfmqm7,{'1046421167521828867': 1}
5prn,{'1046415759986085889': 1}
5vs7fc2a2k,{'1046409063892946944': 1}
5yflq2p6,{'1046404932100911105': 1}
