word,frequencies
000,{'1046614284162224128': 1}
00268781,{'1046613464318382085': 1}
011,{'1046614566233407489': 1}
0208,{'1046616189559083008': 1}
03980908,{'1046613170608132098': 1}
0710,{'1046616728753639425': 1}
0890,{'1046615368914128896': 1}
08cnoomtb6,{'1046614284162224128': 1}
0af,{'1046613615007150083': 1}
0c2rsq,{'1046615556303056896': 1}
0dluwqeal2,{'1046613293614473216': 1}
0e8xcfc,{'1046615866773835777': 1}
0fqpf7y,{'1046613446790434821': 1}
0hclf9ilkn,{'1046615716449923072': 1}
0icqufu9,{'1046616856956678144': 1}
0jcxb,{'1046616330139361280': 1}
0kty0swfbc,{'1046616804309721088': 1}
0th,{'1046613881953693696': 1}
0uc9,{'1046616831836991494': 1}
0v4bf,{'1046615062365048832': 1}
0zmmq3x,{'1046614766201040896': 1}
100,{'1046614769577480192': 1}
1086,{'1046613903210352641': 1}
113,{'1046616497798426625': 1}
119r0xs,{'1046615062365048832': 1}
1230,{'1046613396433637376': 1}
1408,{'1046614800850190337': 1}
143,{'1046614558666895361': 1}
1483,{'1046614843984367616': 1}
165,{'1046614558666895361': 1}
170599,{'1046615786075361282': 1}
1988,{'1046615125984186368': 1}
1bb,{'1046615755951886336': 1}
1ehj72at,{'1046616655391059970': 1}
1j267ds,{'1046616006830018561': 1}
1og,{'1046615780043968513': 1}
1og2utxp8,{'1046615629237809157': 1}
1r3qb2cg,{'1046613459394318336': 1}
1roay8b,{'1046614754222112768': 1}
1tcwtktn5b,{'1046615880128516096': 1}
1tgs4wru6k,{'1046614419239837696': 1}
1w5la0v,{'1046614469466607617': 1}
2012,{'1046613301541699584': 1}
2016,{'1046614536407719936': 1}
2018,{'1046613260450058240': 1}
2019,{'1046613777750392839': 1}
202,{'1046613187351773186': 1}
2022,{'1046615556303056896': 1}
2193,{'1046614349232721921': 1}
21notici,{'1046613883983728640': 1}
234,{'1046613187351773186': 1}
2416312,{'1046613186265448454': 1}
25vmqq,{'1046616606535798784': 1}
27k5td,{'1046615623030239232': 1}
282,{'1046615902253461504': 1}
28robles7,{'1046614074338021376': 1}
2cmeabigdz,{'1046615094573117442': 1}
2do,{'1046616287387029504': 1}
2e8ini4oc,{'1046615755951886336': 1}
2gcudb00q,{'1046614653894369281': 1}
2iml9,{'1046615151384961024': 1}
2jeeht6hzr,{'1046616310136926209': 1}
2jlh3wfo,{'1046614244148604928': 1}
2kai,{'1046614591793508352': 1}
2l2op,{'1046614284162224128': 1}
2lwt,{'1046614382891991041': 1}
2m7lte,{'1046616812459368454': 1}
2ngb6zwi6,{'1046615496169263104': 1}
360,{'1046613816421896192': 1}
367oncs1,{'1046613970621272064': 1}
3691359,{'1046613999104741382': 1}
3980446,{'1046614091383689219': 1}
3fryk921,{'1046615946624995329': 1}
3kxdpb,{'1046615851976331266': 1}
3p6d,{'1046614653894369281': 1}
400,{'1046614598659579906': 1}
415,{'1046615041108312065': 1}
46nlat6,{'1046616996295651328': 1}
474770,{'1046613697970524160': 1}
4ayt0t8jqp,{'1046616978046275584': 1}
4eobrjxu,{'1046615144795656193': 1}
4jognmucq,{'1046616846651314181': 1}
4lnvedmug,{'1046615822968541184': 1}
4oq8p,{'1046614050837270530': 1}
4ur,{'1046615798511546368': 1}
4we,{'1046616887231238150': 1}
4xhgy,{'1046613474892115968': 1}
4xkrbjb,{'1046616693022359552': 1}
4z0fv,{'1046615204937822208': 1}
5111,{'1046614437589909504': 1}
54ht,{'1046614402525548544': 1}
55zp3clt,{'1046615556303056896': 1}
57carl,{'1046613404113358848': 1}
58i,{'1046614003504623616': 1}
5964148,{'1046616713641496576': 1}
5bwz,{'1046614649934925824': 1}
5ee,{'1046615285271326721': 1}
5ef5bjhpdb,{'1046614206571839488': 1}
5fgvx1fxlc,{'1046614408653230080': 1}
5izsulfu,{'1046615204057018368': 1}
