word,frequencies
000,{'1030405151297822720': 1}
00268781,{'1030444547963342848': 1}
011,{'1030397614557200389': 1}
0302,{'1030441285142896642': 1}
05ifv0x9hj,{'1032129260524331008': 1}
088xvb2m6g,{'1032121623590170625': 1}
0890,{'1030323002477559811': 1}
09575114,{'1030414694195113984': 1}
0et1nv,{'1030353534372392961': 1}
0n50663,{'1030338683432517632': 1}
0ptbygh3ry,{'1032123376679247872': 1}
0rexp0litic0,{'1032117671276539906': 1}
0wb3jlgwf,{'1030447147978825728': 1}
0z3bbda2qk,{'1030425674639712256': 1}
10so,{'1030428822422933504': 1}
12442586,{'1030409679166472193': 1}
13opbadju,{'1030319559918714880': 1}
13vwrqd,{'1030445324320563200': 1}
150,{'1030318683808256001': 1}
1500,{'1032128794209869834': 1}
151,{'1030339704082915330': 1}
162,{'1032129093905641472': 1}
16jj7urkl5,{'1032117758874595328': 1}
1969,{'1030418056202395649': 1}
1982,{'1030419864073191425': 1}
1987,{'1030348009740140545': 1}
1995,{'1032119142424432640': 1}
1dori,{'1030326856711634944': 1}
1er,{'1032121002174631936': 1}
1fmc30,{'1030441000525811712': 1}
1kwi3dl5,{'1030436027343818752': 1}
1pft,{'1030418786082545664': 1}
1ro,{'1032130061795778565': 1}
1rxe7upgn,{'1030347112234590213': 1}
1savinapaul,{'1032122242665263105': 1}
1tnr,{'1030435417525563393': 1}
2000,{'1030318683808256001': 1}
2011,{'1030414039741026304': 1}
2016,{'1032118371087728640': 1}
2017,{'1032118934437343233': 1}
2018,{'1032129742416293888': 1}
2018pq,{'1030318538249183233': 1}
2019202,{'1030324665691111425': 1}
2021,{'1032128991233277952': 1}
2021peru,{'1030335699856314369': 1}
2050,{'1032120719327543296': 1}
2129,{'1032129783797305344': 1}
2144987,{'1030425457378951169': 1}
217yudkj,{'1032129430339158016': 1}
21cordeliam,{'1030319559918714880': 1}
21notici,{'1032117502191517696': 1}
21wkdpg,{'1032119816226832384': 1}
226,{'1030433009881833472': 1}
22xpkvjs,{'1032129557334319104': 1}
2623,{'1030437124259176449': 1}
26yqoyniyq,{'1032119880194158592': 1}
2753185,{'1032123979106934785': 1}
2c6mbdmbc,{'1032126304823504896': 1}
2hdvv3v,{'1030347134636359681': 1}
2hvnkiy,{'1030418268497092609': 1}
2ifounjql9,{'1030441063046152193': 1}
2irlcukf,{'1032118686381953024': 1}
2iwlujxht8,{'1030323114679459841': 1}
2ox9,{'1032126962687467520': 1}
2shd,{'1032129557334319104': 1}
2tzpwydp,{'1032129611071725568': 1}
300,{'1030318683808256001': 1}
321,{'1032123108809994240': 1}
330,{'1032129742416293888': 1}
3556luis,{'1030386444135792642': 2}
37yevywr,{'1030349269406867456': 1}
3a3fq485,{'1032122242665263105': 1}
3b8d15,{'1032125845165490176': 1}
3ffnqlkfn,{'1032122808254582784': 1}
3me,{'1032118241789980673': 1}
3n5bezrpbx,{'1030351317968056320': 1}
3nt3nd3r,{'1030437633401528321': 1}
3ra,{'1030427987194388481': 1}
3tc,{'1030437633401528321': 1}
4808dpfxr,{'1030444667601649664': 1}
4e8hn0sbun,{'1030410412775239680': 1}
4eiv,{'1030443443636645888': 1}
4fh4x66,{'1030438883388006400': 1}
4guutkp289,{'1030423965997649920': 1}
4ppvn,{'1032125239457656833': 1}
4pr3nd3r,{'1030437633401528321': 1}
4ta,{'1030348018434932736': 1}
4u5,{'1032130116363673600': 1}
4wzwv92,{'1032117663626080256': 1}
4yprhlnh,{'1030425674639712256': 1}
56gng,{'1032123469406728196': 1}
588,{'1032125434903838721': 1}
5franciscofern,{'1032129515525423105': 1}
5lnzdzupk,{'1032127516155232257': 1}
5y1lqyiyv,{'1030322076547211264': 1}
636zwetik,{'1030409679166472193': 1}
666,{'1030319153213841408': 1}
6700407,{'1030321030504570880': 1}
6bju,{'1030445780212035584': 1}
6eepdf,{'1030390156266749952': 1}
6fhu,{'1030416528368394240': 1}
6kuu,{'1032118128954761216': 1}
6kwwriqp46,{'1032129368171139072': 1}
6nryp,{'1030439384817041408': 1}
6rpubyi,{'1032118112026537984': 1}
6zouip7i,{'1032123785846185984': 1}
6zovvxxuri,{'1030435256611033088': 1}
70s,{'1032127898197655552': 1}
716,{'1032118921258840065': 1}
72rk9k5,{'1030444347148386304': 1}
73ny,{'1030318343662788608': 1}
794,{'1032123376679247872': 1}
7c19xtmko,{'1030439302843564032': 1}
7dg,{'1030329175247343616': 1}
7f3os,{'1030333095784972288': 1}
7j4xffrh,{'1030435417521311747': 1}
7jq,{'1030446888355553280': 1}
7noiq,{'1030430851371290624': 1}
800,{'1030393126005993473': 1}
80gi50rd3,{'1030359211862056960': 1}
81hlmhvsmp,{'1030425234158112769': 1}
81m,{'1032129698871037953': 1}
8254,{'1030438687937622017': 1}
