word,frequencies
00029,{'1045046586055806977': 1}
0610,{'1045056558504325127': 1}
0bs1y,{'1045050140766040064': 1}
0d0hwjjkxo,{'1045050189130739717': 1}
0ezurfgn8v,{'1045051128906469376': 1}
0ft4,{'1045054590297755649': 1}
0iqgtlqgk,{'1045045840916762625': 1}
0iy,{'1045057489606234113': 1}
0jfdoyvfd,{'1045063631510081536': 1}
0kojh0wfs,{'1045062923092217856': 1}
0tikix,{'1045052154116034560': 1}
0vwuz4,{'1045056977204891648': 1}
0wrjpntj,{'1045057138920509440': 1}
0y9nqk,{'1045054731423535104': 1}
1000,{'1045048853219692544': 1}
1204,{'1045050054724276225': 1}
125,{'1045049673273298944': 1}
127carw9w,{'1045051785298284544': 1}
154,{'1045049673273298944': 1}
159,{'1045063489985925121': 1}
1790ac,{'1045051828147294208': 1}
184,{'1045049673273298944': 1}
1950,{'1045060261693009920': 1}
1956,{'1045062165210832896': 1}
1967,{'1045048168558325776': 1}
1969,{'1045060693349871617': 1}
1977c,{'1045047035186089984': 1}
1984,{'1045053059259338752': 1}
19991,{'1045054970259738629': 1}
1ddiz,{'1045063165455872000': 1}
1er,{'1045060298812592128': 1}
1gk,{'1045048007073386496': 1}
1oftk40p5r,{'1045062222102360065': 1}
1qka3awf,{'1045052439462891520': 1}
1rjaxfzp,{'1045054461255798784': 1}
1waqpohpyw,{'1045045728735907840': 1}
1xnznipgah,{'1045057931069149184': 1}
1xpzr4wga,{'1045047265918898177': 1}
2011,{'1045057308492005376': 1}
2013,{'1045049673273298944': 1}
2014,{'1045049673273298944': 1}
2015,{'1045049673273298944': 1}
2016,{'1045049673273298944': 1}
2018,{'1045045667402575876': 1}
2018n,{'1045052559403233280': 1}
2018ntv,{'1045052559403233280': 1}
21cordeliam,{'1045049079733125120': 1}
21notici,{'1045051875043741696': 1}
21xx,{'1045050803193606151': 1}
221,{'1045049895709749250': 1}
23cbk8,{'1045065636727087104': 1}
24horastv,{'1045058405008904193': 1}
26qq9,{'1045059167701147649': 1}
28bhuxphj,{'1045049147555033089': 1}
28dejuli,{'1045054763233144832': 1}
2do,{'1045052638323240962': 1}
2hlgbehd,{'1045061394947821569': 1}
2jwlukylhb,{'1045051913010597889': 1}
2kbdh,{'1045064036772139015': 1}
2kka8snewf,{'1045054309967302656': 1}
2lcxn,{'1045050850824114177': 1}
2llb,{'1045057813163192320': 1}
2mvkd,{'1045054500342517762': 1}
2ni9krl,{'1045046526614138883': 1}
2om3ke7,{'1045052335058292737': 1}
2pa8eq,{'1045049100314570753': 1}
2ujpfabnxm,{'1045050829361876992': 1}
2x1fxjge5,{'1045054421544161281': 1}
2xdg,{'1045051913010597889': 1}
2y7gbclqh,{'1045052650373484545': 1}
2zbh,{'1045053420690903040': 1}
30k,{'1045056141808607233': 1}
31t2pj,{'1045045765725450246': 1}
3382,{'1045054859106553856': 1}
33qgakn8,{'1045056737097785350': 1}
3461634,{'1045052917432995840': 1}
34uauozcv,{'1045052726005108737': 1}
3679704,{'1045060058558722048': 1}
38ad3rqs,{'1045060505319149570': 1}
3co5vqqlu,{'1045054597050626048': 1}
3enlolvazq,{'1045060684202070016': 1}
3idvms,{'1045057640911515650': 1}
3jzitymp3r,{'1045060353787408384': 1}
3kgkuun,{'1045054590297755649': 1}
3khc,{'1045050998253912064': 1}
3khf2gv2,{'1045050530022723584': 1}
3m3tsvbnxp,{'1045062411580035078': 1}
3ts43g9,{'1045055446262980610': 1}
3vepggfxmk,{'1045053318849073153': 1}
3vfh,{'1045065148715683840': 1}
3w1go0zws,{'1045058144924299264': 1}
3wr9qd3hkl,{'1045053633413500929': 1}
435,{'1045049673273298944': 1}
45fn9v,{'1045056415134633984': 1}
4aosperd,{'1045054763233144832': 1}
4dwhvejrj,{'1045065223537913856': 1}
4e5gdk40j,{'1045058515147083776': 1}
4mxgqy,{'1045061061928513536': 1}
4pjwrwph,{'1045058291032903681': 1}
4pm,{'1045061954237329408': 1}
4t02,{'1045066145684803584': 1}
4vx6u,{'1045055446262980610': 1}
4zrtmp57y,{'1045048091261505536': 1}
4zz2ow7,{'1045052335058292737': 1}
55zbpj,{'1045060653373947906': 1}
57zxlpxezn,{'1045058515147083776': 1}
5chxvj,{'1045053420690903040': 1}
5g0y,{'1045066087904227330': 1}
5g0yopr5rf,{'1045060421378609153': 1}
5hfs9ddwj,{'1045063999556120576': 1}
5mpp8vscke,{'1045045849515061254': 1}
5o1r,{'1045051953787670528': 1}
5pfdirpiz,{'1045054851296755712': 1}
5ppyy9,{'1045056212394479616': 1}
5rr1tntlt2,{'1045050108671340545': 1}
5svfqfjuh,{'1045065139228037120': 1}
5v0victs,{'1045051785298284544': 1}
5wolx,{'1045055118180306949': 1}
617,{'1045061394947821569': 1}
6ca6,{'1045050401148555264': 1}
6cagh52,{'1045065148715683840': 1}
6ieuwj,{'1045046797536817153': 1}
6iknuqrrii,{'1045045481808777222': 1}
6jafgqt,{'1045046558864142344': 1}
6kqxwomwwf,{'1045053656188497931': 1}
6kt9,{'1045051249576603648': 1}
6pm,{'1045061394947821569': 1}
6q4bot,{'1045046666037006338': 1}
6rb5mjp1u,{'1045063185563348992': 1}
6sn24me,{'1045065139228037120': 1}
6tw4r2f,{'1045048951743934469': 1}
6ugoxph,{'1045048173109145606': 1}
6xsqi,{'1045066145684803584': 1}
70cc,{'1045051547472842752': 1}
71w4taembr,{'1045046430149140480': 1}
73pfj,{'1045050308492226566': 1}
740c,{'1045055092276236295': 1}
750pm,{'1045058248003457024': 1}
75eut7bdj,{'1045049575118184448': 1}
766a,{'1045048344194805766': 1}
794,{'1045046038564933634': 1}
7bxdsrs,{'1045050745488371716': 1}
7dgsmv,{'1045058809167826944': 1}
7e9gbyxw,{'1045064586788044800': 1}
7fi,{'1045057931069149184': 1}
7gq4yyglf,{'1045050107039830016': 1}
7h4uy,{'1045064348895531008': 1}
7lne6lim,{'1045061802260910080': 1}
7mxmq9vom5,{'1045060901492150272': 1}
7ndh32,{'1045053695505960960': 1}
7qfs,{'1045052671370170368': 1}
7uquvye9,{'1045058623569842176': 1}
7yhxdd,{'1045054833177362432': 1}
80y9ym,{'1045047544844349441': 1}
815,{'1045058248003457024': 1}
81lydtzjpe,{'1045048024341389313': 1}
81m,{'1045053213169324032': 1}
8383916,{'1045053113122664448': 1}
83nhr,{'1045059783223595008': 1}
88zermbags,{'1045063917691695104': 1}
8aos,{'1045051828147294208': 1}
8ayahghhp,{'1045058694529134592': 1}
8cxagv,{'1045064616928317440': 1}
8ehbnovei,{'1045057941559218178': 1}
8eyv4,{'1045047677887672323': 1}
8f5sqwjd9,{'1045050210689470464': 1}
8gvm03g,{'1045051625956683777': 1}
8htz9oe4f,{'1045056632730865664': 1}
8ioc3fm7,{'1045050140766040064': 1}
8jmyxt9,{'1045050362573422592': 1}
8kllpjqem,{'1045047148260274176': 1}
8kubggg,{'1045063089379569670': 1}
8lwujcvf,{'1045046417973276675': 1}
8mvcmv2hxk,{'1045060732533067782': 1}
8o5ykv,{'1045054474308526080': 1}
8t7fs1ggf,{'1045055131849543685': 1}
8vyjbvw,{'1045051712053104640': 1}
8xlrrr,{'1045054851296755712': 1}
8yaxkllzqk,{'1045060600873664512': 1}
8yzl6ejnz,{'1045058709393534976': 1}
8z5prssldb,{'1045048055660249088': 1}
9000,{'1045059993060487168': 1}
90m56xwul,{'1045048538164596736': 1}
910,{'1045054938169188354': 1}
92pyc9rwk2,{'1045048683929235457': 1}
967,{'1045045408144257032': 1}
973p,{'1045049213468504072': 1}
98jthnpjg,{'1045055667579621381': 1}
98nbshy2r3,{'1045055520267284483': 1}
99131,{'1045054461255798784': 1}
9933,{'1045061061928513536': 1}
9deqgz,{'1045045721190346752': 1}
9gspl,{'1045054335451893761': 1}
9hm0kzjc3,{'1045056214592368640': 1}
9n3vlz,{'1045050829361876992': 1}
9ohjscv,{'1045050830527885317': 1}
9q3pvnzc8y,{'1045055734076116994': 1}
9yncd,{'1045064036390457346': 1}
9z5jkndow,{'1045056450085744644': 1}
9ze3,{'1045063118559334400': 1}
abaj,{'1045054043138273280': 1}
abandon,{'1045046105422082048': 1}
abenel,{'1045054538238046209': 1}
abnerri,{'1045061337964052480': 1}
abog,{'1045049695847018498': 1}
abord,{'1045053094684446723': 1}
abran,{'1045046214331428870': 1}
abrieron,{'1045051915963379713': 1}
absolut,{'1045049831717302273': 1}
absuelt,{'1045048533945118726': 1}
aca,{'1045046374025318401': 1}
