word,frequencies
00mypk3,{'1046583376453545984': 1}
00q8,{'1046584091724972034': 1}
011,{'1046582459473768449': 1}
03sei,{'1046582565807816704': 1}
04fe3kqqv,{'1046583053898973184': 1}
0710,{'1046583477733191681': 1}
0ck,{'1046583187265196034': 1}
0o8bg,{'1046583880940212225': 1}
0qjvo,{'1046583177362505730': 1}
0rey0xc,{'1046582684380729344': 1}
0th0dp3hp,{'1046582725120086018': 1}
0vz1gmzgug,{'1046583053898973184': 1}
100,{'1046582294985805825': 1}
1173,{'1046583502370738178': 1}
120,{'1046583691777110016': 1}
137001,{'1046584058958897152': 1}
1483,{'1046583495341101057': 1}
1980realment,{'1046582723148738560': 1}
1990,{'1046582718149140480': 1}
1drw,{'1046582589463711749': 1}
1hihs,{'1046582512464605184': 1}
1kvvbxkbp,{'1046583691777110016': 1}
1l6u,{'1046582392742400007': 1}
1monic,{'1046583988901613568': 1}
1q53tgax,{'1046582318201294848': 1}
1roay8b,{'1046583080734076928': 1}
1sjgabmzrg,{'1046583353527422976': 1}
1sysj7cdbu,{'1046584114403512323': 1}
1wcaiaqohn,{'1046582655763058689': 1}
1xdhftbghm,{'1046583854306213889': 1}
1xdhftk5po,{'1046582409980973056': 1}
1yx,{'1046583039713783808': 1}
1z1zfujvcc,{'1046583196601774081': 1}
2006,{'1046583997676113920': 1}
2009,{'1046583846131634176': 1}
200mil,{'1046583922061135872': 1}
2017,{'1046582781432795137': 1}
2018,{'1046582287721213954': 1}
2020,{'1046583473870446593': 1}
2050,{'1046583334460166145': 1}
20iwuif9m,{'1046582540696457216': 1}
2125353,{'1046582436912656385': 1}
2193,{'1046582693218185222': 1}
21notici,{'1046582926689947648': 1}
21polit,{'1046583990176677888': 1}
22aatfgh,{'1046583013356830720': 1}
242,{'1046582785597681666': 1}
2500,{'1046584179943772161': 1}
2512,{'1046583140712472576': 1}
26713,{'1046582893923962881': 1}
2a8pejxwaw,{'1046583778276245504': 1}
2cxv,{'1046582530365935617': 1}
2d8,{'1046582436912656385': 1}
2k9c5d401,{'1046583039713783808': 1}
2kud59g,{'1046582785597681666': 1}
2m7lte,{'1046583639297921024': 1}
2peqhln8,{'1046582372769116161': 1}
2phzfqxwi,{'1046582391215722496': 1}
2yczcx9q,{'1046582336706547712': 1}
2zdgeqt,{'1046583402118492162': 1}
2zeztt2ark,{'1046582852740153345': 1}
3001,{'1046582460681728000': 1}
32wjx7,{'1046584097123028992': 1}
360,{'1046582907861700608': 1}
37001,{'1046583997676113920': 1}
39cowsqec,{'1046583644415033344': 1}
3bmer98ukg,{'1046583171725361153': 1}
3cqy1dz,{'1046583054330998784': 1}
3f2hl3c0,{'1046584179943772161': 1}
3fkusmn2,{'1046584192866439168': 1}
3kl6bjt,{'1046584007964741632': 1}
3nf8ut,{'1046582376791519232': 1}
3tpxrhu4,{'1046583990176677888': 1}
3ulzyay,{'1046583141308256256': 1}
3wux,{'1046583796865396736': 1}
48z7iw,{'1046583036496805888': 1}
496,{'1046584136671137792': 1}
4969058,{'1046583346804006912': 1}
4csiomg,{'1046582323469320192': 1}
4dhbm,{'1046582889100570625': 1}
4duexxm8gl,{'1046582336706547712': 1}
4ei1r8equi,{'1046583191996440576': 1}
4kvgif,{'1046583184861917184': 1}
4mbfsqg,{'1046582993215729664': 1}
4nrs,{'1046582859912368129': 1}
4oq8p,{'1046583083472949250': 1}
4ryak,{'1046583514374770688': 1}
4sg,{'1046582926689947648': 1}
4wcs5uivit,{'1046583314117808130': 1}
4wexdcnrk3,{'1046582339709665281': 1}
4xhgy,{'1046583444480888833': 1}
51ubjsp,{'1046583337085751296': 1}
54ht,{'1046583251186388992': 1}
55pvx,{'1046582428171685888': 1}
5ag606ln9g,{'1046583416769122304': 1}
5bwz,{'1046582453400416256': 1}
5dfcrggu,{'1046582877859786754': 1}
5dwst4g9pi,{'1046583846131634176': 1}
5hy6,{'1046582545440276480': 1}
5ikrcotnpm,{'1046582392742400007': 1}
5koucn,{'1046582503283331072': 1}
