word,frequencies
00268781,{'1045153969104924672': 1}
0311,{'1045161502322429952': 1}
07035926,{'1045159760641683456': 1}
099jhlbm,{'1045158413364285440': 1}
0c9fmut,{'1045155632490434560': 1}
0dr,{'1045160414902996992': 1}
0gumvf,{'1045154076118446080': 1}
0kabf3ss,{'1045145002060451840': 1}
0moo0,{'1045162550084739079': 1}
0sqkbjfn,{'1045162044784365568': 1}
0wwiq,{'1045153824380522496': 1}
0x5qrz,{'1045156217147011072': 1}
100,{'1045148008139161600': 1}
123,{'1045151878823235585': 1}
17en,{'1045153105099333632': 1}
1924,{'1045164477627461634': 1}
195,{'1045145217899343873': 1}
1967,{'1045153137328365568': 1}
1972,{'1045148979149885440': 1}
1992,{'1045150304256348166': 1}
1dd0frcuq,{'1045144633502834689': 1}
1ddiz,{'1045147421364367360': 1}
1er,{'1045163370675081216': 1}
1mqba,{'1045161022166839297': 1}
1mtgndfcbc,{'1045159810705096704': 1}
1qtculaj3,{'1045151471862521857': 1}
1tu4,{'1045159069672243201': 1}
1y9yrin,{'1045144174515884032': 1}
1z1ginrc,{'1045145884017725441': 1}
201185,{'1045145002060451840': 1}
2015,{'1045162715537395713': 1}
2016,{'1045147278632255488': 1}
2017,{'1045159107836219394': 1}
2018,{'1045144488082051072': 1}
2019,{'1045164333838290944': 1}
2130,{'1045164437617938432': 1}
21notici,{'1045144455165161474': 1}
2218036,{'1045153010463244288': 1}
242,{'1045146999010578437': 1}
24horastv,{'1045152273477894145': 1}
2702,{'1045148422288941056': 1}
28dw,{'1045148876754309121': 1}
28robles7,{'1045144115103637510': 1}
2912,{'1045147316901085185': 1}
2ajbileut,{'1045145849536352256': 1}
2anfxc3,{'1045158644554321922': 1}
2anou0h,{'1045163681095585792': 1}
2hh03,{'1045154377839841280': 1}
2imd41,{'1045148854709030913': 1}
2ocj9ans,{'1045162132160024577': 1}
2ttfhyx,{'1045149534005993472': 1}
2xuly,{'1045149403110166528': 1}
2y9lcka,{'1045161239415009280': 1}
3bmer98ukg,{'1045151379956944896': 1}
3fjjyke3l,{'1045159289126572033': 1}
3jwwro,{'1045161331672920066': 1}
3khf2gv2,{'1045151061743489024': 1}
3nel,{'1045153370267406336': 1}
3o9mafz,{'1045148069531127808': 1}
3odjz4xn,{'1045158742415867904': 1}
3p34jdv6x,{'1045148821028818944': 1}
3palaciosdj,{'1045148530149666816': 1}
3qsh,{'1045145094029025281': 1}
4347236,{'1045144455165161474': 1}
441,{'1045148876754309121': 1}
44dou,{'1045147509927137280': 1}
48euugvjx0,{'1045149167381876736': 1}
4gd9,{'1045146046635147265': 1}
4oor1q,{'1045154799048691712': 1}
4p6,{'1045162327270715392': 1}
4pp1ci143,{'1045161648271622144': 1}
4tbwb7fq,{'1045161464590454784': 1}
4tzokbmul4,{'1045147760335482881': 1}
4ufkx,{'1045163365956562944': 1}
4xbsxl,{'1045150147632607233': 1}
5006089,{'1045148664170188800': 1}
51g3go,{'1045159371343302656': 1}
555,{'1045149287351558144': 1}
55eejn,{'1045162997361119233': 1}
5964148,{'1045159107836219394': 1}
5b2iaz,{'1045150671463501825': 1}
5ci27kwa,{'1045162655902814208': 1}
5cjs,{'1045144957110145026': 1}
5etvmopou,{'1045157482354692096': 1}
5ev9sqyo,{'1045146403981467649': 1}
5gjqgqm0x,{'1045149388673355778': 1}
5loa924,{'1045157259637129217': 1}
5qnde2zh,{'1045154911422500864': 1}
5sqj,{'1045152639531528192': 1}
5xokq,{'1045154216413724672': 1}
605040,{'1045159760641683456': 1}
6fph2ufwm,{'1045146285311811584': 1}
6iknuqrrii,{'1045145553082961921': 1}
6ndplp,{'1045150304256348166': 1}
6nwv7ami,{'1045157899012575232': 1}
6on8tysyi,{'1045145547026386949': 1}
