word,frequencies
001,{'1045418799120310272': 1}
00268781,{'1045409431536709632': 1}
051,{'1045416928104402944': 1}
05rqodm2q,{'1045415902970359808': 1}
07044308,{'1045418035694194688': 1}
08dhruibiu,{'1045409189051346945': 1}
09270874,{'1045417569858072576': 1}
0b9hpi,{'1045403127464292357': 1}
0hip,{'1045411191382781953': 1}
0nzyjs46e,{'1045419281360584704': 1}
0r3aafj7,{'1045414385714429952': 1}
0ue,{'1045404208097370117': 1}
0yrqa,{'1045418906343669763': 1}
0zt8x,{'1045424894908002304': 1}
100,{'1045408307345862656': 1}
1408,{'1045415147324551168': 1}
143,{'1045407533186392065': 2}
14yvfzol0,{'1045406346575777792': 1}
159,{'1045424984745742336': 1}
16091959,{'1045417951216750592': 1}
1950,{'1045416675905089536': 1}
1952,{'1045415230979932160': 1}
1956,{'1045409431536709632': 1}
1977,{'1045416569864704000': 1}
1983,{'1045413586301054976': 1}
1988,{'1045408571603767296': 1}
1caz55hns,{'1045405218039635968': 1}
1dori,{'1045418715016286215': 1}
1er,{'1045408497528131591': 1}
1ifn6y,{'1045410226701299712': 1}
1my,{'1045423181010522112': 1}
1pgbtmpsmu,{'1045416759904407553': 1}
1sfgzjerff,{'1045419414357790721': 1}
1va,{'1045414980324085760': 1}
1vqmaw,{'1045414041609555970': 1}
1wffww1t5t,{'1045421173507416064': 1}
1xv,{'1045412455319576577': 1}
2016,{'1045403101019197440': 1}
2018,{'1045403310587547648': 1}
2019202,{'1045409189051346945': 1}
21cordeliam,{'1045421993972174848': 1}
21notici,{'1045404371641618432': 1}
21tvenviv,{'1045410300412014592': 1}
2788,{'1045413638805368832': 1}
28robles7,{'1045406373335437312': 1}
2cogopk93f,{'1045410436605128704': 1}
2do,{'1045422578519740416': 1}
2dq5fkr,{'1045422849262006275': 1}
2gjs1wnkib,{'1045403182623584257': 1}
2gxx3isx,{'1045422003623268360': 1}
2n1is,{'1045413875095605249': 1}
2piki,{'1045409743462944769': 1}
2pohyq3,{'1045410183785185282': 1}
2pv8kwv,{'1045415961006931968': 1}
2q1gvq,{'1045418791339986949': 1}
2spm2dhg3j,{'1045416598905999361': 1}
2ux,{'1045422204329107456': 1}
2x15,{'1045423535311781890': 1}
34hjmq4n,{'1045404745584848898': 1}
3679704,{'1045408515941158912': 1}
3727067,{'1045403684308484096': 1}
392qf,{'1045410142332878853': 1}
3ibbi,{'1045419535149527040': 1}
3il,{'1045425192976224257': 1}
3jhvvr,{'1045409101516345344': 1}
3lignhyv,{'1045425054694223872': 1}
3nel,{'1045413475365867523': 1}
3pveyc,{'1045425054694223872': 1}
3rlnasehac,{'1045413286689361920': 1}
3rt99nxgy,{'1045405269382057985': 1}
3xdv6sqr,{'1045411869597593602': 1}
410,{'1045409980692729856': 1}
48o4u,{'1045418389110493190': 1}
4afjuj3ez,{'1045406840023076864': 1}
4aiqzx,{'1045423857518235649': 1}
4bg,{'1045406941042888704': 1}
4d47ouqt,{'1045403772934148096': 1}
4d8r,{'1045417501696425984': 1}
4f3i3x4,{'1045413859958435840': 1}
4gnjnx,{'1045416431683350528': 1}
