word,frequencies
0005,{'1038221367496400897': 1}
0106,{'1038199090750910464': 1}
0404,{'1038202540716908544': 1}
0474,{'1038200195845111808': 1}
05dqf2,{'1038205208772468736': 1}
06062872,{'1038199583690637313': 1}
0890,{'1038181293085913090': 1}
0a1k5ium,{'1038194330236801025': 1}
0fgt,{'1038173814369202179': 1}
0hngw1,{'1038174001472987136': 1}
0k9,{'1038209206183190531': 1}
0qd,{'1038159311816536070': 1}
0qlwcq1kc9,{'1038214891662766081': 1}
0uju,{'1038155659861262337': 1}
0vvdr3v,{'1038154560634855424': 1}
0xk5t,{'1038162173300813825': 1}
100,{'1038199411644551173': 1}
101,{'1038163480338223106': 1}
103,{'1038153419285061637': 1}
10hector,{'1038171654730534912': 1}
10joaqun,{'1038159134489829376': 1}
11juli,{'1038171654730534912': 1}
11om,{'1038159134489829376': 1}
12121988,{'1038180561393778688': 1}
1269,{'1038177687863521280': 1}
134,{'1038160649623363586': 1}
13bolo5,{'1038200837334609920': 1}
13carl,{'1038171654730534912': 1}
145,{'1038190860209451010': 1}
1507,{'1038198907623366656': 1}
159,{'1038179717721911296': 1}
15ju,{'1038171654730534912': 1}
1603,{'1038209056253587456': 1}
16joaqun,{'1038171654730534912': 1}
16n,{'1038218941875793921': 1}
17ef0xgm,{'1038205081101979648': 1}
189,{'1038173518687559681': 1}
1910,{'1038178168950145037': 1}
1945,{'1038161330879049728': 1}
1990,{'1038161330879049728': 1}
1993,{'1038161330879049728': 2}
1995,{'1038161330879049728': 1}
19tom,{'1038171654730534912': 1}
1conej,{'1038159134489829376': 1}
1dp65,{'1038213418958970881': 1}
1er,{'1038193304603713536': 1}
1fd0m2tr,{'1038156086371672064': 1}
1gz6tpjvj,{'1038183872368766976': 1}
1osc,{'1038171654730534912': 1}
1ro,{'1038200195845111808': 1}
1tlkxh1e9,{'1038154941062414337': 1}
2003,{'1038197570684694529': 1}
2006,{'1038203834563215360': 1}
2009,{'1038183872368766976': 1}
2012,{'1038198990712528896': 1}
2016,{'1038193305220272128': 1}
2017,{'1038160649623363586': 1}
2018,{'1038153402222604288': 1}
2023,{'1038188501290893312': 1}
2035,{'1038153402222604288': 1}
21notici,{'1038154567412854791': 1}
21polit,{'1038165174757326848': 1}
250nnscnuh,{'1038175748937474048': 1}
256miguel,{'1038199159927595010': 1}
2890,{'1038205081101979648': 1}
29phzvbqmp,{'1038172222249201664': 1}
2clfaumi,{'1038176348475457536': 1}
2do,{'1038205380239781889': 1}
2dutimx,{'1038220140272410624': 1}
2dzb,{'1038179664941015041': 1}
2fpd4f1xq,{'1038222888900288512': 1}
2fpd4nqfs,{'1038154941062414337': 1}
2he2fw6qv,{'1038167814492893185': 1}
2jos,{'1038171654730534912': 1}
2ju,{'1038159134489829376': 1}
2mp4znekgl,{'1038161241137655808': 1}
2ptcj5smg,{'1038171654730534912': 1}
2r8q3,{'1038190633612140544': 1}
2sezpw6yif,{'1038185145998688256': 1}
2ytzplr,{'1038215380601368577': 1}
