word,frequencies
007,{'1046478155740053505': 1}
00privat,{'1046484078650970112': 1}
01369992,{'1046474961551077376': 1}
01yuq,{'1046486531609956352': 1}
02boah8rc,{'1046476738421805057': 1}
04marci,{'1046487102412738567': 1}
05740261,{'1046487074659082240': 1}
07035926,{'1046483111561887745': 1}
0710,{'1046476515096096769': 1}
0890,{'1046475509503328256': 1}
08eeb,{'1046481804876746752': 1}
0902,{'1046478140246315010': 1}
0dvge9hx,{'1046487775070113792': 1}
0e3ffak7u,{'1046482475004964864': 1}
0edj1pxmxn,{'1046482831759822848': 1}
0eykpu9hvt,{'1046474434259963905': 1}
0jfba,{'1046481606423252992': 1}
0kog1,{'1046476440575913984': 1}
0odmjoyonj,{'1046489885882888195': 1}
0r2ofq,{'1046480875393875970': 1}
0trzfgjltq,{'1046485372677439488': 1}
0umctvwtdy,{'1046486227527127041': 1}
0usuimv,{'1046479404308856833': 1}
0voerfgtgk,{'1046481847000207360': 1}
0xxbw5q,{'1046481040477474816': 1}
107,{'1046475087375990786': 1}
123yessy45,{'1046488109909766144': 1}
13rpdzy,{'1046475838802268160': 1}
142,{'1046475087375990786': 1}
1719,{'1046480764089643008': 1}
1795,{'1046485264758165506': 1}
1799,{'1046485264758165506': 1}
184,{'1046476710026379264': 1}
18m2ixxx,{'1046489097483812864': 1}
19041,{'1046486584613359616': 1}
1965,{'1046485824370561024': 1}
1967,{'1046481760501018625': 1}
19811981,{'1046476277014843392': 1}
1er,{'1046486732814917633': 1}
1fulmi,{'1046487497792991233': 1}
1gtttjs88u,{'1046487903197687811': 1}
1hxsnyjxm,{'1046484599541567491': 1}
1nchht,{'1046487809949937667': 1}
1por,{'1046486732814917633': 1}
1qy,{'1046487168418541573': 1}
1ra,{'1046475964602085378': 1}
2005,{'1046476051927494656': 1}
2011,{'1046476395193544704': 1}
2011201,{'1046479708605599749': 1}
201185,{'1046479401293164545': 1}
2012,{'1046477223685967872': 1}
2015,{'1046474584306913282': 1}
2016,{'1046474423858016258': 1}
2017,{'1046476738421805057': 1}
2018,{'1046474983927685121': 1}
2020,{'1046477332628869120': 1}
2021bi,{'1046479654830395393': 1}
21notici,{'1046474758655823873': 1}
2323,{'1046476710026379264': 1}
240912,{'1046480348975157248': 1}
2428,{'1046474790431797248': 1}
25colom,{'1046476059871498241': 1}
2710,{'1046482126110167047': 1}
28robles7,{'1046476279577489409': 1}
2da,{'1046486732814917633': 1}
2enm,{'1046479337514577922': 1}
2fhpr4,{'1046475834184388609': 1}
2lri,{'1046483491863572480': 1}
2nkeo7d1,{'1046481606423252992': 1}
2pvczj7l,{'1046476502748016640': 1}
2rbw,{'1046486065102688256': 1}
2s8n6b,{'1046484826893766657': 1}
2vid,{'1046484115661443077': 1}
2yjxifky3,{'1046488350889308160': 1}
2yzapjl,{'1046477203507220480': 1}
33m,{'1046486805724434432': 1}
360,{'1046475810562068485': 1}
3bcp5o,{'1046475624351768577': 1}
3cvdr,{'1046475822268395521': 1}
3f2aru,{'1046477423775240192': 1}
3fogd5o0wq,{'1046487376564908032': 1}
3obkmh,{'1046487894616133632': 1}
3suyfxd4,{'1046474392157474822': 1}
3wl0ogsd2j,{'1046477060384935939': 1}
3xay,{'1046487749539360769': 1}
3xw,{'1046477386466959361': 1}
40dasporlavidap,{'1046484115661443077': 1}
41vreu6,{'1046484510395822081': 1}
47dy18tmxa,{'1046478973612511232': 1}
4958196,{'1046483200099405824': 1}
4ay,{'1046481301082198016': 1}
4e7lw,{'1046484867075198981': 1}
4ed5tj4nuu,{'1046477113191272448': 1}
4gnjnx,{'1046475856376483840': 1}
4juliocesar,{'1046474932413181952': 1}
4m63rug,{'1046488197801431040': 1}
4ovixj666u,{'1046486267767267329': 1}
4s3zgx,{'1046488930735001600': 1}
4tpt8fsplr,{'1046489724133810177': 1}
4uvtp,{'1046482293773217792': 1}
4vnavh,{'1046486527273062407': 1}
4voxc,{'1046488528820076546': 1}
4xkvx9h61,{'1046481898065850370': 1}
5050,{'1046481413518884864': 1}
50s,{'1046474702854729733': 1}
5269825,{'1046488608679636993': 1}
52kxvfdrx,{'1046486188956233728': 1}
54pqbmm9xf,{'1046478605319118848': 1}
5bdcoynqyu,{'1046486935622086657': 1}
5bsn,{'1046474264566730752': 1}
5fnx8vwgw,{'1046481101110292481': 1}
5kcxreb,{'1046489720388296706': 1}
5pkmpl,{'1046474631656472576': 1}
5zlgax,{'1046479366300078082': 1}
60h4xfcmx,{'1046481301082198016': 1}
61r5rvvd9a,{'1046485893706665985': 1}
66cycjcv,{'1046478159825305600': 1}
66yejzhl,{'1046483367431217152': 1}
6935bb2gr,{'1046477997153415169': 1}
6b5z,{'1046488444963377154': 1}
6bhuxjzp,{'1046486296980525056': 1}
6elxbaoc,{'1046484928039456768': 1}
6gcc7,{'1046480028823900166': 1}
6hwnxss,{'1046478580836945926': 1}
6is6g,{'1046487089490141184': 1}
6j9rvo7i95,{'1046478760994885632': 1}
6jncpftze2,{'1046480475605356544': 1}
6kqkumn8t5,{'1046484339238858752': 1}
6mwfz,{'1046489746283941889': 1}
6q9dhorti,{'1046474790431797248': 1}
6qp1t9b2,{'1046480798289981446': 1}
6stkfxla,{'1046479654830395393': 1}
6wbp,{'1046479848015826945': 1}
75vfjp2,{'1046478480614076425': 1}
78c8,{'1046476206357524481': 1}
794,{'1046483969875877888': 1}
79eifi,{'1046486732814917633': 1}
79wy,{'1046481987614240772': 1}
7cfbg,{'1046479885022171142': 1}
7fmhqtwry,{'1046477399003721729': 1}
7g1omovf,{'1046476725696299010': 1}
7gxel73,{'1046481083313917953': 1}
7ouli,{'1046487376564908032': 1}
7pm,{'1046476945465241601': 1}
7re,{'1046474525574135814': 1}
7sitgjdcv,{'1046488282299871233': 1}
7uo75f,{'1046475188165124101': 1}
7wd,{'1046474510889873409': 1}
7xdb6hijuk,{'1046479242941419525': 1}
7ytmosjapt,{'1046479885022171142': 1}
7zd,{'1046489120334336000': 1}
7zmv,{'1046481894408433665': 1}
858,{'1046486995466440711': 1}
8ckmsw1i,{'1046480912941273088': 1}
8mqqndgpf,{'1046487399306600450': 1}
8owkriuuu,{'1046479708605599749': 1}
8s0fkzj4,{'1046475514498732042': 1}
8ufjs,{'1046486863467491329': 1}
8xqtmeh,{'1046483677637742592': 1}
8zm9ucn,{'1046475181903015939': 1}
92s,{'1046477585822216193': 1}
959,{'1046481816675340290': 1}
95m37b,{'1046484145302634496': 1}
967,{'1046474758655823873': 1}
974,{'1046481650647994373': 1}
9820,{'1046474632264601601': 1}
987,{'1046474423858016258': 1}
9cd0tom96b,{'1046479285026983938': 1}
9chshnbro,{'1046477236113735682': 1}
9cyc1,{'1046483608071032833': 1}
9fi3vxbg,{'1046475596463820800': 1}
9g4tecym,{'1046475736108986376': 1}
9iscn,{'1046485353606107137': 1}
9klu3d,{'1046476930793578496': 1}
9p0cjhinw,{'1046474958103334913': 1}
9rkgb03opy,{'1046483683195187205': 1}
9sk,{'1046486730902294528': 1}
9v3wrizr,{'1046482919303335938': 1}
9vgpca07i,{'1046486792902529026': 1}
abaj,{'1046484054605004800': 1}
abajoleymuld,{'1046484980375990272': 1}
abandon,{'1046481298116816896': 1}
aberr,{'1046485702387683328': 1}
aberracin,{'1046484152374177792': 1}
abiert,{'1046482900378669060': 1}
ablandosinh,{'1046480870452932609': 1}
abort,{'1046483096642703365': 1}
absalon,{'1046484145302634496': 1}
absolut,{'1046479201006743552': 1}
aburr,{'1046483048148160513': 1}
acab,{'1046474476572102658': 1}
accesibil,{'1046477223685967872': 1}
accin,{'1046476279577489409': 1}
accinpopul,{'1046484855830269953': 1}
accion,{'1046488616208420864': 1}
accioncolora,{'1046477112562135046': 1}
accionpopul,{'1046477649722441729': 1}
accionpopularap,{'1046477649722441729': 1}
accionpopularp,{'1046477649722441729': 1}
acept,{'1046475822268395521': 1}
aclar,{'1046481101110292481': 1}
acog,{'1046477611889815552': 1}
acomp,{'1046486732814917633': 1}
acozm,{'1046476440575913984': 1}
actitud,{'1046487355157286914': 1}
actor,{'1046475818006990853': 1}
actransparent,{'1046480475605356544': 1}
actuacin,{'1046488166314717189': 1}
acuerd,{'1046475852622516225': 1}
acus,{'1046477332628869120': 1}
acusacin,{'1046474411887529984': 1}
adel,{'1046475736108986376': 1}
adentr,{'1046479165732638720': 1}
adlcr,{'1046485787565527042': 1}
adminsitracion,{'1046474476572102658': 1}
admit,{'1046474955813265414': 1}
adolfitofit,{'1046478392642719744': 1}
advirti,{'1046475913465135106': 1}
afin,{'1046477204023115777': 1}
afirm,{'1046474525574135814': 1}
afrolatinaog,{'1046478033069244416': 1}
agarr,{'1046478197276200961': 1}
agenciaandin,{'1046474758655823873': 1}
agradec,{'1046475624351768577': 1}
agradeci,{'1046475281249308672': 1}
agrupacin,{'1046483765386792960': 1}
agu,{'1046475833379094528': 1}
aguant,{'1046480053612285952': 1}
agustin,{'1046474932413181952': 1}
ahog,{'1046486267767267329': 1}
ahor,{'1046474416895537154': 1}
aidaneumanhow,{'1046474378035245060': 1}
ala,{'1046482533058310145': 1}
alan,{'1046476627331436544': 2}
albert,{'1046475503543226370': 1}
albertobelaund,{'1046475292787843073': 1}
albertozevall,{'1046489918170689536': 1}
albmrz,{'1046474632264601601': 1}
alcald,{'1046474416895537154': 1}
alcaldadelim,{'1046474799206330375': 1}
alcaldectip,{'1046478167886753799': 1}
alcaldi,{'1046475170406436864': 1}
alditus,{'1046474434507354120': 1}
alej,{'1046482004127174656': 1}
alejapuent,{'1046487089490141184': 1}
alexchaveznoel,{'1046483055869865985': 1}
alfredomtorr,{'1046483710110044160': 1}
alfredozarat,{'1046484826893766657': 1}
algn,{'1046477654571003904': 1}
algui,{'1046476854880866306': 1}
algun,{'1046480875393875970': 1}
