word,frequencies
00268781,{'1037877722444378112': 1}
005,{'1037884958231220224': 1}
0098,{'1037850852713787393': 1}
01ablwzl7,{'1037862367600824320': 1}
05vedr0r,{'1037893598598053888': 1}
0890,{'1037843881663111168': 1}
0902,{'1037841573692825601': 1}
09911044,{'1037847038485049348': 1}
0gcow8mmr,{'1037853984638287873': 1}
0qf,{'1037878555231887360': 1}
0sgwo,{'1037857393642754048': 1}
0wup3597kv,{'1037857895004729344': 1}
101,{'1037895523703894017': 1}
1408,{'1037884143642857478': 1}
143,{'1037842326490701824': 1}
146,{'1037842326490701824': 1}
150,{'1037885978344599553': 1}
1653,{'1037843828500312070': 1}
184,{'1037850808409317376': 1}
1953,{'1037880655470895109': 1}
1956,{'1037835333944193025': 1}
1964,{'1037832868544880643': 1}
1976,{'1037837823062290432': 1}
1977,{'1037881729913184256': 1}
1apibblit,{'1037836125803622400': 1}
1awdl,{'1037837851482701824': 1}
1e2lhfk5,{'1037878128213942276': 1}
1jau6kp5g4,{'1037862176126586880': 1}
1mrclfxs9,{'1037839950895562752': 1}
1o2o8zircu,{'1037899134773153793': 1}
1ph,{'1037880675100176390': 1}
1sxbv,{'1037875600827064320': 1}
1wccboskjt,{'1037883318493163520': 1}
1willcarrasc,{'1037840100170911744': 1}
1xyjcxmpzq,{'1037835365611171840': 1}
1zmnbzkhq,{'1037842661204549632': 1}
200,{'1037837379590152193': 1}
2000,{'1037890415930892288': 1}
2015,{'1037837851482701824': 1}
2017,{'1037843792701915136': 1}
2018,{'1037842326490701824': 1}
201822,{'1037893373204590593': 1}
2106954,{'1037900556726099969': 1}
21cordeliam,{'1037862689089961985': 1}
21notici,{'1037860160402862082': 1}
21polit,{'1037849772315607040': 1}
224,{'1037888795750871040': 1}
2285116,{'1037849394652086272': 1}
242,{'1037894876707389440': 1}
24horastv,{'1037859997835771908': 1}
250,{'1037885978344599553': 1}
25066,{'1037873707753123841': 1}
28a,{'1037857430082859008': 1}
2es2ye2,{'1037865426758316038': 1}
2fpd4nqfs,{'1037845401242664960': 1}
2joq1rmj,{'1037884134318854144': 1}
2ksumk,{'1037833943188467713': 1}
2ln01qf,{'1037878809545007105': 1}
2poygjfn,{'1037840547208212480': 1}
2ra9iutt,{'1037848382839169024': 1}
2wd3mfhe6i,{'1037847387555987457': 1}
2wygogk,{'1037852819741712384': 1}
2yp,{'1037868435810725890': 1}
300,{'1037843636757712897': 1}
31dqey5sh,{'1037839684561457152': 1}
328dkle,{'1037853202631335936': 1}
3g6qjf24ls,{'1037850070560006144': 1}
3ixbctw,{'1037889614168698881': 1}
3lfbt6kphs,{'1037850776234852354': 1}
3ugf,{'1037889891173105664': 1}
400,{'1037893253369081856': 1}
4000,{'1037865144863399936': 1}
4500,{'1037900443853180933': 1}
47vuoymmm,{'1037857773336158209': 1}
47vupfyaw,{'1037856432929075200': 1}
4a9wsdhyjr,{'1037849277014450176': 1}
4aos,{'1037879823732035584': 1}
4c2xco8cah,{'1037892437258194944': 2}
4drhhcgd,{'1037843828500312070': 1}
4dztj0i,{'1037872816803209219': 1}
4ejtqv2ny,{'1037888241536364544': 1}
4emrkc,{'1037846684473151488': 1}
4icz,{'1037860955906957312': 1}
4je,{'1037888241536364544': 1}
4la,{'1037869388853129217': 1}
4pf3nxrc5t,{'1037882746922774529': 1}
4sik7k,{'1037863570787188737': 1}
4tpn827v,{'1037880389728174080': 1}
4w0boatcj,{'1037835498834812928': 1}
4x4,{'1037860156971929602': 1}
5964148,{'1037843792701915136': 1}
5b4bx,{'1037832113352060936': 1}
5franciscofern,{'1037880545693319169': 1}
5uglko9nry,{'1037879823732035584': 1}
5vt,{'1037875659727622144': 1}
5y2l7mym,{'1037852160871092225': 1}
663v,{'1037852449514639360': 1}
666,{'1037878809545007105': 1}
6733590,{'1037839796926902273': 1}
6br,{'1037850495052861440': 1}
6bs26wp,{'1037886924223078401': 1}
6fj3diecgj,{'1037896403832516608': 1}
6fjs5unuuv,{'1037834995476430848': 1}
6fxhatnef,{'1037881502204403712': 1}
6hich7ddbq,{'1037844777037963264': 1}
6hvs9jzjh,{'1037888650904788992': 1}
6impvt,{'1037836516947648512': 1}
6lor8ooovl,{'1037847927312535554': 1}
6pv5sr,{'1037881615899389958': 1}
6pwpcaz,{'1037872340594511875': 1}
6qaiy5g,{'1037845967427526657': 1}
6tjl3j6xzy,{'1037848365629943808': 1}
6utqemljfq,{'1037861372326014981': 1}
6waywmozkp,{'1037881869524717568': 1}
6xt2,{'1037835365611171840': 1}
6ydiens,{'1037896229789855744': 1}
716,{'1037852954726813696': 1}
7983979,{'1037856444622807040': 1}
7bgodwh,{'1037872816803209219': 1}
7d5dm,{'1037872957174046720': 1}
7d6wdkpvoj,{'1037885738975735809': 1}
7d890asc,{'1037872657075785728': 1}
7ec7mgymlu,{'1037853191679959040': 1}
7efhvmlmhm,{'1037884060155228161': 1}
7lq8k0bzs,{'1037850852713787393': 1}
7nczjnfw0,{'1037881758291845120': 1}
7om3fsrph,{'1037849688962211840': 1}
7ray,{'1037875021073600513': 1}
7reok,{'1037893598598053888': 1}
7wyx3vp1z,{'1037868465741291520': 1}
7ynzbasnrr,{'1037875744377065473': 1}
800,{'1037889614168698881': 1}
825tdf,{'1037897836636069889': 1}
8622197,{'1037856498955825152': 1}
86xz,{'1037875600827064320': 1}
8jflbb,{'1037893263179636737': 1}
8kbecfx7u,{'1037879702340427776': 1}
8ko,{'1037837851482701824': 1}
8qpod41c,{'1037848235795206144': 1}
8xesxn6uw,{'1037881763698229249': 1}
90cuau,{'1037836516947648512': 1}
91390,{'1037867769826619393': 1}
94ezatot,{'1037843779057844224': 1}
967,{'1037849772315607040': 1}
9bbj2mel7,{'1037891313457393669': 1}
9hvhduobih,{'1037833602296438784': 1}
9oec9j,{'1037862689089961985': 1}
9pm,{'1037848235795206144': 1}
9quv,{'1037867035265560576': 1}
9rkpppdq,{'1037853009185828864': 1}
9ugdory,{'1037852945801519107': 1}
aad,{'1037846684473151488': 1}
abaj,{'1037832596720431104': 1}
abarc,{'1037847038485049348': 1}
abiert,{'1037878809545007105': 1}
abog,{'1037891313457393669': 1}
abon,{'1037877087691059201': 1}
abraz,{'1037845161387155457': 1}
abrirl,{'1037897836636069889': 1}
absolut,{'1037877280553533441': 1}
absolv,{'1037852247248359424': 1}
aburr,{'1037854522176143367': 1}
