word,frequencies
00268781,{'1046573365627146241': 1}
00vbu5af,{'1046573080066371585': 1}
05jme,{'1046573027549466624': 1}
0af,{'1046573517406433284': 1}
0aqkqtq,{'1046572610916683776': 1}
0e3yvf36,{'1046572559855226881': 1}
0eksaw,{'1046573387479490560': 1}
0ha1wsd,{'1046572009457676288': 1}
0huot,{'1046573150551592960': 1}
0kog1,{'1046573252083154944': 1}
0rexp0litic0,{'1046573348862521347': 1}
100,{'1046572251867488257': 1}
111,{'1046572633423302656': 1}
18sd1,{'1046572225657286656': 1}
192atw75i,{'1046573084529119233': 1}
1956,{'1046573365627146241': 1}
19811981,{'1046573084529119233': 1}
1989,{'1046572239666196480': 1}
1992,{'1046572902294933505': 1}
1995,{'1046572325116809216': 1}
1atzhhyq,{'1046572819260346373': 1}
1dori,{'1046571938481664001': 1}
1eodgrco93,{'1046572456931209228': 1}
1ht,{'1046572181910691840': 1}
1q53tgax,{'1046573404978106371': 1}
1uvtwfqd,{'1046572578482122753': 1}
1x0tm2ow,{'1046571965996314624': 1}
1z2urj9,{'1046572802185326594': 1}
1zbq,{'1046573162962583552': 1}
2011201,{'1046573041235501057': 1}
2018,{'1046571894521176064': 1}
2125353,{'1046571915563986949': 1}
21notici,{'1046572270586667008': 1}
21sadith,{'1046572094635552770': 1}
22bgeildmu,{'1046573414234894336': 1}
23twkf2,{'1046572913044815873': 1}
28robles7,{'1046573400381181952': 1}
2cbka,{'1046572881315082240': 1}
2clca7m2l,{'1046572719037403136': 1}
2cnneqjvk,{'1046572902638907398': 1}
2d8,{'1046571915563986949': 1}
2g3ckq8yr,{'1046572759214686208': 1}
2jlh3wfo,{'1046571885666947072': 1}
2klehzo3vk,{'1046571875365777408': 1}
2klupyuhwh,{'1046572832539529216': 1}
2m7lte,{'1046573009442656257': 1}
2ngb6zwi6,{'1046573386934177792': 1}
2phzfqxwi,{'1046572121374289922': 1}
2qmev,{'1046572767427121152': 1}
2rvusoxww,{'1046572921332924417': 1}
2rwxju,{'1046573432320806913': 1}
2sk8jf,{'1046573520749285383': 1}
2teoi,{'1046572535884763139': 1}
2tzgjbju,{'1046572121374289922': 1}
2x3oqjhgj,{'1046573282697388032': 1}
300,{'1046572282209083392': 1}
33monic,{'1046572825836965889': 1}
34b4agz1yk,{'1046572477479104513': 1}
3691359,{'1046573151805681666': 1}
39mzd,{'1046573150551592960': 1}
3bwdpi3w,{'1046572669829820416': 1}
3dkn8wslrm,{'1046573079470723074': 1}
3fw5eh0fo,{'1046571885092319233': 1}
3gz78gvy,{'1046572807835013120': 1}
3h3,{'1046573151805681666': 1}
3pg1,{'1046572477479104513': 1}
3qlweb,{'1046572842488410112': 1}
3uyxiv,{'1046573072155901952': 1}
3wux,{'1046573181543305222': 1}
3xw,{'1046573307011747841': 1}
4bnd,{'1046572913732866053': 1}
