word,frequencies
00268781,{'1046602715617472512': 1}
007,{'1046602479276822529': 1}
011,{'1046602587930324992': 1}
0410,{'1046602988339556352': 1}
05740261,{'1046602813722243072': 1}
0710,{'1046603225309286400': 1}
0bdh,{'1046602646994464768': 1}
0ikyip,{'1046603122200592385': 1}
0ja,{'1046602434200698880': 1}
0jq8c7f,{'1046602522746662914': 1}
0neoz77yj,{'1046602780998348802': 1}
0th,{'1046602994064732160': 1}
0uxk,{'1046602581634625536': 1}
0xjzu,{'1046603435968204806': 1}
100,{'1046602537514799104': 1}
1000,{'1046602578153345024': 1}
1100,{'1046603114122481666': 1}
113,{'1046602384158470144': 1}
1412,{'1046602932945375232': 1}
143,{'1046602250632728577': 1}
1483,{'1046603047764406273': 1}
160,{'1046602279758045186': 1}
1610,{'1046604167287119872': 1}
165,{'1046602250632728577': 1}
19041,{'1046603717498359808': 1}
1956,{'1046602715617472512': 1}
1avqjytnbl,{'1046604080146190336': 1}
1er,{'1046602727093141504': 1}
1jimnrrfbl,{'1046602515603697664': 1}
1o3666ii,{'1046603511138521088': 1}
1qccc2f,{'1046602875445620738': 1}
1qxy8v,{'1046604074311921665': 1}
1titculxk,{'1046603051879071744': 1}
1vgfgvcu,{'1046603428955402241': 1}
1w5la0v,{'1046603442830159873': 1}
200,{'1046603770342395904': 1}
2011201,{'1046602696793477121': 1}
2012,{'1046603036276264960': 1}
2016,{'1046602527800774658': 1}
2018,{'1046602322128904192': 1}
202,{'1046602279758045186': 1}
2193,{'1046602603960946693': 1}
21notici,{'1046602368433999873': 1}
2290,{'1046602338113376256': 1}
234,{'1046602279758045186': 1}
248,{'1046603252438061056': 1}
258,{'1046602401757761537': 1}
2702,{'1046603678038323200': 1}
27k5td,{'1046603568827060224': 1}
2do,{'1046603754139791361': 1}
2gkqzip,{'1046603511138521088': 1}
2iml9,{'1046602324477710336': 1}
2mbwc1swi,{'1046602939224260609': 1}
2oe,{'1046602750358945792': 1}
2pgk,{'1046602831745228800': 1}
2ypilf81,{'1046602459479724032': 1}
360,{'1046602537841954818': 1}
367oncs1,{'1046602580049252353': 1}
3691359,{'1046602440945127424': 1}
37001,{'1046603047231778817': 1}
380,{'1046602459479724032': 1}
3dkn8wslrm,{'1046602851714322437': 1}
3fc6zdts,{'1046603890110730240': 1}
3ftzcjfz,{'1046603827200372736': 1}
3raup,{'1046604193824460806': 1}
3rehu02,{'1046602849176768515': 1}
3val2,{'1046603220871774214': 1}
3wuxobk,{'1046602963714801670': 1}
400,{'1046603114122481666': 1}
410,{'1046602535627370497': 1}
42kre,{'1046603561092747264': 1}
43l70xnrwh,{'1046603190534369280': 1}
4cag3y,{'1046602562403782657': 1}
4mojk,{'1046602374310219776': 1}
4oq8p,{'1046602303808196609': 1}
4ur,{'1046602327753412608': 1}
4zw,{'1046603270268112896': 1}
54jcl86zpc,{'1046602851714322437': 1}
571niasb,{'1046603754139791361': 1}
5alv7fax2,{'1046603122200592385': 1}
5dy8ar6e,{'1046602890691964928': 1}
5ikrcotnpm,{'1046602975991537664': 1}
5itkgjc,{'1046602798501167106': 1}
5rc4nq0,{'1046602743610322944': 1}
5tfbnuj2i6,{'1046604153169092609': 1}
5za,{'1046602611263254528': 1}
5zms9cpzag,{'1046603214664200192': 1}
616f,{'1046602674442047491': 1}
62iowd,{'1046603518214361088': 1}
68jme7f,{'1046604117009977345': 1}
6hoguyv,{'1046604040459751425': 1}
