word,frequencies
01246267,{'1038243094557286402': 1}
0209,{'1038258465112842240': 1}
0890,{'1038227103156723713': 1}
0colwsg,{'1038274540328108032': 1}
0gbpvm5ed3,{'1027782131949416449': 1}
0mm5bt9v,{'1038249311467753472': 1}
0ovtmkgg,{'1027781597184045057': 1}
0wm,{'1027825240355860480': 1}
100,{'1038227549921402881': 1}
101,{'1038235549360971776': 1}
103,{'1038226542613147654': 1}
11321133,{'1038243021681315840': 1}
11na,{'1038276258226876419': 1}
11rg1ywa,{'1038270275056558080': 1}
12018,{'1038259504578801664': 1}
12andyzp,{'1038231796364791808': 1}
12n,{'1038246644750409728': 1}
13bolo5,{'1038234940360589312': 1}
1412,{'1038273885467234304': 1}
143,{'1038252317290778624': 1}
145,{'1038277240943992832': 1}
146,{'1038252317290778624': 1}
1483,{'1038265991745155072': 1}
14h,{'1038250312186753024': 1}
159,{'1038285667627921408': 1}
1956,{'1038246082990497792': 1}
1965,{'1038225535980236800': 1}
1er,{'1038224780376395784': 1}
1gbmz5j,{'1038250712550043649': 1}
1ipazd2iyj,{'1038281225516015617': 1}
1lw0nqrbq,{'1038225635574009856': 1}
2000,{'1027835382954700800': 1}
2002,{'1038243612902010880': 1}
2003,{'1038274776710766593': 1}
2006,{'1038248839998828544': 1}
2011,{'1038273051576680448': 1}
2012,{'1038231683844075520': 1}
2014,{'1038250697001787394': 1}
2016,{'1038252759865335808': 1}
2017,{'1038234680850612225': 1}
2018,{'1038224344395251713': 1}
2018pq,{'1038274600319234048': 1}
2019,{'1038261714796642304': 1}
2021peru,{'1038260272354480128': 1}
2023,{'1038233778521559040': 1}
2023202,{'1038237884808130568': 1}
2035,{'1038273569405526016': 1}
21notici,{'1038236686231265281': 1}
24h,{'1038266207403696128': 1}
24horastv,{'1038252234214187008': 1}
24kv6jw,{'1038244880777203712': 1}
25ye,{'1038230521514479620': 1}
2612170,{'1038260307527979008': 1}
2919,{'1038260507529175041': 1}
2clfaumi,{'1038257515295895554': 1}
2dutimx,{'1038224890090999808': 1}
2fpd4f1xq,{'1038249311467753472': 1}
2i9occtwp,{'1038226662473625601': 1}
2lxv40zhv1,{'1038275680742662145': 1}
2n6ksv9,{'1027788182073565185': 1}
2pnpmkw,{'1038270326730309634': 1}
2tjblacgak,{'1038241682893037569': 1}
2uwxcxurkq,{'1038258655840423936': 1}
3000,{'1038227105073586181': 1}
3100,{'1038226619066982400': 1}
3612887,{'1038268729027710981': 1}
3639618,{'1038261858074017792': 1}
3gdcr23w,{'1038275705543507968': 1}
3lm1y,{'1038259286735036416': 1}
3mewv,{'1038240308847423489': 1}
3nahqq2ms,{'1038272142515810305': 1}
3ogopv2h,{'1038261743863115776': 1}
3p3t4avmwz,{'1027782978884251648': 1}
3pm,{'1038268946804338689': 1}
3r5xpklf,{'1038243435684212740': 1}
3zpzvpjse,{'1038231116220702721': 1}
4110432,{'1038274934991147009': 1}
41uugv,{'1027783521794969600': 1}
43l2xg8sv,{'1038234514244493314': 1}
46x5,{'1038279547219787776': 1}
46z,{'1038257742882988032': 1}
4879245,{'1038232925542723584': 1}
4efut,{'1038277259474481152': 1}
4ht4t8,{'1038269179290374144': 1}
4je,{'1038276258226876419': 1}
4la,{'1038234163709652992': 1}
4ucrgjh,{'1038289660735365121': 1}
4ut3quzjb,{'1038281008175624192': 1}
4w5hc5e0ib,{'1038245733726650369': 1}
4yjp9vz,{'1038279497181798400': 1}
4zug,{'1038259728084815872': 1}
500,{'1038244318102872064': 1}
52t0mapx,{'1038231423264739329': 1}
5905e6bts,{'1038242340182413312': 1}
5dsjwhjbcf,{'1038238545754968071': 1}
5rv0ajqps,{'1027841380419334145': 1}
5tag8hklr,{'1038230442116374529': 1}
605040,{'1038238992246951936': 1}
63ts4df32,{'1038239570956091392': 1}
6ca,{'1038225472331624448': 1}
6fi92qlekz,{'1038247975615647746': 1}
6fjs5unuuv,{'1038226538569850881': 1}
6gdqm,{'1038269071291293696': 1}
6i0rsagvyd,{'1038261752499200000': 1}
6ncfh,{'1038230118991364098': 1}
6nwv7ami,{'1038253562701209600': 1}
716,{'1038270275056558080': 1}
777,{'1038224881794646016': 1}
793,{'1038253906936123392': 1}
7983979,{'1038273431324815360': 1}
79nolkjxx,{'1038268367428362240': 1}
7abaxjkk,{'1038285514711945216': 1}
7cjyjzofak,{'1038226801150050304': 1}
7gmotxkv43,{'1038289516283478016': 1}
7ki,{'1027787689041555457': 1}
7mgpaomudr,{'1038260842624692224': 1}
7mo,{'1038279779978567680': 1}
7pb9hp,{'1038273214835843073': 1}
7ticb,{'1027782863855513601': 1}
81sa,{'1038225472331624448': 1}
87rsmtrqqz,{'1038269085677760512': 1}
8a69,{'1038232811818426368': 1}
8cgblnzti,{'1038250582425980928': 1}
8jvjvbbgd,{'1027790090511179776': 1}
8sgkldl,{'1038257037073891330': 1}
8tnfeyhzx,{'1038225436684242946': 1}
8unq,{'1038274112093868032': 1}
8x0gj0,{'1038268826696204293': 1}
8xj0aiksk,{'1038234940360589312': 1}
90iz1y,{'1038288183723798528': 1}
91390,{'1038227103156723713': 1}
91igzj,{'1038257572778848256': 1}
9503833,{'1027789197023830016': 1}
9666506,{'1038232551029190656': 1}
967,{'1038227103156723713': 1}
981t,{'1038230442116374529': 1}
9e9uk,{'1038226314711523334': 1}
9fxyzpow,{'1038233778521559040': 1}
9jqeh,{'1038288284764528646': 1}
9psook1s7,{'1038266207403696128': 1}
9xg,{'1038280411061907456': 1}
9zo2pi7,{'1038258465112842240': 1}
aad,{'1038285568088596480': 1}
abandon,{'1038265991745155072': 1}
abel,{'1038268729027710981': 1}
abiert,{'1038225280970760192': 1}
abocangel,{'1038241868327395330': 1}
abra,{'1027801730157871104': 1}
abuel,{'1038231683844075520': 1}
abund,{'1027811407813857280': 1}
abus,{'1038253665667219467': 1}
acarici,{'1038288284764528646': 1}
acas,{'1038261326844444672': 1}
accin,{'1038247760175280128': 1}
accion,{'1038248210127564800': 1}
accionari,{'1038268024661401600': 1}
accioncolora,{'1038235345886896128': 1}
accionpopul,{'1038260705068281857': 1}
accionpopularap,{'1038260705068281857': 1}
accionpopularp,{'1038260705068281857': 1}
acept,{'1038225436684242946': 1}
acerc,{'1038257742882988032': 1}
acomp,{'1038242724288315392': 1}
acompa,{'1038240196968570880': 1}
acort,{'1038272637338902528': 1}
acotacin,{'1038225707661451265': 1}
actas,{'1038254531933556736': 1}
actitud,{'1038290055629037569': 1}
activ,{'1038229335470170113': 1}
actos,{'1038238478054645761': 1}
actual,{'1038239746366078977': 1}
acuerd,{'1038228331773272065': 1}
acunh,{'1027790361928839168': 1}
acus,{'1038224780376395784': 1}
acusacion,{'1038268258271543296': 1}
adelantealim,{'1027801751251025920': 1}
adem,{'1038245701476667393': 1}
adems,{'1038231121660706817': 1}
adespedirelazulconmart,{'1038238545754968071': 1}
adjet,{'1038247927725080576': 1}
adm,{'1027792915450535936': 1}
administracin,{'1038272142515810305': 1}
admir,{'1038250697001787394': 1}
adomaitis,{'1038238545754968071': 1}
adquir,{'1038243021681315840': 1}
adversari,{'1027791052986572800': 1}
advert,{'1038225535980236800': 1}
afili,{'1027801730157871104': 1}
afirm,{'1027800069632872448': 1}
afroamerican,{'1038224613963165696': 1}
afroperuan,{'1038261326844444672': 1}
agarr,{'1038233877276512257': 1}
agenciaandin,{'1038246852343291905': 1}
agu,{'1038229801184780289': 1}
agusti,{'1038275569526484992': 1}
agustingaon,{'1038290130073731072': 1}
ahor,{'1038224786286174208': 1}
ahorr,{'1027818211327262720': 1}
aidaluzmendoz,{'1027783000455565312': 1}
airamanacmm,{'1038226551547080710': 1}
aisl,{'1038238395649146880': 1}
alangarciaperu,{'1038259021080420353': 1}
albe,{'1038273373577641989': 1}
albert,{'1038227347533713408': 1}
albertobelaund,{'1038282872707325952': 1}
alca,{'1038237123772645377': 1}
alcal,{'1038250810306650112': 1}
alcald,{'1038224780376395784': 1}
alcaldes,{'1038279469583278080': 1}
alcaldi,{'1038288672192442368': 1}
alcanc,{'1027783521794969600': 1}
alcantarill,{'1038255178770784256': 1}
alcanz,{'1038230572378873856': 1}
aleda,{'1038255178770784256': 1}
alej,{'1038252218753921026': 1}
alejand,{'1038266925623730176': 1}
alejapuent,{'1038266562124423168': 1}
alertasurc,{'1038225367427952640': 1}
alex,{'1038234163709652992': 1}
alexcastilloru,{'1038234583496568837': 1}
alfred,{'1038263480846114816': 1}
alfredolibr,{'1038273569405526016': 1}
algar,{'1038268963128524800': 1}
algn,{'1027781635121537026': 1}
algu,{'1038273885467234304': 1}
algui,{'1038226619066982400': 1}
algun,{'1038240308847423489': 1}
alianz,{'1038273051576680448': 1}
aliment,{'1038230091090853888': 1}
alivi,{'1038255780510744576': 1}
all,{'1038275488270168064': 1}
alla,{'1038284535358779392': 1}
almuercit,{'1027840839538679808': 1}
aloj,{'1038226662473625601': 1}
alons,{'1038259504578801664': 1}
alonsotarazonaf,{'1038271971191148545': 1}
alquil,{'1038224211351953408': 1}
alt,{'1038285667627921408': 1}
altavozp,{'1038224344395251713': 1}
alto,{'1038225016628948992': 1}
altoalcrim,{'1038259979793387520': 1}
altos,{'1027781867267866624': 1}
altur,{'1038251422884810752': 1}
alud,{'1027787580719464448': 1}
alumn,{'1038230118991364098': 1}
alvarocampan,{'1038266207403696128': 1}
alvarosarc,{'1038246379959865344': 1}
amant,{'1038231683844075520': 1}
amaru,{'1038225535980236800': 1}
ambas,{'1038260672046538754': 1}
ambient,{'1038235345886896128': 1}
ambos,{'1038237123772645377': 1}
ambul,{'1038250704689917953': 1}
amen,{'1038268997870002177': 1}
amerinoreyn,{'1027850592109125634': 1}
amig,{'1038226378963992576': 1}
amistad,{'1038269449751744512': 1}
amor,{'1038225367427952640': 1}
anal,{'1038253698814828546': 1}
analisis,{'1027783521794969600': 1}
analiz,{'1038278356054298625': 1}
anarqu,{'1038225367427952640': 1}
ancentral,{'1038274112093868032': 1}
andrad,{'1038227347533713408': 1}
andreanarvaez,{'1038243612902010880': 1}
andredt,{'1038224966754476032': 1}
andrs,{'1038261197668339712': 1}
andybarelylivin,{'1038261752499200000': 1}
anemi,{'1038229335470170113': 1}
aniquil,{'1038243357007507456': 1}
antecedent,{'1038271803930693633': 1}
anterior,{'1038241175264788481': 1}
anticuerp,{'1038289516283478016': 1}
anuquil,{'1038226619066982400': 1}
aor,{'1038290055629037569': 1}
aos,{'1038224831530053632': 1}
aparent,{'1038236777713152001': 1}
apjov,{'1038260705068281857': 1}
apliqu,{'1038232828008431617': 1}
apoder,{'1038229377568387072': 1}
aport,{'1038225472331624448': 1}
apoy,{'1038224517771001857': 1}
apra,{'1038225016628948992': 1}
aprend,{'1038244756919398400': 1}
aprist,{'1038234978230980610': 1}
apunt,{'1038240394130202624': 1}
aqu,{'1038224344395251713': 1}
aquel,{'1038236777713152001': 1}
aqui,{'1038236777713152001': 1}
araven,{'1038261197668339712': 1}
arbori,{'1038271829574606848': 1}
archivoestadi,{'1038246082990497792': 1}
arm,{'1038250582425980928': 1}
arnoldferriv,{'1038230387896528896': 1}
arquitect,{'1038260609681375232': 1}
arras,{'1038245701476667393': 1}
arregl,{'1038290515299627008': 1}
arrodill,{'1027782978884251648': 1}
arrug,{'1038247386446016512': 1}
artcul,{'1038234978230980610': 1}
artemis,{'1038258465112842240': 1}
artes,{'1038231683844075520': 1}
articul,{'1038231116220702721': 1}
arto,{'1038248210127564800': 1}
arturorosales,{'1038268963128524800': 1}
asegur,{'1038268367428362240': 1}
asesin,{'1038232779719368704': 1}
asesinat,{'1038224780376395784': 1}
asesinato,{'1038268024661401600': 1}
asesor,{'1038236686231265281': 1}
asi,{'1038235255323258880': 1}
asist,{'1038272920970321921': 1}
asoci,{'1038228022762119169': 1}
aspauzarazuri,{'1038228157042774016': 1}
aspe,{'1038261197668339712': 1}
asum,{'1038230420440186882': 1}
atac,{'1038256434763517952': 2}
atel,{'1038237884808130568': 1}
atencin,{'1038242169289695234': 1}
atend,{'1038251142298382336': 1}
atentolime,{'1038262521684209664': 1}
atrap,{'1038246644750409728': 1}
atras,{'1038272142515810305': 1}
atvmasnotici,{'1038227103156723713': 1}
atvpe,{'1038239570956091392': 1}
audi,{'1038271006903857152': 1}
augusegui,{'1038272142515810305': 1}
aument,{'1038237935085211648': 1}
aun,{'1038236777713152001': 1}
aunqu,{'1038236145904234498': 1}
aup,{'1027782978884251648': 1}
ausent,{'1038256875580653568': 1}
auster,{'1038258564043821056': 1}
aut,{'1038237294749208579': 1}
automotor,{'1038235255323258880': 1}
autor,{'1038225125693431808': 1}
autoriz,{'1038238395649146880': 1}
auxili,{'1027808894775685121': 1}
aval,{'1038235549360971776': 1}
avanz,{'1038230251506155522': 1}
averig,{'1038228446336274432': 1}
aversin,{'1038238847837065218': 1}
ayer,{'1038235570294665216': 1}
azcperu,{'1038272298149703680': 1}
azul,{'1038276902660792320': 1}
azulqu,{'1038240541065072640': 1}
bac,{'1027849691004854274': 1}
bail,{'1038278356054298625': 1}
baj,{'1038234978230980610': 1}
banc,{'1038266925623730176': 1}
barc,{'1038290515299627008': 1}
barr,{'1038238545754968071': 1}
barranc,{'1038260609681375232': 1}
barrer,{'1038239479448961024': 1}
barri,{'1027781867267866624': 1}
bast,{'1038234539963949057': 1}
bastant,{'1038273311728381954': 1}
bastay,{'1038251029555556358': 1}
basur,{'1038250704689917953': 1}
beig,{'1027801730157871104': 1}
being,{'1038272637338902528': 1}
beingole,{'1038239035330842625': 1}
beingolea,{'1038224538537000966': 1}
beingoleaalcaldedelim,{'1038268826696204293': 1}
beingoleaolafeliz,{'1027783430694682624': 1}
bellez,{'1038239243481632768': 1}
belmont,{'1038226542613147654': 1}
belmot,{'1038226378963992576': 1}
bendicion,{'1038233802924015622': 1}
benefici,{'1038239109322563584': 1}
benjamn,{'1038238545754968071': 1}
besti,{'1038271971191148545': 1}
betoadrianz,{'1038266207403696128': 1}
betoasaberatv,{'1038237144760942592': 1}
bicentenari,{'1038224909393190913': 1}
bich,{'1038230091090853888': 1}
biciclet,{'1038225208056918016': 1}
bien,{'1038226801150050304': 1}
bienest,{'1038251029471657985': 1}
bienv,{'1038274595978207233': 1}
bigot,{'1038249620336508929': 1}
bin,{'1038271803930693633': 1}
bisabuel,{'1038230521514479620': 1}
blanc,{'1038244259315572736': 1}
blind,{'1038264511961202689': 1}
blogdenot,{'1038225716255617024': 1}
bloque,{'1038237821885181953': 1}
boc,{'1038236145904234498': 1}
bocon,{'1038236145904234498': 1}
bonnmati,{'1038231683844075520': 1}
borj,{'1038260507529175041': 1}
bot,{'1038229801184780289': 1}
bottonprens,{'1038266562124423168': 1}
bozz,{'1038228157042774016': 1}
brav,{'1038288672192442368': 1}
brech,{'1038226309254656001': 1}
brind,{'1038251029471657985': 1}
brjul,{'1038290515299627008': 1}
bronc,{'1038235570294665216': 1}
bsic,{'1038225125693431808': 1}
btw,{'1038285568088596480': 1}
buen,{'1038224211351953408': 1}
bufn,{'1038224780376395784': 1}
burbujn,{'1038237414341443584': 1}
burgues,{'1038230875903873024': 1}
burr,{'1038230118991364098': 1}
burresti,{'1038235032098365440': 1}
bus,{'1038240541065072640': 1}
busc,{'1038240394130202624': 1}
bust,{'1038225436684242946': 1}
busti,{'1038263577642184705': 1}
caballerojack,{'1038234249311281152': 1}
cabrer,{'1038239092914438145': 1}
cachet,{'1038277239937359874': 1}
cad,{'1038232351174782977': 1}
caden,{'1038233778521559040': 1}
cadv,{'1038271006903857152': 1}
cag,{'1038234847465099264': 1}
caig,{'1038232636832055296': 1}
caist,{'1038259386731454464': 1}
cajn,{'1038227347533713408': 1}
calendari,{'1027835382954700800': 1}
calient,{'1038266562124423168': 1}
calific,{'1038236777713152001': 1}
calificaenriqu,{'1038264687333388288': 1}
call,{'1038236145904234498': 1}
calla,{'1038269153478627328': 1}
calz,{'1027849691004854274': 1}
cambi,{'1038230875903873024': 1}
camces,{'1038239570956091392': 1}
caminat,{'1038250810306650112': 1}
camionet,{'1038238999532523520': 1}
campa,{'1038239479448961024': 1}
can,{'1038232813953339392': 1}
canal,{'1038234486176206848': 2}
canaln,{'1038237144760942592': 1}
cancel,{'1038234847465099264': 1}
cand,{'1038227435278557184': 1}
candel,{'1038235570294665216': 1}
candi,{'1038225280970760192': 1}
candidat,{'1038224211351953408': 1}
candidatosj,{'1038281786529382400': 1}
candidatur,{'1038226551547080710': 1}
cans,{'1038255780510744576': 1}
cant,{'1038268877606662144': 1}
cantid,{'1038225208056918016': 1}
cantidatoscorrupt,{'1027849691004854274': 1}
caos,{'1038226378963992576': 1}
capac,{'1038230420440186882': 1}
capacit,{'1038230228756307969': 1}
capacitacin,{'1038230875903873024': 1}
capaz,{'1038245404008165378': 1}
capital,{'1038224211351953408': 1}
capitalin,{'1038269103700623360': 1}
capitn,{'1038290515299627008': 1}
capt,{'1038232351174782977': 1}
capuay,{'1038230364844634113': 1}
car,{'1038227141845037056': 1}
carabayll,{'1027790855627788288': 1}
carayc,{'1038260609681375232': 1}
care,{'1038271006903857152': 1}
caret,{'1038224433234829312': 1}
carg,{'1038225016628948992': 1}
carl,{'1038231683844075520': 1}
carlaminerv,{'1027790855627788288': 1}
carmendeat,{'1038288059861741569': 1}
carmenzapat,{'1038245992234139655': 1}
carr,{'1038235255323258880': 2}
cart,{'1038275105804169217': 2}
cartel,{'1038258564043821056': 1}
cas,{'1038225125693431808': 1}
casi,{'1038246082990497792': 1}
cast,{'1038226542613147654': 1}
castaed,{'1038231116220702721': 1}
castaedaqu,{'1038240541065072640': 1}
castaned,{'1027793421694578688': 1}
casual,{'1038234978230980610': 1}
categor,{'1038231683844075520': 1}
caus,{'1038285568088596480': 1}
ccantell,{'1027783430694682624': 1}
ccl,{'1038234602731712514': 1}
ccp,{'1038261101539020800': 1}
cdra,{'1038252441572134912': 1}
cdul,{'1038268079921344513': 1}
cecili,{'1038238992246951936': 1}
ceessaces,{'1038264008841814016': 1}
cejn,{'1038234446221246464': 1}
cejon,{'1038275105804169217': 1}
cencosud,{'1038238395649146880': 1}
centen,{'1038273311728381954': 1}
cer,{'1038231121660706817': 1}
cerc,{'1038275105804169217': 1}
cerebr,{'1038237821885181953': 1}
cerr,{'1038231423264739329': 1}
cerrn,{'1038226662473625601': 1}
cesaromarxit,{'1038255902061744128': 1}
cevalenzuelav,{'1038237144760942592': 1}
chanc,{'1038245701476667393': 1}
chavarry,{'1038246742414843904': 1}
chiboln,{'1027840839538679808': 1}
chicagopas,{'1038276620782653441': 1}
chicharronpress,{'1038230364844634113': 1}
chil,{'1038274776710766593': 1}
chistos,{'1038268877606662144': 1}
chof,{'1038252010578030593': 1}
chofer,{'1038235255323258880': 1}
choraz,{'1027789592299274240': 1}
chorrill,{'1038277259474481152': 1}
chupamedi,{'1038232878969225216': 1}
ciclov,{'1038234772349313025': 1}
cieg,{'1038281728022994944': 1}
cienci,{'1038231683844075520': 2}
ciert,{'1038224613963165696': 1}
cinc,{'1038225280970760192': 1}
circulacion,{'1038235255323258880': 1}
ciu,{'1038261439687999488': 1}
ciud,{'1038225208056918016': 1}
ciudad,{'1038225125693431808': 1}
ciudadan,{'1038225535980236800': 1}
civil,{'1038244318102872064': 1}
clar,{'1038227137533239297': 1}
clas,{'1038255086353477633': 1}
claudiozegarr,{'1038271803930693633': 1}
clausur,{'1038274776710766593': 1}
clubpueblamx,{'1038261197668339712': 1}
cmar,{'1038264511961202689': 1}
cmo,{'1038224211351953408': 1}
cmplic,{'1038252218753921026': 1}
cobard,{'1038246852343291905': 1}
cobertur,{'1038237565902618624': 1}
cobr,{'1038241583412510720': 1}
cocin,{'1038230091090853888': 1}
coherent,{'1038253665667219467': 1}
coinc,{'1038235549360971776': 1}
cojud,{'1038268024661401600': 1}
colabor,{'1038248628463263744': 1}
colect,{'1038228157042774016': 1}
colegi,{'1038239092914438145': 1}
colg,{'1038232525435531265': 1}
coloc,{'1038246082990497792': 1}
colombi,{'1038227425522589696': 1}
columbus,{'1038236460267266049': 1}
com,{'1038230091090853888': 1}
combat,{'1038228157042774016': 1}
combati,{'1038239746366078977': 1}
combatir,{'1038274600319234048': 1}
combin,{'1038290087212187649': 1}
combutters,{'1038238478054645761': 2}
comentari,{'1038236145904234498': 1}
comenz,{'1038226181173256192': 1}
comerci,{'1038238395649146880': 1}
comet,{'1038273051576680448': 1}
comienz,{'1038272592170364928': 1}
comn,{'1038261326844444672': 1}
comoenlim,{'1027811407813857280': 1}
comoenmiraflor,{'1027811407813857280': 1}
comoensanisidr,{'1027811407813857280': 1}
compart,{'1038238847837065218': 1}
comparti,{'1038246082990497792': 1}
competent,{'1038258766460989440': 1}
complet,{'1038224344395251713': 1}
complic,{'1038226938320629761': 1}
compr,{'1038248210127564800': 1}
comprob,{'1038240541065072640': 1}
compromet,{'1038256875580653568': 1}
compromis,{'1038234539963949057': 2}
