word,frequencies
0b1oai,{'1045080957525676035': 1}
0biqex9ew3,{'1045079271184715777': 1}
0d7qyooki2,{'1045081495080194048': 1}
0exfyy,{'1045075780970184704': 1}
0iy,{'1045066791746252801': 1}
0qq6cw9x,{'1045074929773875213': 1}
0x4imk,{'1045073656030941185': 1}
1112,{'1045071347498569728': 1}
1200,{'1045075322536960001': 1}
123,{'1045080046006939648': 1}
12922819,{'1045068901795725314': 1}
137,{'1045068748263235597': 1}
13811,{'1045068800205484032': 1}
14hguvzbss,{'1045069782180143105': 1}
150570,{'1045077085939748865': 1}
157,{'1045068748263235597': 1}
1759,{'1045081313328484358': 1}
184,{'1045082886641258497': 1}
19521,{'1045068800205484032': 1}
1956,{'1045066906363998208': 1}
1967,{'1045067351295758336': 1}
1990,{'1045078371753963520': 1}
1ddiz,{'1045070329427755008': 1}
1dlbdlde,{'1045069857535008768': 1}
1er,{'1045068632978587648': 1}
1lgr97,{'1045076658984816641': 1}
1o0vhzzhh,{'1045075401763155969': 1}
1r7fjmfb5,{'1045071624045768704': 1}
1waqpohpyw,{'1045079804385656834': 1}
1wm9i2g,{'1045080244598820864': 1}
1wrp8by23,{'1045074332077232128': 1}
1xkrsxn,{'1045078790978850816': 1}
2000,{'1045078908377403393': 2}
2001,{'1045068901795725314': 1}
2011,{'1045067577633001473': 1}
2012,{'1045066809140006912': 1}
2016,{'1045072652615004161': 1}
2018,{'1045066865406554113': 1}
2018n,{'1045067466756542464': 1}
2018ntv,{'1045067466756542464': 1}
2125353,{'1045076090740510726': 1}
21cordeliam,{'1045074715042287617': 2}
21notici,{'1045074484867354624': 1}
221,{'1045081527657406464': 1}
22wlhwqje,{'1045080089870905344': 1}
2485,{'1045067916725620736': 1}
2609,{'1045076290875904001': 1}
27hkhqvr9,{'1045073486178324480': 1}
29dyhahbd,{'1045069951734812679': 1}
2d8,{'1045076090740510726': 1}
2do,{'1045078456697061377': 1}
2jdj,{'1045072577012649985': 1}
2mbo,{'1045070560420605952': 1}
2q4tx2gim,{'1045083106896687104': 1}
323f,{'1045067181577445376': 1}
3679704,{'1045067837604278273': 1}
36ppurgx,{'1045081149062750209': 1}
3a7gmerb,{'1045078855671853056': 1}
3eit,{'1045077931855433729': 1}
3gatjehdf,{'1045071678127185920': 1}
3ia,{'1045074974678151174': 1}
3khf2gv2,{'1045068552041099271': 1}
3lg,{'1045072622323675136': 1}
3mudvld,{'1045073042001604608': 1}
3nel,{'1045071229076606976': 1}
3odjz4xn,{'1045073812402962436': 1}
3pehiv9apw,{'1045072630347436032': 1}
3ueb,{'1045068958108463110': 1}
3yptumkg0,{'1045069057668640769': 1}
3zc,{'1045080595490131968': 1}
407,{'1045068901795725314': 1}
475espipow,{'1045069252615647232': 1}
4aw2ezzs21,{'1045074845225095168': 1}
4biheqci,{'1045076290875904001': 1}
4cdwzil,{'1045077894815510528': 1}
4knzmztdbm,{'1045076317329399809': 1}
4la,{'1045066985334345728': 1}
4ng3ns,{'1045072327334146049': 1}
4oxvlr1qx,{'1045081522519384064': 1}
521,{'1045076290875904001': 1}
5430078,{'1045072783183687680': 1}
5526631,{'1045067046583775233': 1}
58v,{'1045071286819540993': 1}
5gwf8fkdmv,{'1045075750574084096': 1}
5jlo,{'1045069578504679426': 1}
5mfbbm,{'1045068571209084929': 1}
5rc0nspxv,{'1045076185087119360': 1}
5sm6v,{'1045069868566007808': 1}
5uq,{'1045073953029541888': 1}
5whx6,{'1045071347498569728': 1}
5xl,{'1045080595490131968': 1}
5yvqvk2v,{'1045081250334216193': 1}
600,{'1045082477864386562': 1}
6235898,{'1045082472025915392': 1}
666,{'1045081253760954373': 1}
691cm,{'1045069859376304128': 1}
69ymwdph0,{'1045073420285763584': 1}
6fidr,{'1045067588169019393': 1}
6iknuqrrii,{'1045066438610997250': 1}
6uiggu7l,{'1045067181577445376': 1}
71w4taembr,{'1045079572595855360': 1}
73pfj,{'1045069710973448192': 1}
740c,{'1045067837604278273': 1}
74dggu2x6,{'1045078147547504641': 1}
794,{'1045068859584237570': 1}
7dnnd0s8a6,{'1045076463572185090': 1}
