word,frequencies
005,{'1039263461648293888': 1}
00satu7vi,{'1039241995804389377': 1}
0392,{'1039208654669574144': 1}
04l7yoebm,{'1039184384702730241': 1}
04wtlvdtdb,{'1039242294254350336': 1}
0710,{'1039258601381142528': 1}
0aejincu,{'1039225681748615169': 1}
0it,{'1039162836092694528': 1}
0mbge2,{'1039177984270327809': 1}
0nixqwuuw,{'1039201126472732673': 1}
0peru,{'1039228593212219392': 1}
0r3ytg,{'1039222879785836546': 1}
0vy,{'1039215936333598726': 1}
101,{'1039245500736839680': 1}
1043,{'1039169445112033280': 1}
10am,{'1039162427861098496': 1}
1109,{'1039249876641570818': 1}
1240,{'1039201301991702534': 1}
13upb,{'1039201761234493440': 1}
141yf,{'1039169105167831041': 1}
15owu7gt,{'1039210327387381761': 1}
162,{'1039269332998660097': 1}
16727013,{'1039196130138054658': 1}
16776600,{'1039192895356588032': 1}
18973740,{'1039220950993186816': 1}
190666,{'1039243334550806528': 1}
1963,{'1039172796650274817': 1}
1972,{'1039196172538322944': 1}
1986,{'1039206122643775495': 1}
1988,{'1039175223025836033': 1}
1989,{'1039166190030139393': 1}
1aqdptqonz,{'1039260733865750528': 1}
1hioc9gvmj,{'1039267647999881216': 1}
1ntthdqjfh,{'1039190718412152832': 1}
1srphvqkkd,{'1039213928033738754': 1}
1t1h,{'1039190600371847169': 1}
1x3f5j,{'1039196172538322944': 1}
1xn3,{'1039248142322069504': 1}
1y9hrcz,{'1039172882163814400': 1}
1zzosi,{'1039207982440095745': 1}
201,{'1039155612406489088': 1}
2016,{'1039167933375762433': 1}
2018,{'1039154512559316995': 2}
2019,{'1039226008673689601': 1}
2021,{'1039196196248739840': 1}
2026,{'1039203603494436864': 1}
2125353,{'1039173481248837635': 1}
21notici,{'1039206122643775495': 1}
2285116,{'1039196130138054658': 1}
2498794,{'1039221863262638080': 1}
2656122,{'1039213749842927616': 1}
27972el,{'1039198338040651776': 1}
285,{'1039207649336803330': 1}
28d,{'1039162457732927488': 1}
29mg,{'1039213032054972416': 1}
2clfaumi,{'1039167409482072064': 1}
2d8,{'1039173481248837635': 1}
2e4azqk,{'1039222277693427712': 1}
2lukhzluu,{'1039175759968038912': 1}
2mo0v9fre,{'1039158649602629633': 1}
2qxrs,{'1039266257118416897': 1}
2t5v7jsagv,{'1039215936333598726': 1}
2uwxcxurkq,{'1039254714137935872': 1}
2zoajd5rv,{'1039156218462445569': 1}
3157455,{'1039228086200553475': 1}
319,{'1039227162501500928': 1}
353535,{'1039208941094354944': 1}
374,{'1039227162501500928': 1}
3fosd8f0,{'1039227010000646146': 1}
3fxokg,{'1039213032054972416': 1}
3gmxn0gexh,{'1039169846666133506': 1}
3jzkgt,{'1039172442936238086': 1}
3kxai9,{'1039183152349097984': 1}
3lh0vwf7s,{'1039233902248910848': 1}
3mhxxxc,{'1039246009547804672': 1}
3rzkee0,{'1039249005832749056': 1}
3sfhl,{'1039265677306200065': 1}
3w28jlqhq,{'1039222031819128834': 1}
3xw1ufyiz,{'1039227010000646146': 1}
3zzrguq6,{'1039219495632560128': 1}
40ufdadpai,{'1039168079656312832': 1}
43l2xg8sv,{'1039252846179491841': 1}
4447229,{'1039206054121365507': 1}
4e5oxysu,{'1039260032192397317': 1}
4gfuh,{'1039217322651725824': 1}
4giz,{'1039267033786077186': 1}
4hfhjqc,{'1039192895356588032': 1}
4hqk,{'1039172442936238086': 1}
4kktun8df,{'1039169846666133506': 1}
4ljpzzsj,{'1039165847766540289': 1}
4ocsyso2h,{'1039180095947194368': 1}
4pi8,{'1039185131674787845': 1}
4tonuz,{'1039235844866023427': 1}
4umld84q,{'1039226395476602882': 1}
4vvtsxngez,{'1039264250974359552': 1}
500,{'1039161491944034310': 1}
50bxzeh,{'1039196075788255233': 1}
512yza3qrr,{'1039213686106345472': 1}
54ca5hh,{'1039162987163136000': 1}
55zymhwb,{'1039219994389819392': 1}
56wan,{'1039206198971650048': 1}
58ln1mkfz,{'1039219454138150912': 1}
5a0qoqf0y,{'1039164072783216641': 1}
5awl9cggw,{'1039195920116707328': 1}
5lgujrhs,{'1039241682099863553': 1}
5lvym,{'1039162836092694528': 1}
5ompq5yfey,{'1039239429351792641': 1}
5r0zvuict5,{'1039239194663694336': 1}
5t8,{'1039171539416096768': 1}
5u1frz,{'1039178313900728320': 1}
5vp5o,{'1039194166104911873': 1}
5vqnz,{'1039243835744968704': 1}
5vqnzwp,{'1039243816459546624': 1}
5xzrx6jofk,{'1039208176036536320': 1}
