word,frequencies
013w,{'1045279077995868160': 1}
01zh,{'1045285545449017344': 1}
024lyducy,{'1045276794251882496': 1}
0500,{'1045282264228253697': 1}
099jhlbm,{'1045286885692768257': 1}
0h5sb13,{'1045290039960371200': 1}
0n9abal,{'1045287832481402881': 1}
0ougl8kniq,{'1045283613183496192': 1}
0xlt4p15,{'1045285866241970177': 1}
125,{'1045280609952837633': 1}
12gqn2i,{'1045275176789831681': 1}
1408,{'1045286083351785472': 1}
1413,{'1045286757024043010': 1}
143,{'1045273523831353345': 2}
145,{'1045289951276019712': 1}
147,{'1045275261636419585': 1}
15r0uxx58,{'1045287454624940032': 1}
16y56t,{'1045275271929188352': 1}
1790ac,{'1045289001601699840': 1}
18fhfi,{'1045277549872508928': 1}
193,{'1045274587850629122': 1}
1959,{'1045285608669753345': 1}
196,{'1045279141044658176': 1}
1976,{'1045277214709862400': 1}
1cwbzggjw,{'1045284196724420608': 1}
1ddiz,{'1045278753126043648': 1}
1er,{'1045275261636419585': 1}
1f1bcvgqd,{'1045278631587708928': 1}
1hybhslo,{'1045286232341843968': 1}
1pi3,{'1045284869914406912': 1}
1qonzxfcwi,{'1045286721527721984': 1}
1renz,{'1045275041179594752': 1}
1ro,{'1045289099547037698': 2}
1ss26kcvv,{'1045282099765411840': 1}
2009,{'1045275790735290368': 1}
2016,{'1045284013362094080': 1}
2018,{'1045273959967739905': 1}
2019,{'1045285722767446018': 1}
2019202,{'1045288511425990658': 1}
2021,{'1045279375204200448': 1}
2021peru,{'1045275314400743424': 1}
203,{'1045277095625142273': 1}
212,{'1045287065003462661': 1}
215,{'1045289951276019712': 1}
21notici,{'1045275617476923392': 1}
21polit,{'1045278631587708928': 1}
22efgd2,{'1045287367207256065': 1}
2390,{'1045276781249536000': 1}
23ixn,{'1045287367207256065': 1}
28robles7,{'1045279158258020352': 1}
28zezuvfqs,{'1045277644437237760': 1}
2987,{'1045284752738209792': 1}
2b3,{'1045280793847894021': 1}
2bg428njm,{'1045282258440114177': 1}
2da,{'1045284089073414144': 1}
2dga,{'1045277214709862400': 1}
2do,{'1045280336165445633': 1}
2mknl5ojn,{'1045289587051036674': 1}
2sx,{'1045275031830482944': 1}
30l,{'1045288330550816768': 1}
31zls,{'1045281901856972800': 1}
33a0m,{'1045287571415322625': 1}
377,{'1045277442410270720': 1}
395,{'1045277442410270720': 1}
3gj,{'1045288805564129280': 1}
3odjz4xn,{'1045289392414298112': 1}
3ra,{'1045281775562502145': 1}
3ricard,{'1045275041179594752': 1}
3ricardobelmontc,{'1045290605885181952': 1}
3tfi7lvcev,{'1045277235933052931': 1}
3vsqejtwtj,{'1045283324753784832': 1}
3vxhnbkd,{'1045289763962605569': 1}
3zg,{'1045284976789540864': 1}
4023,{'1045285598842507264': 1}
410,{'1045283137461325825': 1}
478,{'1045287367207256065': 1}
48cbo6kxbv,{'1045285361008685056': 1}
4bmhew,{'1045283489292136448': 1}
4bsrzo5,{'1045282264228253697': 1}
4f4hmq4gdo,{'1045289262965510144': 1}
4jsou,{'1045283137461325825': 1}
4luis,{'1045275041179594752': 1}
4qtdllxif,{'1045286834836836352': 1}
4s8tbhr2c0,{'1045276475442823168': 1}
4to,{'1045276026148925440': 1}
4xjx3z,{'1045290535131521024': 1}
4xqjna,{'1045274335517257735': 1}
501,{'1045277442410270720': 1}
59xmulrwry,{'1045285545449017344': 1}
5b2iaz,{'1045287677313060864': 1}
5kwpgoq2,{'1045283455246962689': 1}
5qgkashfr,{'1045288300855087106': 1}
5saelqeij,{'1045284626384801794': 1}
5t8o,{'1045288584385892354': 1}
5to,{'1045276026148925440': 1}
61sn,{'1045283566689636354': 1}
6hzcvf,{'1045289951276019712': 1}
6iknuqrrii,{'1045274694432296960': 1}
6kt9,{'1045290361160167425': 1}
6zh6uw,{'1045285076228018177': 1}
710,{'1045286834836836352': 1}
7lne6lim,{'1045280985619795968': 1}
7pm,{'1045279923865374721': 1}
7vtumg,{'1045276765055320067': 1}
8358287,{'1045290994491707392': 1}
89jvo,{'1045279923865374721': 1}
8aos,{'1045289001601699840': 1}
8e6mxcwnd,{'1045284209441558530': 1}
8htz9oe4f,{'1045290442223472641': 1}
8jm2vjk,{'1045279408456642560': 1}
8qwso64,{'1045281642208727040': 1}
8rne,{'1045286417683939329': 1}
8tw,{'1045281394157588480': 1}
91cfa29zqg,{'1045279408456642560': 1}
9218677,{'1045288676706734080': 1}
93wbfhql,{'1045288140255244293': 1}
967,{'1045280385775661056': 1}
9a2uovfxr,{'1045288232211099648': 1}
9a5q0fi,{'1045281247088578560': 1}
9atii1y,{'1045290524922523648': 1}
9axj4gvcef,{'1045279047109021696': 1}
9cifrsl,{'1045288676706734080': 1}
9fbngpo,{'1045287764865036288': 1}
9gi,{'1045288262204575746': 1}
9ipxu,{'1045277846690762753': 1}
9jx7auk,{'1045278916477419521': 1}
9lr0,{'1045276131149123585': 1}
9mqtsvu7,{'1045288626341466112': 1}
9opegceem0,{'1045284768601047040': 1}
9vqlhgc6p,{'1045281901856972800': 1}
9ytts,{'1045277545812422656': 1}
aareval,{'1045275617476923392': 1}
aaronsalomong,{'1045276503754313728': 1}
abaj,{'1045278121816133632': 1}
abandon,{'1045279914251956224': 1}
abiert,{'1045287104815804423': 1}
abismal,{'1045283004770385920': 1}
absolut,{'1045282521662083072': 1}
absuelt,{'1045280892091072512': 1}
absuelv,{'1045288541687869441': 1}
abuel,{'1045285748226883585': 1}
abus,{'1045280265168441344': 1}
acab,{'1045282244284350466': 1}
acas,{'1045283142611939333': 1}
accin,{'1045279077995868160': 1}
accinpopul,{'1045279158258020352': 1}
accion,{'1045281782239760384': 1}
accioncolora,{'1045278178309271553': 1}
accionpopul,{'1045279698966720512': 1}
accionpopularap,{'1045279698966720512': 1}
accionpopularp,{'1045279698966720512': 1}
aceit,{'1045283142611939333': 1}
acept,{'1045277999271227392': 1}
acerc,{'1045273703188230145': 1}
acert,{'1045289001601699840': 1}
aciert,{'1045286024962879488': 1}
aclar,{'1045284869914406912': 1}
acogedor,{'1045280918951415808': 1}
acomod,{'1045278248215744512': 1}
acomodndos,{'1045289975321956353': 1}
acopl,{'1045290605885181952': 1}
acord,{'1045274224674394113': 1}
acort,{'1045279692234915840': 1}
