word,frequencies
0001,{'1046593375779127296': 1}
011,{'1046593237413253120': 1}
0209,{'1046593544146898945': 1}
03ppcb,{'1046593331852189696': 1}
0710,{'1046593292379414529': 1}
0890,{'1046593013546405889': 1}
0di,{'1046593757255258113': 1}
0le0fkhg3,{'1046593452035776514': 1}
0qwyy,{'1046593832115204096': 1}
0rn8bvclp,{'1046594211972354053': 1}
0rsb,{'1046593875429732352': 1}
0th,{'1046593317482450945': 1}
0wlvltziec,{'1046593327565602816': 1}
0zgn84pgic,{'1046593900981432325': 1}
100,{'1046593258095357952': 1}
100pes,{'1046593460940279808': 1}
1173,{'1046593204315926528': 1}
1230,{'1046593496805715968': 1}
1408,{'1046593193259802624': 1}
154t43ta,{'1046593549825974273': 1}
159,{'1046593040578686976': 1}
1610,{'1046593033993678848': 1}
1901,{'1046593873022210049': 1}
1967,{'1046593986062946304': 1}
1989,{'1046594071169519616': 1}
1990,{'1046594408307724289': 1}
1995,{'1046593059197255680': 1}
1999,{'1046594096691843074': 1}
1cwbe17i,{'1046593013546405889': 1}
1d8m2cm02,{'1046593932036108288': 1}
1fly3datr,{'1046594263486746634': 1}
1r1k7er,{'1046593621292732419': 1}
1rh,{'1046593647154745344': 1}
1w5la0v,{'1046593156739936256': 1}
1yx,{'1046593707775074304': 1}
2005,{'1046593597557157890': 1}
200mil,{'1046594021278257156': 1}
2011201,{'1046593118894796800': 1}
2016,{'1046593450194415616': 1}
2017,{'1046593636538961920': 1}
2018,{'1046593028260081671': 1}
2019,{'1046593657711865856': 1}
2022,{'1046593739865624577': 1}
2068979,{'1046593411443290112': 1}
2125353,{'1046593327565602816': 1}
2193,{'1046593401867718656': 1}
21notici,{'1046593654767456259': 1}
2710,{'1046594003393806337': 1}
29gpax6mi,{'1046593707775074304': 1}
2ccoron,{'1046594256104816640': 1}
2d8,{'1046593327565602816': 1}
2g6mfpetcd,{'1046593654767456259': 1}
2jeeht6hzr,{'1046594347775463426': 1}
2lq7xvi,{'1046594352804495360': 1}
