word,frequencies
011,{'1041544068751392768': 1}
04q83h,{'1041576489400053760': 1}
066,{'1041512239914774528': 1}
0710,{'1041527886057009152': 1}
0890,{'1041517223721017345': 1}
0bjygwxoe0,{'1041560875134533632': 1}
0bt,{'1041569238434152448': 1}
0czc4wzta,{'1041511680155500545': 1}
0jeaq,{'1041576551199002626': 1}
0jhccu6ti,{'1041583631645466624': 1}
0ncj,{'1041514020623269888': 1}
0nwgbpb,{'1041537633841815552': 1}
0rexp0litic0,{'1041526198042550272': 1}
0yjjcr8paw,{'1041532316814852096': 1}
1000,{'1041521192686051328': 1}
10cuestion,{'1041541490982481922': 1}
130,{'1041573257374298112': 1}
141,{'1041544281574572032': 1}
16092018,{'1041557944553414656': 1}
180,{'1041522889378410496': 1}
18u1joxavv,{'1041596959138766848': 1}
1910,{'1041525170098327552': 1}
1973,{'1041511680155500545': 1}
1976,{'1041513747829940225': 1}
1977,{'1041513933339873281': 1}
198,{'1041520688769769472': 1}
198021,{'1041514706480123905': 1}
1983,{'1041512115826294784': 1}
1992,{'1041540036871827458': 1}
1er,{'1041531110184951809': 1}
1mmqjnpdn,{'1041572873251573760': 1}
1nfoman,{'1041512931119312896': 1}
1no5bkbwfm,{'1041553499669053440': 1}
1nxgeq,{'1041569738558717952': 1}
1r8emq71,{'1041558039415926784': 1}
1rd28b54,{'1041570528316874752': 1}
1th,{'1041582706147164162': 1}
1vb,{'1041548741793263616': 1}
1vun4cswfi,{'1041531584275464192': 1}
1w6it,{'1041521335313330178': 1}
1xajpx2f,{'1041573050318237697': 1}
1yyhepqemu,{'1041513080159694848': 1}
1zfauh8dbv,{'1041567627523575814': 1}
2016,{'1041586483738685440': 1}
2017,{'1041540769293709312': 1}
2018,{'1041517603511066625': 1}
2021,{'1041539543302729728': 1}
2067,{'1041514907169169410': 1}
20u53hqac,{'1041511603500470272': 1}
21notici,{'1041524837435535362': 1}
2209,{'1041539583110856704': 1}
2323,{'1041530040712916992': 1}
245,{'1041545154367242241': 1}
25salv,{'1041539543302729728': 1}
28robles7,{'1041551263517888512': 1}
2batwp2s4c,{'1041551696030261248': 1}
2c0q,{'1041541362875867141': 1}
2dacuest,{'1041593823468691456': 1}
2dacuestindeconfi,{'1041593823468691456': 1}
2e8xn8ixud,{'1041545175657525248': 1}
2g1bvkvd,{'1041552548539322369': 1}
2gyt7yj,{'1041533347456077824': 1}
2ickaup9,{'1041516068710309888': 1}
2ndo,{'1041531110184951809': 1}
2noakhzjc,{'1041582708340805633': 1}
2tiboqzcsk,{'1041515421361471488': 1}
300,{'1041557165826301953': 1}
322,{'1041526420382605313': 1}
3406,{'1041544688531058688': 1}
346kkcl0bk,{'1041536583852335104': 1}
3577,{'1041517796650307584': 1}
3dyg0pr2t,{'1041553499669053440': 1}
3eejl,{'1041545746368131074': 1}
3imn,{'1041535676204941318': 1}
3kcq,{'1041528110611607554': 1}
3mtlqbk32l,{'1041524205177712641': 1}
3n0nxr9xhi,{'1041586098152108032': 1}
3n2wa2,{'1041529844197195777': 1}
3oeg,{'1041528408054874112': 1}
3pdysr,{'1041543596250476546': 1}
3vzeff65,{'1041576551199002626': 1}
406,{'1041569314434895872': 1}
40upvn,{'1041547494126235648': 1}
4744657,{'1041589647342743552': 1}
4762723,{'1041566250810462208': 1}
4cwna,{'1041570233880862724': 1}
4kwndyt,{'1041572247406731264': 1}
4mjiazkrh,{'1041510958731063297': 1}
4sofvik,{'1041521527877976064': 1}
4suo1ch,{'1041557335204941824': 1}
4ttrybw3e,{'1041549854558879745': 1}
4x4,{'1041519910738948096': 1}
4zxdcp,{'1041540875665461248': 1}
5044984,{'1041514308558090242': 1}
58dwqtu,{'1041535887501406208': 1}
59d58sutp,{'1041553983083618304': 1}
5cxmodozm,{'1041548796545642496': 1}
5jdbk9npo,{'1041574347914264576': 1}
5l6xg,{'1041555510221307904': 1}
5nlm3ud0z,{'1041548247137959936': 1}
5sm,{'1041588784826122240': 1}
5yaoa6p,{'1041570233880862724': 1}
5zmtdkh,{'1041556953808424960': 1}
605040,{'1041589555890143232': 1}
60ijox,{'1041536583852335104': 1}
614 4149414,{'1041544688531058688': 1}
61fzunoj,{'1041515138824790017': 1}
64disvacol,{'1041509913913110528': 1}
666,{'1041545051854262272': 1}
66vehk7r,{'1041528635214184449': 1}
6czkz7nrei,{'1041512731252285442': 1}
6hts7cs,{'1041596959138766848': 1}
6pzim98tl,{'1041594693409230850': 1}
6vh,{'1041573618336063488': 1}
6vqbemg6q,{'1041573618336063488': 1}
7071153,{'1041510005135093760': 1}
7668639,{'1041535563831160834': 1}
76gkgp6ev,{'1041521408038318080': 1}
7ev0sj6vwz,{'1041546169049116672': 1}
7ibylddq9c,{'1041583605561081856': 1}
7ie,{'1041523855284727808': 1}
7q2622m1h7,{'1041538850219274241': 1}
7qndq5ryu,{'1041553983083618304': 1}
7x6yvcm,{'1041516832174301185': 1}
7ynyico7,{'1041583520026640384': 1}
7yoop,{'1041519295044440065': 1}
800,{'1041521500807987200': 1}
8021764,{'1041510021685817344': 1}
84xyzy0jwh,{'1041572873251573760': 1}
8htpr,{'1041521019431907328': 1}
8jp2vtrtq4,{'1041569238434152448': 1}
8lnkjdulh8,{'1041585680583979009': 1}
8omko,{'1041580724284018689': 1}
8vga8eqvz,{'1041531309544407040': 1}
8xg7dtbx,{'1041539543302729728': 1}
8xhtei,{'1041593911758733315': 1}
8ynclplw,{'1041516475075452930': 1}
91la0,{'1041527506241769473': 1}
930hraexl,{'1041543409608138753': 1}
967,{'1041523294837583872': 1}
