word,frequencies
00268781,{'1046291956391907328': 1}
007,{'1046272398679584768': 1}
01369992,{'1046316614906531846': 1}
02boah8rc,{'1046298085285072896': 1}
033w,{'1046287089975914496': 1}
0890,{'1046300539791847424': 1}
0bvpsmg1,{'1046277523959476225': 1}
0k3,{'1046287661353390080': 1}
0ll4kv0aah,{'1046323355501121536': 1}
0o7b6s,{'1046269077000527872': 1}
0wu0izvt,{'1046292373771362304': 1}
0xxf,{'1046296075009748992': 1}
1000,{'1046281498691862529': 1}
101,{'1046280808288460800': 1}
103,{'1046272590883508224': 1}
1160,{'1046290065691987968': 1}
1201,{'1046272785117573120': 1}
123,{'1046276491577839616': 1}
137,{'1046272590883508224': 1}
142,{'1046287909496778753': 1}
142 2909,{'1046284736891703302': 1}
142gtgtgtno,{'1046271199913934848': 1}
144,{'1046290037162291201': 1}
1445,{'1046290065691987968': 1}
147,{'1046272590883508224': 1}
148,{'1046290037162291201': 1}
14r,{'1046316361247608833': 1}
14xnp2jam6,{'1046271818070470656': 1}
1507,{'1046295088807186432': 1}
169,{'1046275675827646464': 1}
16fqqo,{'1046276663464677376': 1}
1709,{'1046284736891703302': 1}
173,{'1046275675827646464': 1}
1795,{'1046304796163084290': 1}
1799,{'1046304796163084290': 1}
1956,{'1046291956391907328': 1}
1967,{'1046274206701408256': 1}
1969,{'1046292461507817472': 1}
1977c,{'1046291318761230337': 1}
19tot4,{'1046307248883011585': 1}
1dori,{'1046279285391216640': 1}
1el2y4g6h,{'1046285657407205376': 1}
1er,{'1046289543383732224': 1}
1fulmi,{'1046282114302431233': 1}
1j3p66pqfq,{'1046275883252813824': 1}
1ke5tk7mzoz,{'1046273043193057280': 1}
1l2yd3wo,{'1046276090128474113': 1}
1nstvrvl,{'1046269291614666752': 1}
1qrru488,{'1046277861269803008': 1}
1tdw1rv4j,{'1046278379471810561': 1}
2009,{'1046276779583971329': 1}
2011,{'1046282126889504768': 1}
2014,{'1046282632873603072': 1}
2016,{'1046270900134465537': 1}
2017,{'1046273806619332608': 1}
2018,{'1046268902970458112': 1}
2022,{'1046300934069006336': 1}
20mil,{'1046274050216120321': 1}
2123,{'1046290224366714886': 1}
21notici,{'1046270181008453634': 1}
2323,{'1046271807224008704': 1}
2390,{'1046270007959855104': 1}
24edn,{'1046296149982875648': 1}
2531746,{'1046268570949361664': 1}
2650,{'1046290065691987968': 1}
2788,{'1046290224366714886': 1}
28lh,{'1046271639002984448': 1}
28robles7,{'1046268202651660288': 1}
28sep,{'1046311649592913920': 1}
2987,{'1046298567495880704': 1}
2do,{'1046289543383732224': 1}
2er68vk,{'1046276962073939970': 1}
2xhstmsp,{'1046277973874225152': 1}
30mil,{'1046274050216120321': 1}
3261toezf,{'1046281158273773568': 1}
3431825,{'1046306802323861505': 1}
36hz821,{'1046282960025120768': 1}
3909633,{'1046270536362405889': 1}
3980446,{'1046268304736825344': 1}
3a0j08qp,{'1046293580120305664': 1}
3afrt1vu,{'1046274706712788997': 1}
3asxsaof,{'1046278472790765568': 1}
3f9yqiix,{'1046268902970458112': 1}
3hqx,{'1046271727033102337': 1}
3kjyacswmd,{'1046268349934718981': 1}
3mjg,{'1046283104149798912': 1}
3n9s4u7,{'1046318187875364864': 1}
3nv0qijt9,{'1046293963915898880': 1}
3prvjadgt5,{'1046268873652273153': 1}
3vo0zknqc,{'1046268304736825344': 1}
3wl0ogsd2j,{'1046267726828843013': 1}
3xdwm50uv,{'1046309160009297920': 1}
3xvjtxhi,{'1046279744285749248': 1}
4050mhv3k,{'1046294329856348160': 1}
410,{'1046311520798494720': 1}
4313198,{'1046309320210698240': 1}
47ztaqs,{'1046302462934765569': 1}
4ao1h0bj,{'1046282022774353920': 1}
4bnecya6l1,{'1046310466123894784': 1}
4cs,{'1046282609070870529': 1}
4igriwlk,{'1046275445317079040': 1}
4iwpwiug7q,{'1046277861269803008': 1}
4juliocesar,{'1046271180645322752': 1}
4p3es,{'1046290035132313602': 1}
4qz,{'1046270611293700096': 1}
4sg,{'1046273439927918598': 1}
4t8yp,{'1046291927002419200': 1}
