word,frequencies
004,{'1042852692010459136': 1}
00pwrqmm,{'1042829041550671874': 1}
011kwo1ew,{'1042866621755400192': 1}
01u4,{'1042830554167685120': 1}
06vadfkm,{'1042852161389060096': 1}
0bwf7a,{'1042866034020167682': 1}
0c1glmz,{'1042850843756769280': 1}
0c759,{'1042850783329435649': 1}
0choi9ghk,{'1042838575400796160': 1}
0d00r,{'1042842323879649280': 1}
0dtc0ixkr,{'1042835495875751936': 1}
0ed0i5he6,{'1042843173716938752': 1}
0evqd1jx10,{'1042831812421140480': 1}
0hkeqsg,{'1042844244308910080': 1}
0mm4vdbi,{'1042875853598859266': 1}
0n7ag6qaw,{'1042862901026013184': 1}
0oqrdyhp,{'1042842426858266625': 1}
0rg47vke,{'1042857638625718272': 1}
0ub1xqrqu,{'1042839135298441217': 1}
0yjzjvkwmb,{'1042870400433250304': 1}
0ymnf4oe,{'1042833266691125248': 1}
0z19,{'1042850598037741570': 1}
0z88jqmy,{'1042828944322568192': 1}
100,{'1042829041550671874': 1}
1000en,{'1042854317080891395': 1}
112vmj6erd,{'1042865003681001473': 1}
1204,{'1042829244768903168': 1}
13bolo5,{'1042843715302252547': 1}
1509,{'1042866906619895809': 1}
1612,{'1042847195932905482': 1}
16x6,{'1042848901575979008': 1}
170599,{'1042869439618789376': 1}
1709,{'1042871041486467072': 1}
17614048,{'1042844023906557953': 1}
182,{'1042842247463665665': 1}
1924,{'1042833766127939584': 1}
1956,{'1042866621755400192': 1}
1b7d5jm0dj,{'1042849153762684928': 1}
1bjrzy89,{'1042857663921643521': 1}
1coxqta7fs,{'1042860519030513667': 1}
1dori,{'1042846152968818688': 1}
1er,{'1042849581237788674': 1}
1hbpotxyib,{'1042876325843873794': 1}
1jctrf,{'1042873515651805198': 1}
1jqubdzpb,{'1042837450111033344': 1}
1lprgexln,{'1042867283910164482': 1}
1mar8jq,{'1042845819026792451': 1}
1srpjd23d,{'1042850156918571011': 1}
1suq,{'1042866627564363776': 1}
1tpwrnszq,{'1042871076039081984': 1}
1ya5ib,{'1042862214217117698': 1}
2002pe,{'1042831475031371776': 1}
2010,{'1042857508413558786': 1}
2012,{'1042866621755400192': 1}
2014,{'1042841009175052288': 1}
2018,{'1042840247581790208': 1}
2019,{'1042840140958392320': 1}
202,{'1042857211624677377': 1}
2021,{'1042857066346496001': 1}
2021peru,{'1042841828670795778': 1}
20cwemtn7i,{'1042835992267374593': 1}
20jdgyab,{'1042842499520311296': 1}
21cordeliam,{'1042846152968818688': 1}
21not,{'1042846873835511808': 1}
21notici,{'1042838783115309056': 1}
2323,{'1042833616370323456': 1}
24horastv,{'1042852338199928832': 1}
2580,{'1042856394037387264': 1}
2699035,{'1042832220963176448': 1}
26kg6e9i,{'1042853160463855616': 1}
28lhp,{'1042860519030513667': 1}
2dq2q1,{'1042853830461927427': 1}
2e8gi4yjt,{'1042850803533406212': 1}
2ebodn7ov,{'1042834972619489280': 1}
2owctdtlx,{'1042841915555766272': 1}
2rtje5,{'1042835393098469376': 1}
2viaazagjb,{'1042830837383933955': 1}
2ykoyopgvl,{'1042861429282484225': 1}
2yomsup4,{'1042840140958392320': 1}
2z4i1wel,{'1042871136093200384': 1}
31rvncsi,{'1042838068804419584': 1}
360,{'1042855855358717953': 1}
3bc,{'1042876328721240065': 1}
3f0v5c6n,{'1042844910079172609': 1}
3jyhufioai,{'1042866627564363776': 1}
3mbyz,{'1042835768513900545': 1}
3mpyyykqq,{'1042867415829422082': 1}
3oiyqjfxl,{'1042868519896051713': 1}
400,{'1042840033840046080': 1}
400dpgirrb,{'1042863676896624640': 1}
41pzz7i,{'1042839135298441217': 1}
4335422,{'1042841737624997888': 1}
44ngi1wegh,{'1042851761562820608': 1}
47u7qg6v,{'1042841472041664514': 1}
4f6hqdtwv,{'1042837450111033344': 1}
4jarc,{'1042852930704080897': 1}
4pkyswul,{'1042871661375049728': 1}
4rtl7xjag,{'1042832220963176448': 1}
4to,{'1042874743169409024': 1}
4uhc,{'1042853644406857728': 1}
4ujhlgtz0m,{'1042845863243067392': 1}
4wazqq1x,{'1042831736080621568': 1}
4yaa7b,{'1042855107854041088': 1}
5175z3,{'1042876325843873794': 1}
51y0fsxq,{'1042854692265635840': 1}
5814491,{'1042861731222102023': 1}
5fxqlukyaq,{'1042836417678925831': 1}
5jo44roj,{'1042841143505969152': 1}
5jy47iseyf,{'1042847377042931712': 1}
5klkovx0qs,{'1042868842727460865': 1}
5lm,{'1042850758683766785': 1}
5loitcd38,{'1042866840815521793': 1}
5p5sgdbgc,{'1042838262598066177': 1}
5rwwx4of,{'1042858849018019846': 1}
