word,frequencies
05400878,{'1042926379661254656': 1}
06ikwjwbgv,{'1042935605334814720': 1}
0h2k12ur,{'1042936538890469376': 1}
0me,{'1042944678973370370': 1}
0mm4vdbi,{'1042918546362302466': 1}
0pwv9,{'1042937741967806471': 1}
0qxmiqiko8,{'1042912418194702337': 1}
0xnv,{'1042914647836307456': 1}
100,{'1042913167138021378': 1}
1000,{'1042923749266411521': 1}
111,{'1042939943063040000': 1}
1234,{'1042914752463298562': 1}
1612,{'1042923869764571136': 1}
16q,{'1042937213921775617': 1}
184,{'1042924655659704320': 1}
1999,{'1042942103779778560': 1}
1bsb,{'1042941625687859200': 1}
1erdebatedigit,{'1042928597034586114': 1}
1erdebatedigital,{'1042943956009529344': 1}
1gsv2jibpf,{'1042935964606226432': 1}
1hi6p,{'1042926401895235584': 1}
1hy2gjup,{'1042930162931822592': 1}
1iuxtuu,{'1042913869390331905': 1}
1jnsmrn,{'1042937362328772613': 1}
1qvv4wqaw3,{'1042935964606226432': 1}
2007,{'1042916191424143360': 1}
2010,{'1042911555367649282': 1}
2011,{'1042917707576946690': 1}
2016,{'1042926398824960000': 1}
2017,{'1042918676742201346': 1}
2018,{'1042913367512567808': 1}
202,{'1042914603431288832': 1}
21notici,{'1042913423288414210': 1}
23kxrix,{'1042940892758396928': 1}
26yfug,{'1042934261458915328': 1}
2erurtg8,{'1042919332148387841': 1}
2lmkfbch,{'1042936994236645376': 1}
2yedu,{'1042936994236645376': 1}
2zb,{'1042926064928993280': 1}
3bmatnzhw,{'1042919068733501441': 1}
3c9evhig,{'1042939759440654336': 1}
3mu7psj,{'1042933929630724097': 1}
3radf0bap,{'1042942683830992897': 1}
3ro9vto7ig,{'1042934013223227392': 1}
3tniczbkv,{'1042914028987867139': 1}
406,{'1042913367512567808': 1}
47cir,{'1042916191424143360': 1}
47eeq,{'1042940511215149057': 1}
48iyfvj7,{'1042937109282205697': 1}
4jbc2,{'1042913975497842690': 1}
4oewmve1r,{'1042914928435388417': 1}
4qf3n4l2rc,{'1042933022612488192': 1}
4raee38hx,{'1042911519086981120': 1}
4suglbdg,{'1042933947427110912': 1}
4t9f7m5a,{'1042933849779580928': 1}
4ua,{'1042933139948154880': 1}
4ua1i4mixu,{'1042932944485187584': 1}
4v4o0sh0m,{'1042916191424143360': 1}
4xjr9k7rzy,{'1042927787223470081': 1}
5bor,{'1042918070279450635': 1}
5epfw2dhl,{'1042913664708341760': 1}
5hlxwzxrdo,{'1042941803299852288': 1}
5kn9m6f,{'1042911534916284417': 1}
5kymxbdw,{'1042915797151232001': 1}
5w2ak,{'1042919428013387776': 1}
5wt4,{'1042934584281915393': 1}
605040,{'1042935974035161088': 1}
6181809,{'1042939554070753281': 1}
6513056,{'1042940350590083073': 1}
670aks75,{'1042944239477383179': 1}
6buesm,{'1042914217077231616': 1}
6dfnb3y0q,{'1042935840803119104': 1}
6eilq3sg,{'1042924655659704320': 1}
6jx4sksbqu,{'1042913908674244608': 1}
6jyu,{'1042911104484208640': 1}
6lzqef2,{'1042931321897672706': 1}
6mjm,{'1042917668574126080': 1}
6nvwgyyyn8,{'1042938113583185921': 1}
6v0992lb,{'1042940037812420608': 1}
6xrl,{'1042927703001845760': 1}
717p,{'1042922712144994304': 1}
730,{'1042917018306002950': 1}
763,{'1042937109282205697': 1}
7b3,{'1042916067637637121': 1}
7b3j,{'1042937362328772613': 1}
7dqyk,{'1042919305556439040': 1}
7edxfcclfy,{'1042934786610880512': 1}
7kb,{'1042914217077231616': 1}
7pm,{'1042913498265800705': 1}
7vkixrjq,{'1042936538890469376': 1}
7yhkui4,{'1042918831239254016': 1}
7yi25g,{'1042926380235862016': 1}
81lydtzjpe,{'1042916774428205056': 1}
839,{'1042923454813667328': 1}
88yct0r,{'1042916334441574400': 1}
8aaw,{'1042939329310584832': 1}
8asizd,{'1042919428013387776': 1}
8u4cfpg9vu,{'1042935605334814720': 1}
8whis6tf,{'1042942683830992897': 1}
9012609,{'1042916491870580736': 1}
90tgipu3,{'1042934824015749120': 1}
