word,frequencies
007,{'1046588011562110976': 1}
011,{'1046586566108426240': 1}
06lu46,{'1046587069240430597': 1}
06lv6bfrj,{'1046587019353354240': 1}
07oct,{'1046587234076557314': 1}
0aqkqtq,{'1046586760023683072': 1}
0bdzbe,{'1046586961392218112': 1}
0begyqafyf,{'1046586961392218112': 1}
0bx2x0vd5,{'1046586560911757313': 1}
0e8xcfc,{'1046586358305878016': 1}
0g1nnsgu,{'1046586417189654528': 1}
0rysi,{'1046586270888144896': 1}
0sdywqamdq,{'1046586301980594176': 1}
0th,{'1046587650801618944': 1}
0u46c6gyf,{'1046587416210026498': 1}
1412,{'1046586679484710915': 1}
1483,{'1046586784409432064': 1}
1797,{'1046586390341931008': 1}
1940giyds,{'1046587964845953025': 1}
1967,{'1046586810544132097': 1}
19811981,{'1046586372868493314': 1}
199,{'1046586390341931008': 1}
1dftf,{'1046587229618012160': 1}
1hzu87tk7,{'1046586965649510400': 1}
1lljgk32,{'1046586777371377665': 1}
1lmqmr7,{'1046587964845953025': 1}
1rh,{'1046586774473068544': 1}
1roay8b,{'1046587687552126976': 1}
1w5la0v,{'1046587834973523968': 1}
1yx,{'1046587554244513797': 1}
2011201,{'1046587349524713472': 1}
2012,{'1046586138222383104': 1}
2016,{'1046586455538245637': 1}
2018,{'1046586122548203520': 1}
2019,{'1046586974746943488': 1}
2019jueg,{'1046587213549654021': 2}
2020,{'1046587359972786176': 1}
2021,{'1046587960827809792': 1}
2022,{'1046587137578205185': 1}
2040,{'1046586798351298562': 1}
20iakgs,{'1046586391835086848': 1}
2125353,{'1046587069240430597': 1}
2193,{'1046587999100784645': 1}
21cordeliam,{'1046586798351298562': 1}
21notici,{'1046586140109746176': 1}
21polit,{'1046586312822861824': 1}
236,{'1046586875174178817': 1}
2630,{'1046586509036597249': 1}
27hmi,{'1046586492418748416': 1}
29b2w93nj,{'1046586391835086848': 1}
2atktantk,{'1046587945627656192': 1}
2aw,{'1046586417189654528': 1}
2awv,{'1046587765264207872': 1}
2d8,{'1046587069240430597': 1}
2g6mfpetcd,{'1046586308779487237': 1}
2giyt8vpn,{'1046587334236532737': 1}
2is1zaorx,{'1046586902596530178': 1}
2jeeht6hzr,{'1046587790559981570': 1}
2phzfqxwi,{'1046586700695318529': 1}
2rvusoxww,{'1046587867982639104': 1}
2so7dy,{'1046587313546031105': 1}
2y2v4daehq,{'1046586728612532224': 1}
2yczcx9q,{'1046586991335354368': 1}
3001,{'1046586353549488129': 1}
3112201,{'1046587473936232448': 1}
32ryn409,{'1046587148646912000': 1}
34euf,{'1046587248924381185': 1}
360,{'1046587498481299461': 1}
37001,{'1046586455538245637': 2}
37tfj,{'1046586458180587520': 1}
3b53uv,{'1046586331420397568': 1}
3cicxx,{'1046586671020593152': 1}
3dkn8wslrm,{'1046586281847910401': 1}
3fedsepn,{'1046586885475389442': 1}
3h6vs2l,{'1046587402494578689': 1}
3jk2f,{'1046587779994521600': 1}
3rehu02,{'1046587535277854721': 1}
3rxhxsnt,{'1046588000635965441': 1}
3t7,{'1046587642022965248': 1}
3uqf9f,{'1046586308779487237': 1}
3y7oauuy8,{'1046587626059431936': 1}
462sn,{'1046587989697146880': 1}
46tvetbaq,{'1046587783052169217': 1}
4ek4nf,{'1046587042690404352': 1}
4hk89sis,{'1046587483075596290': 1}
4j2ciyhs,{'1046586966039547905': 1}
4nobubjmc,{'1046586236503232512': 1}
4p8iqpo5ki,{'1046587603133370369': 1}
4uqs,{'1046587834973523968': 1}
4z0fv,{'1046586854928261120': 1}
50a6alm,{'1046587830917640193': 1}
54ht,{'1046586740360851456': 1}
54jcl86zpc,{'1046586281847910401': 1}
5934078,{'1046586704457592833': 1}
5bvmatncl,{'1046586344783392768': 1}
5ce89,{'1046586509036597249': 1}
5ikrcotnpm,{'1046586331420397568': 1}
5io4uas2,{'1046587859032059905': 1}
5k32dl,{'1046586600606642177': 1}
5nuadtadw,{'1046586971857014785': 1}
5oh1t5ob,{'1046587865180852224': 1}
5pxw23,{'1046588040754466816': 1}
5rlaqd,{'1046586420004098048': 1}
5taxz4t5w,{'1046586796363186176': 1}
5v2ftlki,{'1046586567463251968': 1}
5xfmv0ilp,{'1046586791380357120': 1}
5xuphlx6v,{'1046587760801468416': 1}
605040,{'1046586700494000128': 1}
6b59vc6s0w,{'1046586319684739072': 1}
6bjbf95,{'1046587348161572865': 1}
6c03xv,{'1046587554244513797': 1}
6cvfkbe,{'1046586628737835008': 1}
6deqofn5,{'1046587714009792512': 1}
6fa6ubxdn,{'1046586251078504449': 1}
6fytgbzxb,{'1046586297354244096': 1}
6g07zmi,{'1046587229618012160': 1}
6gppt738a4,{'1046586726200872960': 1}
6nwy,{'1046587239625633792': 1}
6seoebz,{'1046586991335354368': 1}
6u6mwgagzr,{'1046586902596530178': 1}
6v3etgoxeh,{'1046587226681937925': 1}
7216559,{'1046587567980900352': 1}
74oske0,{'1046587859032059905': 1}
75x,{'1046586628737835008': 1}
7617251,{'1046586924985659398': 1}
77aoh9,{'1046587718996840448': 1}
7oezrpm3q,{'1046587908776439808': 1}
7uq1drx,{'1046586981294182400': 1}
7yn3vmf,{'1046586565034692608': 1}
7zmtp,{'1046586392011313153': 1}
7zrd4y0c,{'1046586404883623936': 1}
7zswbkzne0,{'1046586167855075328': 1}
80s,{'1046586432918343680': 1}
81oy,{'1046587902023602176': 1}
85e,{'1046587779994521600': 1}
86ntiwasb,{'1046587187737886720': 1}
87y3jkujuf,{'1046586168995966977': 1}
8a0q2aqj,{'1046586717677981697': 1}
8bjdrpgh,{'1046587064446328834': 1}
8jyyci,{'1046587908776439808': 1}
8ke8f9tzp8,{'1046587144620441600': 1}
8m1yxrch,{'1046586318392889344': 1}
8s2nbeems,{'1046586742642552833': 1}
8vmyo,{'1046586994908954624': 1}
90fbrlw2h,{'1046586330279489536': 1}
90xdeo7y0l,{'1046587084293767168': 1}
9331399,{'1046586700494000128': 1}
967,{'1046586169889304577': 1}
9738251,{'1046586485745618944': 1}
9cd0tom96b,{'1046588011562110976': 1}
9iofpdj5,{'1046587760801468416': 1}
9lpug13,{'1046587847522897922': 1}
9npt,{'1046587322102403072': 1}
9tmget643,{'1046586267973165056': 1}
9tqsurpp,{'1046586684157165568': 1}
9xzdcd3,{'1046587014680891393': 1}
9yl4g3,{'1046587276451610625': 1}
abad,{'1046586174058516481': 1}
abandon,{'1046586212629323777': 1}
abastecim,{'1046586175908196352': 1}
ablandosinh,{'1046588011360727040': 1}
abord,{'1046586331420397568': 1}
abort,{'1046586638242127875': 1}
abra,{'1046587504051326978': 1}
abreguevelin,{'1046587348161572865': 1}
absuelt,{'1046586170942132224': 1}
abus,{'1046586193218031616': 1}
acab,{'1046586321228238848': 1}
acadm,{'1046587234076557314': 1}
acas,{'1046586304149049344': 1}
accesibil,{'1046586138222383104': 1}
accion,{'1046586269512478721': 1}
accioncolora,{'1046587283158315008': 1}
accionpopul,{'1046587839142645760': 1}
accionpopularap,{'1046586312822861824': 1}
accionpopularp,{'1046587839142645760': 1}
acerc,{'1046586175799132160': 1}
acert,{'1046586753660964864': 1}
acombat,{'1046586455538245637': 1}
acomod,{'1046586348206006272': 1}
acomp,{'1046587718996840448': 1}
acord,{'1046587304847056896': 1}
acostumbr,{'1046586653765242880': 1}
acto,{'1046587586175750144': 2}
actualic,{'1046586656231489537': 1}
acud,{'1046587739838304256': 1}
acuerd,{'1046586524521975808': 1}
acus,{'1046586815493402624': 1}
adav,{'1046586174058516481': 1}
adems,{'1046586549478010901': 1}
adolescent,{'1046587458425688065': 1}
adult,{'1046587458425688065': 1}
advers,{'1046586662858428417': 1}
advirti,{'1046586292371369984': 1}
afect,{'1046586175908196352': 1}
afirm,{'1046586478762045441': 1}
afrent,{'1046587537698029568': 1}
afront,{'1046586662858428417': 1}
agarciacristob,{'1046586197085220864': 1}
agenci,{'1046587868993519617': 1}
agenciaandin,{'1046586156836679682': 1}
agoniz,{'1046586693762129920': 1}
agred,{'1046587429866655744': 1}
agres,{'1046587646707990529': 1}
agrup,{'1046586992086142976': 1}
agu,{'1046586169889304577': 3}
ahhh,{'1046587137578205185': 1}
ahor,{'1046586442615607296': 1}
ahorakienpodr,{'1046587642282946560': 1}
ahorr,{'1046586749642780672': 1}
ahumal,{'1046587137401991168': 1}
ajen,{'1046586126725771264': 1}
alan,{'1046587756191846400': 1}
alangarciaperez,{'1046587993635651585': 1}
albert,{'1046586172049432577': 1}
albertit,{'1046586362399461377': 1}
albertobeingole,{'1046587139994120194': 1}
albertobengole,{'1046586725227778049': 1}
alc,{'1046586492099932160': 1}
alcald,{'1046586134502014976': 2}
alcaldes,{'1046587000789192704': 1}
alcanc,{'1046587639875457024': 1}
alcantarill,{'1046587902023602176': 1}
alcanz,{'1046586974545563649': 1}
alegr,{'1046586394313969665': 1}
alej,{'1046586497430740992': 1}
alejandradinegr,{'1046587118254993408': 1}
alejapuent,{'1046586746690031616': 1}
alent,{'1046586481836462080': 1}
alesalc,{'1046588029148819456': 1}
alexandergraphy,{'1046586319684739072': 1}
alexov,{'1046587163352223744': 1}
algui,{'1046586497607110657': 1}
algun,{'1046586282292514819': 2}
ali,{'1046587080531484672': 1}
aliagapabl,{'1046587610657886208': 1}
alianz,{'1046586306967621634': 1}
alic,{'1046587162496520192': 1}
all,{'1046587738378719232': 1}
almoh,{'1046587495591411712': 1}
almostgin,{'1046586495241539584': 1}
alonsotarazonaf,{'1046586480515272705': 1}
alta,{'1046586749311483904': 1}
altadivin,{'1046587526218219520': 1}
altern,{'1046587239625633792': 1}
alto,{'1046587714009792512': 1}
altos,{'1046586212629323777': 1}
altur,{'1046586700494000128': 1}
alumbr,{'1046586566108426240': 1}
alumn,{'1046587087334625280': 1}
alvarezrodrich,{'1046586673306439680': 1}
alvarosarc,{'1046586145092640768': 1}
ama,{'1046586497607110657': 1}
amag,{'1046586462525960194': 1}
amar,{'1046587646707990529': 1}
ambient,{'1046586749642780672': 1}
