word,frequencies
01369992,{'1039661166816055297': 1}
01jhfdwvp,{'1039602983246417920': 1}
0209,{'1039649556953223168': 1}
031hadrrb8,{'1039636912263360513': 1}
04alwt3,{'1039630798020902912': 1}
04b3xkb,{'1039630728051318784': 1}
06ljeqywcs,{'1039621749866999809': 1}
0902,{'1039639901371809793': 1}
0bm15firu,{'1039626599166107648': 1}
0dscqlz7,{'1039655318538608646': 1}
0hztd,{'1039664998002262018': 1}
0iwvh8v5hk,{'1039637449012592644': 1}
0jjmcnkt9j,{'1039647123514580992': 1}
0js0nhi,{'1039626599166107648': 1}
0ncar,{'1039636878646018052': 1}
0p28,{'1039640519599706113': 1}
0qctxku1p,{'1039605597002452998': 1}
100,{'1039596729753116672': 1}
103,{'1039599718119206912': 1}
10sep,{'1039614824773238786': 1}
1109,{'1039658601403633665': 1}
117,{'1039599718119206912': 1}
12132018,{'1039610915145097216': 1}
123,{'1039660072148844544': 1}
16091959,{'1039664004824788992': 1}
1702,{'1039667558117462016': 1}
17882176,{'1039646296213217281': 1}
184,{'1039643454891012097': 1}
1985,{'1039660675293962245': 1}
1986,{'1039594848435818496': 1}
1awdl,{'1039619596821512192': 1}
1er,{'1039614824773238786': 1}
1hs,{'1039602428046393356': 1}
1jthknk,{'1039637971291570177': 1}
1mejor,{'1039593306618060801': 1}
1miw,{'1039667628338565122': 1}
1ozmphrfi,{'1039665762682716161': 1}
1sol,{'1039596139350294529': 1}
1w0kgdi,{'1039673799166357504': 1}
1xyhps,{'1039603871444873220': 1}
200,{'1039649556953223168': 1}
2008,{'1039633518874296320': 1}
2015,{'1039606768454778880': 1}
2017,{'1039625195458383872': 2}
2018,{'1039593160480047104': 1}
2019,{'1039625899577102336': 1}
2021,{'1039606190127427585': 1}
2022,{'1039625899577102336': 1}
209,{'1039635775762178048': 1}
21notici,{'1039594848435818496': 1}
224,{'1039622354761134082': 1}
24h,{'1039639010111574023': 1}
25y9g1w7w,{'1039594451180638209': 1}
2623,{'1039649556953223168': 1}
2745,{'1039622354761134082': 1}
285,{'1039618845504413696': 1}
29mg,{'1039600417796177921': 1}
2ac,{'1039593306618060801': 1}
2apnjtx4c,{'1039622354761134082': 1}
2clfaumi,{'1039619043995668481': 1}
2dc,{'1039639523100123136': 1}
2h5tqvbus,{'1039642271543685120': 1}
2kecwbbslp,{'1039655290885627904': 1}
2mbvo9,{'1039673729553457154': 1}
2onp2tyn,{'1039653883440754690': 1}
2qbbqkpts4,{'1039665301095366657': 1}
